Corrida 0 
2 0.0001368000002912595 64 
4 3.9600000036443816e-05 256 
10 7.829999958630651e-05 1600 
15 6.499999972220394e-05 3600 
20 9.4600000011269e-05 6400 
30 0.00013119999994160025 14400 
35 0.0001967999996850267 19600 
40 0.00015840000014577527 25600 
45 0.00021779999997306732 32400 
50 0.0002696999999898253 40000 
55 0.0001575000001139415 48400 
60 0.00018950000003314926 57600 
65 0.00020989999984522 67600 
80 0.00028770000017175335 102400 
100 0.0004512000000431726 160000 
150 0.000892799999746785 360000 
170 0.0008178999996744096 462400 
200 0.0013539000001401291 640000 
250 0.0022444999999606807 1000000 
400 0.0062683999999535445 2560000 
500 0.010151099999802682 4000000 
600 0.018089400000008027 5760000 
800 0.030413899999985006 10240000 
1000 0.05647849999968457 16000000 
2000 0.41388329999972484 64000000 
5000 3.446512999999868 400000000 
10000 24.781269300000076 1600000000 

Corrida 1 
2 0.07494779999979073 64 
4 5.779999992228113e-05 256 
10 4.340000032243552e-05 1600 
15 3.709999964485178e-05 3600 
20 4.310000031182426e-05 6400 
30 7.310000000870787e-05 14400 
35 0.000147800000377174 19600 
40 7.879999975557439e-05 25600 
45 8.189999971364159e-05 32400 
50 8.949999983087764e-05 40000 
55 8.729999990464421e-05 48400 
60 0.00010250000013911631 57600 
65 0.00012059999971825164 67600 
80 0.0001526999999441614 102400 
100 0.00022699999999531428 160000 
150 0.0005006999999750406 360000 
170 0.0006115000001045701 462400 
200 0.0008996999999908439 640000 
250 0.0016777000000729458 1000000 
400 0.005932999999913591 2560000 
500 0.010307600000032835 4000000 
600 0.016835200000059558 5760000 
800 0.03690679999999702 10240000 
1000 0.06614929999977903 16000000 
2000 0.4490445000001273 64000000 
5000 3.1977560999998786 400000000 
10000 24.246756300000015 1600000000 

Corrida 2 
2 0.08171700000002602 64 
4 5.319999991115765e-05 256 
10 3.90000000152213e-05 1600 
15 3.509999987727497e-05 3600 
20 3.9600000036443816e-05 6400 
30 5.600000031336094e-05 14400 
35 0.00016069999992396333 19600 
40 8.600000001024455e-05 25600 
45 8.969999998953426e-05 32400 
50 9.929999987434712e-05 40000 
55 9.509999972578953e-05 48400 
60 0.00010849999989659409 57600 
65 0.00012550000019473373 67600 
80 0.0001627000001462875 102400 
100 0.0002285999999003252 160000 
150 0.0004536999999800173 360000 
170 0.0005504999999175197 462400 
200 0.000786699999935081 640000 
250 0.0012879000000793894 1000000 
400 0.00435620000007475 2560000 
500 0.007012099999883503 4000000 
600 0.012284299999919313 5760000 
800 0.02763920000006692 10240000 
1000 0.04974050000009811 16000000 
2000 0.37204990000009275 64000000 
5000 3.540462000000389 400000000 
10000 26.58698930000037 1600000000 

