Corrida 0 
2 0.013306000000056883 32 
4 0.00012809999998353305 128 
10 0.011364699999944605 800 
15 0.0008222999999816238 1800 
20 0.001312999999981912 3200 
30 0.0008046000000376807 7200 
35 0.0022132999999939784 9800 
40 0.0004188000000340253 12800 
45 0.0011715999999069027 16200 
50 0.0005000000001018634 20000 
55 0.0003987999999708336 24200 
60 0.00044389999993654783 28800 
65 0.0005043999999543303 33800 
80 0.0006829999999808933 51200 
100 0.000945500000057109 80000 
150 0.003933599999982107 180000 
170 0.002000700000053257 231200 
200 0.0020133000000441825 320000 
250 0.003656200000023091 500000 
400 0.009667100000001483 1280000 
500 0.014817800000059833 2000000 
600 0.02300100000002203 2880000 
800 0.03986570000006395 5120000 
1000 0.059272099999930106 8000000 
2000 0.3863389999999072 32000000 
5000 3.6595211000000063 200000000 
10000 26.699996000000056 800000000 

Corrida 1 
2 0.044468899999969835 32 
4 0.0002165999999306223 128 
10 0.0019942000000128246 800 
15 0.0008616000000074564 1800 
20 0.002257099999951606 3200 
30 0.0006476000000930071 7200 
35 0.0011596000000508866 9800 
40 0.00034890000006271293 12800 
45 0.0007335000000239233 16200 
50 0.00033069999994950194 20000 
55 0.00012879999997039704 24200 
60 0.00022830000000340078 28800 
65 0.0002147999999806416 33800 
80 0.00020359999996344413 51200 
100 0.0003083000000287939 80000 
150 0.0007144999999582069 180000 
170 0.0007574999999633292 231200 
200 0.0008665999999948326 320000 
250 0.0020958000000064203 500000 
400 0.005791400000020985 1280000 
500 0.00972490000003745 2000000 
600 0.016431699999998273 2880000 
800 0.035019099999999526 5120000 
1000 0.05879719999995814 8000000 
2000 0.3079123999999638 32000000 
5000 3.2964243000000124 200000000 
10000 25.476158199999986 800000000 

Corrida 2 
2 0.06508680000001732 32 
4 0.000102400000059788 128 
10 0.001965299999937997 800 
15 0.0003327999999100939 1800 
20 0.00225430000000415 3200 
30 0.0006177000000207045 7200 
35 0.0012568999999302832 9800 
40 0.00020570000003772293 12800 
45 0.0009681999999884283 16200 
50 0.00022429999989981297 20000 
55 0.0002097000000276239 24200 
60 0.00024310000003424648 28800 
65 0.0002515999999559426 33800 
80 0.0002988999999615771 51200 
100 0.0004953000000114116 80000 
150 0.0022424000000000888 180000 
170 0.0011841000000458735 231200 
200 0.001422699999920951 320000 
250 0.0028119999999489664 500000 
400 0.008780899999919711 1280000 
500 0.01531539999996312 2000000 
600 0.024279399999954876 2880000 
800 0.03605279999999311 5120000 
1000 0.0638854999999694 8000000 
2000 0.4300955999999587 32000000 
5000 3.706674899999939 200000000 
10000 27.81713780000007 800000000 

Corrida 3 
2 0.04635270000005676 32 
4 0.00035590000004503963 128 
10 0.0013063000000101965 800 
15 0.0004576000000042768 1800 
20 0.0024993000000677057 3200 
30 0.0011233999999831212 7200 
35 0.0012143000000151005 9800 
40 0.00039199999991978984 12800 
45 0.0009227000000464614 16200 
50 0.00018119999992904923 20000 
55 0.00017290000005232287 24200 
60 0.0001948999999967782 28800 
65 0.0002001000000291242 33800 
80 0.00025089999996907864 51200 
100 0.0004056999999875188 80000 
150 0.0015745000000606524 180000 
170 0.000888599999939288 231200 
200 0.0014150999999174019 320000 
250 0.0028164999999944484 500000 
400 0.009030600000073719 1280000 
500 0.015327899999988404 2000000 
600 0.025246200000083263 2880000 
800 0.054176200000028985 5120000 
1000 0.07320500000002994 8000000 
2000 0.3302239000000782 32000000 
5000 3.5498581000000513 200000000 
10000 26.98572189999993 800000000 

Corrida 4 
2 0.037213500000007116 32 
4 5.160000000614673e-05 128 
10 9.459999989758217e-05 800 
15 0.00013779999994767422 1800 
20 4.669999998441199e-05 3200 
30 6.319999999959691e-05 7200 
35 0.00017530000002352608 9800 
40 9.740000007241179e-05 12800 
45 0.0001015999999935957 16200 
50 0.00010080000004109024 20000 
55 0.00012309999999615684 24200 
60 0.00012390000006234914 28800 
65 0.00015580000001591543 33800 
80 0.00030249999997522536 51200 
100 0.00038749999998799467 80000 
150 0.0006547000000409753 180000 
170 0.0007901000000174463 231200 
200 0.0008728999999902953 320000 
250 0.0017179000000169253 500000 
400 0.004956500000048436 1280000 
500 0.008333499999935157 2000000 
600 0.01405309999995552 2880000 
800 0.028504099999963728 5120000 
1000 0.051881600000001526 8000000 
2000 0.34349459999998544 32000000 
5000 3.575685700000008 200000000 
10000 26.801659799999925 800000000 

Corrida 5 
2 0.03553379999993922 32 
