Corrida 0 
2 0.005619600000500213 64 
4 0.0009554999996908009 256 
10 0.00013020000187680125 1600 
15 0.0002693999995244667 3600 
20 0.006850099998700898 6400 
30 0.004073899999639252 14400 
35 0.004330200001277262 19600 
40 0.0006151000015961472 25600 
45 0.0009629999985918403 32400 
50 0.0004533000028459355 40000 
55 0.0003448999996180646 48400 
60 0.00033600000097067095 57600 
65 0.002569000000221422 67600 
80 0.001971500001673121 102400 
100 0.0006450000000768341 160000 
150 0.0020183000015094876 360000 
170 0.0010894999977608677 462400 
200 0.00166200000239769 640000 
250 0.003041500000108499 1000000 
400 0.004169100000581238 2560000 
500 0.00800840000010794 4000000 
600 0.010327299998607486 5760000 
800 0.024903100002120482 10240000 
1000 0.050948399999469984 16000000 
2000 0.37670000000071013 64000000 
5000 3.7100266000015836 400000000 
10000 28.005441700002848 1600000000 

Corrida 1 
2 0.09261630000037258 64 
4 0.00010000000111176632 256 
10 6.880000000819564e-05 1600 
15 6.919999941601418e-05 3600 
20 0.00010040000051958486 6400 
30 0.00012109999806853011 14400 
35 0.00020120000044698827 19600 
40 0.0002432000001135748 25600 
45 0.0005464000023494009 32400 
50 0.0005104999981995206 40000 
55 0.0005380000002332963 48400 
60 0.0004945000000589062 57600 
65 0.000631200000498211 67600 
80 0.0006267999997362494 102400 
100 0.00045119999776943587 160000 
150 0.000661899997794535 360000 
170 0.0008369999995920807 462400 
200 0.0010234000001219101 640000 
250 0.0015524000009463634 1000000 
400 0.0041971999999077525 2560000 
500 0.007673899999645073 4000000 
600 0.011308400000416441 5760000 
800 0.022105400003056275 10240000 
1000 0.040094600000884384 16000000 
2000 0.29695429999992484 64000000 
5000 3.47405770000114 400000000 
10000 24.74497909999991 1600000000 

Corrida 2 
2 0.06399299999975483 64 
4 0.00025040000036824495 256 
10 0.0001384999995934777 1600 
15 0.00012209999840706587 3600 
20 8.259999958681874e-05 6400 
30 9.839999984251335e-05 14400 
35 0.0002423999976599589 19600 
40 0.00035960000241175294 25600 
45 0.00038610000046901405 32400 
50 0.00043340000047464855 40000 
55 0.0004538000030152034 48400 
60 0.0004627999987860676 57600 
65 0.0006596000021090731 67600 
80 0.0006097000004956499 102400 
100 0.0007186999973782804 160000 
150 0.0009157000022241846 360000 
170 0.0009699000002001412 462400 
200 0.000897999998414889 640000 
250 0.0013676999988092575 1000000 
400 0.0037293000023055356 2560000 
500 0.0069101000008231495 4000000 
600 0.00995369999873219 5760000 
800 0.021358599999075523 10240000 
1000 0.04143859999749111 16000000 
2000 0.2936038000007102 64000000 
5000 3.1882695000022068 400000000 
10000 24.2498119999982 1600000000 

Corrida 3 
2 0.0823990999997477 64 
4 0.00010440000187372789 256 
10 6.500000017695129e-05 1600 
15 6.55999974696897e-05 3600 
20 9.839999984251335e-05 6400 
30 0.00011129999984405003 14400 
35 0.0004488000013225246 19600 
40 0.00018509999790694565 25600 
45 0.00019749999773921445 32400 
50 0.00020880000010947697 40000 
55 0.00020870000298600644 48400 
60 0.00022950000129640102 57600 
65 0.00030390000029001385 67600 
80 0.000323799999023322 102400 
100 0.00042949999988195486 160000 
150 0.0010364000008848961 360000 
170 0.0008206999991671182 462400 
200 0.0009658000017225277 640000 
250 0.0017629999965720344 1000000 
400 0.004312099998060148 2560000 
500 0.007608100000652485 4000000 
600 0.011369699997885618 5760000 
800 0.023912900000141235 10240000 
1000 0.03650180000113323 16000000 
2000 0.28160810000190395 64000000 
5000 3.230413799999951 400000000 
10000 23.594940599999973 1600000000 

Corrida 4 
2 0.06499940000139759 64 
4 8.499999967170879e-05 256 
10 6.489999941550195e-05 1600 
15 4.369999805931002e-05 3600 
20 0.00012069999866071157 6400 
30 0.0001173999989987351 14400 
35 0.0002626000023155939 19600 
40 0.00037430000156746246 25600 
45 0.000380000001314329 32400 
50 0.00039479999759350903 40000 
55 0.00035829999978886917 48400 
60 0.0004427999992913101 57600 
65 0.0008158999989973381 67600 
80 0.0006107999979576562 102400 
100 0.0006536000000778586 160000 
