Corrida 0 
2 0.011906699999599368 24 
4 0.00033819999953266233 96 
10 0.00010750000001280569 600 
15 6.990000110818073e-05 1350 
20 0.04381180000018503 2400 
30 0.0014365999995789025 5400 
35 0.004863300000579329 7350 
40 0.0006724000013491604 9600 
45 0.0006563000006281072 12150 
50 0.0003913000000466127 15000 
55 0.0007197999984782655 18150 
60 0.0003916000005119713 21600 
65 0.0031751000005897367 25350 
80 0.0011931999997614184 38400 
100 0.001132000001234701 60000 
150 0.002514599998903577 135000 
170 0.001121300001614145 173400 
200 0.0012061000015819445 240000 
250 0.0019424000001890818 375000 
400 0.004232900000715745 960000 
500 0.006670799999483279 1500000 
600 0.008813899999950081 2160000 
800 0.017572200000358862 3840000 
1000 0.03945030000068073 6000000 
2000 0.18081810000148835 24000000 
5000 1.7526799999996001 150000000 
10000 14.806840799999918 600000000 

Corrida 1 
2 0.07357760000013513 24 
4 0.000182699999641045 96 
10 9.529999988444615e-05 600 
15 9.060000047611538e-05 1350 
20 0.00021050000032118987 2400 
30 0.0001781999999366235 5400 
35 0.00031630000012228265 7350 
40 0.00031350000062957406 9600 
45 0.0003699000008055009 12150 
50 0.00036419999923964497 15000 
55 0.0004152999990765238 18150 
60 0.00034220000088680536 21600 
65 0.00046830000064801425 25350 
80 0.0005837000007886672 38400 
100 0.0005019000000174856 60000 
150 0.0007596999985253206 135000 
170 0.0012658000014198478 173400 
200 0.0015394000001833774 240000 
250 0.0020635000000766013 375000 
400 0.004359599999588681 960000 
500 0.006666399998721317 1500000 
600 0.010163299999476294 2160000 
800 0.015998000000763568 3840000 
1000 0.03996519999964221 6000000 
2000 0.2195778999994218 24000000 
5000 3.3320687000014004 150000000 
10000 23.2767230999998 600000000 

Corrida 2 
2 0.05070820000037202 24 
4 0.00018730000010691583 96 
10 9.810000119614415e-05 600 
15 9.349999891128391e-05 1350 
20 0.0002058000009128591 2400 
30 0.00019330000031914096 5400 
35 0.0003417000007175375 7350 
40 0.00039959999958227854 9600 
45 0.00036299999919719994 12150 
50 0.0004062999996676808 15000 
55 0.0005576999992626952 18150 
60 0.0004946000008203555 21600 
65 0.0006329000007099239 25350 
80 0.00045169999975769315 38400 
100 0.0006814999997004634 60000 
150 0.0011890999994648155 135000 
170 0.0013973999994050246 173400 
200 0.0014050000008865027 240000 
250 0.001841999999669497 375000 
400 0.003829000001132954 960000 
500 0.006047899998520734 1500000 
600 0.007398300000204472 2160000 
800 0.014308100000562263 3840000 
1000 0.025389300000824733 6000000 
2000 0.2025565000003553 24000000 
5000 2.9103325000014593 150000000 
10000 23.449338200000057 600000000 

Corrida 3 
2 0.06770709999909741 24 
4 0.00017630000002100132 96 
10 9.299999874201603e-05 600 
15 8.680000064487103e-05 1350 
20 0.00018420000014884863 2400 
30 0.00016710000090824906 5400 
35 0.0003276999996160157 7350 
40 0.0002778999987640418 9600 
45 0.0002714000002015382 12150 
50 0.000320099999953527 15000 
55 0.00034159999995608814 18150 
60 0.00035959999877377413 21600 
65 0.0004802999992534751 25350 
80 0.0004948999994667247 38400 
100 0.0006291999998211395 60000 
150 0.0008593000002292683 135000 
170 0.0009958999999071239 173400 
200 0.001557699999466422 240000 
250 0.0021499000013136538 375000 
400 0.0045617000014317455 960000 
500 0.008084799999778625 1500000 
600 0.012468499999158666 2160000 
800 0.023390199999994365 3840000 
1000 0.04286089999914111 6000000 
2000 0.23353820000011183 24000000 
5000 3.341571200000544 150000000 
10000 24.312037199999395 600000000 

Corrida 4 
2 0.06924070000059146 24 
4 0.00018069999896397348 96 
10 9.990000035031699e-05 600 
15 8.95000011951197e-05 1350 
20 0.00017389999993611127 2400 
30 0.0001689000000624219 5400 
35 0.00032079999982670415 7350 
40 0.000261799999861978 9600 
45 0.00026250000155414455 12150 
50 0.000289100000372855 15000 
55 0.000313599999572034 18150 
60 0.00031689999923401047 21600 
65 0.00045080000018060673 25350 
80 0.0005160999990039272 38400 
100 0.000654499999654945 60000 
150 0.0011579000001802342 135000 
170 0.0014277999998739688 173400 
200 0.0017993000001297332 240000 
250 0.0020838000000367174 375000 
400 0.0046196000002964865 960000 
500 0.00840059999973164 1500000 
600 0.011548500000571948 2160000 
800 0.022268400000029942 3840000 
1000 0.04118840000046475 6000000 
2000 0.2076602000015555 24000000 
5000 3.192517499999667 150000000 
10000 25.224265099999684 600000000 

Corrida 5 
2 0.06769610000083048 24 
4 0.00017389999993611127 96 
10 9.210000098391902e-05 600 
15 8.589999924879521e-05 1350 
20 0.00017180000031657983 2400 
30 0.0001658000001043547 5400 
35 0.0003226999997423263 7350 
40 0.0002640000002429588 9600 
45 0.00027740000041376334 12150 
50 0.00028529999872262124 15000 
55 0.0003207000008842442 18150 
60 0.0003183999997418141 21600 
65 0.000445699999545468 25350 
80 0.0004653000014513964 38400 
100 0.0006413000010070391 60000 
150 0.0010197000010521151 135000 
170 0.0012091000007785624 173400 
200 0.0014530000007653143 240000 
250 0.0019756999990931945 375000 
400 0.004003500000180793 960000 
500 0.007141499998397194 1500000 
600 0.011272599998847 2160000 
800 0.018636899998455192 3840000 
1000 0.03973940000105358 6000000 
2000 0.2428795000014361 24000000 
5000 3.4441397999999026 150000000 
10000 25.013377299999775 600000000 

Corrida 6 
2 0.067559799999799 24 
4 0.00016649999997753184 96 
10 8.820000039122533e-05 600 
15 8.600000001024455e-05 1350 
20 0.00016510000023117755 2400 
30 0.0001588000013725832 5400 
35 0.0003271999994467478 7350 
40 0.00025459999960730784 9600 
45 0.0002874000001611421 12150 
50 0.0003027000002475688 15000 
55 0.000361700000212295 18150 
60 0.0003371999991941266 21600 
65 0.0004589000000123633 25350 
80 0.00047479999921051785 38400 
100 0.0006518000009236857 60000 
150 0.0010528000002523186 135000 
170 0.001245800000106101 173400 
200 0.0015186000000539934 240000 
250 0.002076900000247406 375000 
400 0.00423179999961576 960000 
500 0.008044300000619842 1500000 
600 0.011058899999625282 2160000 
800 0.021577699999397737 3840000 
1000 0.03354650000073889 6000000 
2000 0.24470880000080797 24000000 
5000 3.329846599999655 150000000 
10000 21.13826390000031 600000000 

Corrida 7 
2 0.030915400000594673 24 
4 9.379999937664252e-05 96 
10 4.670000089390669e-05 600 
15 3.169999945384916e-05 1350 
20 7.419999928970356e-05 2400 
30 6.119999852671754e-05 5400 
35 0.00016649999997753184 7350 
40 0.00015440000061062165 9600 
45 0.00014480000027106144 12150 
50 0.00018869999985327013 15000 
55 0.0001799000001483364 18150 
60 0.0002060999995592283 21600 
65 0.00028030000066792127 25350 
80 0.0002841000004991656 38400 
100 0.00037340000017138664 60000 
150 0.0005889000003662659 135000 
170 0.0008132000002660789 173400 
200 0.0009195000002364395 240000 
250 0.0011541999992914498 375000 
400 0.002284500000314438 960000 
500 0.004637200001525343 1500000 
600 0.006669399999736925 2160000 
800 0.010777299999972456 3840000 
1000 0.0196579000003112 6000000 
2000 0.14830760000040755 24000000 
5000 1.5890210999987175 150000000 
10000 11.323468000000503 600000000 

Corrida 8 
2 0.044284899999183835 24 
4 0.00011919999997189734 96 
10 5.1700000767596066e-05 600 
15 4.5500000851461664e-05 1350 
20 9.700000009615906e-05 2400 
30 8.580000030633528e-05 5400 
35 0.00017839999964053277 7350 
40 0.00018040000031760428 9600 
45 0.000182699999641045 12150 
50 0.00019190000057278667 15000 
55 0.00020140000015089754 18150 
60 0.00028340000062598847 21600 
65 0.0003126999999949476 25350 
80 0.0003857000010611955 38400 
100 0.00047540000014123507 60000 
150 0.0008080999996309401 135000 
170 0.0008785999998508487 173400 
200 0.001040199998897151 240000 
250 0.0013873999996576458 375000 
400 0.003303100000266568 960000 
500 0.005111399999805144 1500000 
600 0.007443500000590575 2160000 
800 0.01630990000012389 3840000 
1000 0.025231399999029236 6000000 
2000 0.1577462999994168 24000000 
5000 1.6925062999998772 150000000 
10000 11.929621499999485 600000000 

Corrida 9 
2 0.041291800000180956 24 
4 0.00011960000119870529 96 
10 5.450000026030466e-05 600 
15 4.599999920174014e-05 1350 
20 0.0001038999998854706 2400 
30 8.740000157558825e-05 5400 
35 0.00018450000061420724 7350 
40 0.00018350000027567148 9600 
45 0.00017049999951268546 12150 
50 0.00018089999866788276 15000 
55 0.00020629999926313758 18150 
60 0.00021489999926416203 21600 
65 0.0003052000010939082 25350 
80 0.00030449999940174166 38400 
100 0.0004239000008965377 60000 
150 0.0006797000005462905 135000 
170 0.0009453999991819728 173400 
200 0.0011651000004349044 240000 
250 0.0013409000002866378 375000 
400 0.0028482000016083475 960000 
500 0.005355900000722613 1500000 
600 0.006701499998598592 2160000 
800 0.014456900000368478 3840000 
1000 0.025776600001336192 6000000 
2000 0.15658430000075896 24000000 
5000 1.8683995999999752 150000000 
10000 12.768416299999444 600000000 

FINAL 
