Corrida 0 
2 0.0020942999999995493 24 
4 0.00013799999999974943 96 
10 9.060000000005175e-05 600 
15 8.38999999999146e-05 1350 
20 0.017090699999998904 2400 
30 0.0002513999999997907 5400 
35 0.0022098000000010387 7350 
40 0.0004127000000000436 9600 
45 0.00048450000000066495 12150 
50 0.00037559999999992044 15000 
55 0.0004692000000012797 18150 
60 0.0005036000000000485 21600 
65 0.0008151999999999049 25350 
80 0.0008419999999986771 38400 
100 0.0014599999999997948 60000 
150 0.011169499999999388 135000 
170 0.0017160000000000508 173400 
200 0.0026166000000014122 240000 
250 0.0027156000000001512 375000 
400 0.006534600000000168 960000 
500 0.00924119999999995 1500000 
600 0.012371400000001032 2160000 
800 0.023109500000000338 3840000 
1000 0.04501759999999955 6000000 
2000 0.19065629999999878 24000000 
5000 2.0360224999999996 150000000 
10000 13.810086 600000000 

Corrida 1 
2 0.07231960000000015 24 
4 0.0001619999999995514 96 
10 8.419999999986771e-05 600 
15 7.019999999968718e-05 1350 
20 0.00012729999999905317 2400 
30 0.00012650000000036243 5400 
35 0.00026580000000109294 7350 
40 0.00028700000000014825 9600 
45 0.00027400000000099567 12150 
50 0.00029460000000014475 15000 
55 0.0003071000000005597 18150 
60 0.0003543000000014729 21600 
65 0.0004859000000010383 25350 
80 0.0006564000000004455 38400 
100 0.0007772999999993147 60000 
150 0.0011437000000000808 135000 
170 0.0019811000000018453 173400 
200 0.0021991999999997347 240000 
250 0.002354199999999196 375000 
400 0.005317899999997877 960000 
500 0.008790499999999923 1500000 
600 0.013381600000002436 2160000 
800 0.025591500000000877 3840000 
1000 0.03978010000000154 6000000 
2000 0.21953919999999982 24000000 
5000 2.2426943 150000000 
10000 11.104782699999998 600000000 

Corrida 2 
2 0.03144900000000206 24 
4 9.610000000037644e-05 96 
10 4.8599999999510146e-05 600 
15 3.310000000311675e-05 1350 
20 7.110000000665195e-05 2400 
30 6.230000000329028e-05 5400 
35 0.0001698000000018851 7350 
40 0.00015199999999992997 9600 
45 0.00015580000000170457 12150 
50 0.00017349999999538568 15000 
55 0.00016910000000081027 18150 
60 0.00019900000000205864 21600 
65 0.0003340999999963401 25350 
80 0.00029869999999476704 38400 
100 0.0003925999999978558 60000 
150 0.0006139999999987822 135000 
170 0.0008235999999968158 173400 
200 0.0009736999999958584 240000 
250 0.0011562999999981116 375000 
400 0.002578399999997316 960000 
500 0.004274099999996395 1500000 
600 0.006681000000000381 2160000 
800 0.01254459999999824 3840000 
1000 0.022466799999996567 6000000 
2000 0.14966620000000574 24000000 
5000 1.6779500000000027 150000000 
10000 10.557859399999998 600000000 

Corrida 3 
2 0.03308499999999981 24 
4 9.739999999425208e-05 96 
10 5.069999999562924e-05 600 
15 3.2500000003210516e-05 1350 
20 7.319999999566562e-05 2400 
30 6.160000000221544e-05 5400 
35 0.0001716000000016038 7350 
40 0.0001545000000007235 9600 
45 0.00016749999999632337 12150 
50 0.00015520000000179834 15000 
55 0.00027579999999716165 18150 
60 0.00028679999999781103 21600 
65 0.0002843999999981861 25350 
80 0.0002935999999991168 38400 
100 0.00039799999999701186 60000 
150 0.0006394000000042865 135000 
170 0.0008192000000022404 173400 
200 0.000979899999997258 240000 
250 0.0012427999999999884 375000 
400 0.0026545999999996184 960000 
500 0.0044868000000022334 1500000 
600 0.00645409999999913 2160000 
800 0.012207999999994001 3840000 
1000 0.022759999999998115 6000000 
2000 0.1347284000000002 24000000 
5000 1.5268650999999949 150000000 
10000 11.029092399999996 600000000 

Corrida 4 
2 0.050345700000008264 24 
4 0.00012220000000695563 96 
10 5.280000000595919e-05 600 
15 4.70000000092341e-05 1350 
20 9.370000000785694e-05 2400 
30 8.840000000986947e-05 5400 
35 0.00018689999998855455 7350 
40 0.0001752000000010412 9600 
45 0.0001792999999992162 12150 
50 0.0001864000000040278 15000 
55 0.00021719999999447737 18150 
60 0.00022219999999606443 21600 
65 0.0003049999999973352 25350 
80 0.00032310000000279615 38400 
100 0.0004299999999943793 60000 
150 0.000687799999994354 135000 
170 0.0008110999999928481 173400 
200 0.0011287000000095304 240000 
250 0.0013799000000034312 375000 
400 0.0028353999999950474 960000 
500 0.005146499999995058 1500000 
600 0.00720420000000388 2160000 
800 0.014313400000006027 3840000 
1000 0.025829000000001656 6000000 
2000 0.1618160999999958 24000000 
5000 1.8661340000000024 150000000 
10000 11.500312899999997 600000000 

Corrida 5 
2 0.04342979999999841 24 
4 0.00011689999999475731 96 
10 4.839999999717293e-05 600 
15 4.6599999990348806e-05 1350 
20 8.660000000304535e-05 2400 
30 8.090000000038344e-05 5400 
35 0.00017530000000931523 7350 
40 0.000159500000009416 9600 
45 0.00017110000000286618 12150 
50 0.00018140000000244072 15000 
55 0.00019279999999355368 18150 
60 0.0001962999999989279 21600 
65 0.00028910000000337277 25350 
80 0.0003002999999921485 38400 
100 0.00043750000000386535 60000 
150 0.0006420999999932064 135000 
170 0.0007686999999947375 173400 
200 0.0009759999999943147 240000 
250 0.001314100000001872 375000 
400 0.0030073000000072625 960000 
500 0.005123400000002221 1500000 
600 0.007420999999993683 2160000 
800 0.013911100000001397 3840000 
1000 0.025666000000001077 6000000 
2000 0.16565520000000333 24000000 
5000 1.7198058000000032 150000000 
10000 12.258324799999997 600000000 

Corrida 6 
2 0.04147040000000857 24 
4 0.00010960000000181935 96 
10 4.6499999996285624e-05 600 
15 4.199999999343618e-05 1350 
20 8.880000000033306e-05 2400 
30 8.080000000632026e-05 5400 
35 0.0001713000000052034 7350 
40 0.00014809999998988133 9600 
45 0.00017610000000445325 12150 
50 0.0001998000000043021 15000 
55 0.00020049999999116608 18150 
60 0.0002116000000000895 21600 
65 0.00028709999999421143 25350 
80 0.00029440000000136024 38400 
100 0.0005358000000086349 60000 
150 0.0006613999999984799 135000 
170 0.0007864000000097349 173400 
200 0.0009668000000004895 240000 
250 0.0012660000000010996 375000 
400 0.0026174999999994952 960000 
500 0.004407299999996894 1500000 
600 0.008158900000012181 2160000 
800 0.014207600000005982 3840000 
1000 0.023682100000002038 6000000 
2000 0.1388423000000074 24000000 
5000 1.6189627000000115 150000000 
10000 11.264222000000004 600000000 

Corrida 7 
2 0.04195020000000227 24 
4 0.00011709999999709453 96 
10 4.70000000092341e-05 600 
15 4.349999998964904e-05 1350 
20 9.250000000804448e-05 2400 
30 8.259999999893353e-05 5400 
35 0.00017610000000445325 7350 
40 0.00015989999999987958 9600 
45 0.00017859999999814136 12150 
50 0.0001852999999982785 15000 
55 0.00021229999998695348 18150 
60 0.0002132000000045764 21600 
65 0.00029469999999776064 25350 
80 0.000491500000009637 38400 
100 0.0005268999999969992 60000 
150 0.0007773000000099728 135000 
170 0.0008764999999897327 173400 
200 0.0009883999999971138 240000 
250 0.0012866000000002487 375000 
400 0.002940399999999954 960000 
500 0.004918199999991657 1500000 
600 0.0066162999999903604 2160000 
800 0.011988899999991531 3840000 
1000 0.024502699999999322 6000000 
2000 0.15237089999999398 24000000 
5000 1.8416746999999987 150000000 
10000 11.381200100000001 600000000 

Corrida 8 
2 0.04192419999999686 24 
4 0.00011399999999639476 96 
10 4.590000000348482e-05 600 
15 4.060000000549735e-05 1350 
20 8.490000000449527e-05 2400 
30 7.820000000435812e-05 5400 
35 0.00016189999999483007 7350 
40 0.00015369999999848005 9600 
45 0.00015860000000600394 12150 
50 0.0001675000000034288 15000 
55 0.00018400000000440286 18150 
60 0.00020070000000771415 21600 
65 0.000263699999990763 25350 
80 0.00028159999999388674 38400 
100 0.00038229999999828124 60000 
150 0.0006082000000020571 135000 
170 0.0007236000000006015 173400 
200 0.0009273999999948046 240000 
250 0.0011727999999919803 375000 
400 0.002484099999989553 960000 
500 0.004947700000002442 1500000 
600 0.006867199999987861 2160000 
800 0.013643299999998248 3840000 
1000 0.020642100000003438 6000000 
2000 0.14533639999999082 24000000 
5000 1.7732515999999947 150000000 
10000 11.521182399999987 600000000 

Corrida 9 
2 0.04182309999998779 24 
4 0.00011399999999639476 96 
10 4.770000001030894e-05 600 
15 4.369999999198626e-05 1350 
20 8.95000000014079e-05 2400 
30 8.210000001440676e-05 5400 
35 0.0001738999999929547 7350 
40 0.00015190000002007764 9600 
45 0.00016290000002072702 12150 
50 0.00019090000000687724 15000 
55 0.00019459999998616695 18150 
60 0.00020179999998504172 21600 
65 0.0002980000000150085 25350 
80 0.00029250000000047294 38400 
100 0.0003952000000140288 60000 
150 0.000619399999976622 135000 
170 0.0007423999999787156 173400 
200 0.0010623999999950229 240000 
250 0.0013744999999971697 375000 
400 0.002723199999991266 960000 
500 0.004556799999988925 1500000 
600 0.007575099999996837 2160000 
800 0.014200100000010707 3840000 
1000 0.02400510000001077 6000000 
2000 0.14304340000001048 24000000 
5000 1.6640150000000062 150000000 
10000 11.431787200000002 600000000 

FINAL 
