Corrida 0 
2 8.650000017951243e-05 32 
4 2.8800001018680632e-05 128 
10 2.4100001610349864e-05 800 
15 2.2799998987466097e-05 1800 
20 5.669999882229604e-05 3200 
30 6.610000127693638e-05 7200 
35 0.000149200001033023 9800 
40 0.00013059999764664099 12800 
45 0.00013210000179242343 16200 
50 0.00014450000162469223 20000 
55 0.00014620000001741573 24200 
60 0.0001905999997688923 28800 
65 0.000243499998759944 33800 
80 0.00028620000011869706 51200 
100 0.0004429000000527594 80000 
150 0.0004928000016661827 180000 
170 0.0011960000010731164 231200 
200 0.0005913999993936159 320000 
250 0.0008635000012873206 500000 
400 0.0017536999985168222 1280000 
500 0.0031310000013036188 2000000 
600 0.005338499999197666 2880000 
800 0.007865499999752501 5120000 
1000 0.015900499998679152 8000000 
2000 0.10051079999902868 32000000 
5000 1.5231810999976005 200000000 
10000 10.083848200003558 800000000 

Corrida 1 
2 0.02985890000127256 32 
4 9.340000178781338e-05 128 
10 3.0800001695752144e-05 800 
15 2.4300003133248538e-05 1800 
20 5.7699999160831794e-05 3200 
30 4.609999814420007e-05 7200 
35 0.00016819999655126594 9800 
40 8.750000051804818e-05 12800 
45 9.520000094198622e-05 16200 
50 9.309999950346537e-05 20000 
55 0.0001038999980664812 24200 
60 0.00012419999984558672 28800 
65 0.00026309999884688295 33800 
80 0.00020109999968553893 51200 
100 0.0002275000006193295 80000 
150 0.0003357999994477723 180000 
170 0.0003915999986929819 231200 
200 0.000454699998954311 320000 
250 0.0006519999988086056 500000 
400 0.0014110000010987278 1280000 
500 0.0026982000017596874 2000000 
600 0.0040103999999701045 2880000 
800 0.009049399999639718 5120000 
1000 0.015227100000629434 8000000 
2000 0.09778279999954975 32000000 
5000 1.245193200000358 200000000 
10000 9.344100199999957 800000000 

Corrida 2 
2 0.030858800000714837 32 
4 9.4600000011269e-05 128 
10 3.3299998904112726e-05 800 
15 2.9200000426499173e-05 1800 
20 6.819999907747842e-05 3200 
30 5.669999882229604e-05 7200 
35 0.00013069999840809032 9800 
40 8.800000068731606e-05 12800 
45 0.00010390000170446001 16200 
50 0.00011730000187526457 20000 
55 0.00012509999942267314 24200 
60 0.00011559999984456226 28800 
65 0.00039449999894713983 33800 
80 0.0001894999986689072 51200 
100 0.00023879999935161322 80000 
150 0.0003569999971659854 180000 
170 0.0004154999987804331 231200 
200 0.0005486999980348628 320000 
250 0.000723099998140242 500000 
400 0.0014778999975533225 1280000 
500 0.0025423999977647327 2000000 
