Corrida 0 
2 0.00015359999997599516 64 
4 8.440000010523363e-05 256 
10 6.789999997636187e-05 1600 
15 0.00011140000015075202 3600 
20 0.0013830000002599263 6400 
30 0.0007657000001017877 14400 
35 0.00036150000005363836 19600 
40 0.0005163000000720785 25600 
45 0.0004913000002488843 32400 
50 0.0004954999999426946 40000 
55 0.0005279000001792156 48400 
60 0.0005204999997658888 57600 
65 0.0006616000000576605 67600 
80 0.0006994000000304368 102400 
100 0.0007576000002700312 160000 
150 0.001311600000008184 360000 
170 0.001047500000368018 462400 
200 0.0011766000002353394 640000 
250 0.0017901000001074863 1000000 
400 0.004923499999677006 2560000 
500 0.008649699999750737 4000000 
600 0.011936599999899045 5760000 
800 0.02974560000029669 10240000 
1000 0.054450399999950605 16000000 
2000 0.31653989999995247 64000000 
5000 4.147920400000203 400000000 
10000 50.11238239999966 1600000000 

Corrida 1 
2 0.1367420999999922 64 
4 0.00044879999995828257 256 
10 0.0001121999998758838 1600 
15 8.690000004207832e-05 3600 
20 0.00011690000019370927 6400 
30 0.0004426999998941028 14400 
35 0.0006375999996635073 19600 
40 0.0003854999999930442 25600 
45 0.0003872000002047571 32400 
50 0.0004652000002351997 40000 
55 0.00046300000030896626 48400 
60 0.001102799999898707 57600 
65 0.0003666000002340297 67600 
80 0.000388800000109768 102400 
100 0.0004493999999795051 160000 
150 0.0007277999998223095 360000 
170 0.0008963999998741201 462400 
200 0.0010035999998763145 640000 
250 0.0016480999997838808 1000000 
400 0.004090499999620079 2560000 
500 0.010184300000219082 4000000 
600 0.017560900000262336 5760000 
800 0.03517610000017157 10240000 
1000 0.06260530000008657 16000000 
2000 0.3935511000004226 64000000 
5000 6.809033399999862 400000000 
10000 50.32310359999974 1600000000 

Corrida 2 
2 0.129981399999906 64 
4 0.00020990000029996736 256 
10 0.0002808999997796491 1600 
15 0.00018210000007456983 3600 
20 0.0003808999999819207 6400 
30 0.00044089999983043526 14400 
35 0.0005866000001333305 19600 
40 0.0007196999999905529 25600 
45 0.000659900000300695 32400 
50 0.0006512999998449231 40000 
55 0.0006989999997131235 48400 
60 0.0007046000000627828 57600 
65 0.001150800000232266 67600 
80 0.0006177999998726591 102400 
100 0.0007098999999470834 160000 
150 0.0009015000000545115 360000 
170 0.0008751999998821702 462400 
200 0.001346300000022893 640000 
250 0.0029113000000506872 1000000 
400 0.0056760999996186 2560000 
500 0.009475100000145176 4000000 
600 0.01166960000000472 5760000 
800 0.0337453999995887 10240000 
1000 0.0651159999997617 16000000 
2000 0.4336777000003167 64000000 
5000 6.826452499999959 400000000 
10000 38.125105800000256 1600000000 

Corrida 3 
2 0.07678309999982957 64 
4 0.0002027000000452972 256 
10 9.209999961967696e-05 1600 
15 0.00018210000007456983 3600 
20 0.00016360000017812126 6400 
30 0.00032830000009198557 14400 
35 0.00048609999976179097 19600 
40 0.0003104000002167595 25600 
45 0.0003119000002698158 32400 
50 0.00045689999979003915 40000 
55 0.0004283000002942572 48400 
60 0.0006011000000398781 57600 
65 0.0006281999999373511 67600 
80 0.0006410000000869331 102400 
100 0.0006963999999243242 160000 
150 0.0010067999996863364 360000 
170 0.0009838000000854663 462400 
200 0.0009692000003269641 640000 
250 0.0014243000000533357 1000000 
400 0.004041400000005524 2560000 
500 0.006675799999811716 4000000 
600 0.00859409999975469 5760000 
800 0.021484200000031706 10240000 
1000 0.04094189999977971 16000000 
2000 0.28389229999993404 64000000 
5000 3.56062269999984 400000000 
10000 25.80567790000032 1600000000 

Corrida 4 
2 0.07443659999989904 64 
4 0.0001554000000396627 256 
10 0.00013290000015331316 1600 
15 0.00011969999968641787 3600 
20 0.00013179999996282277 6400 
30 0.0001498000001447508 14400 
35 0.0002882000003410212 19600 
40 0.0003424999999879219 25600 
45 0.0003658000000541506 32400 
50 0.00038119999999253196 40000 
55 0.00041479999981675064 48400 
60 0.00043310000000928994 57600 
65 0.0006407999999282765 67600 
80 0.0006173000001581386 102400 
100 0.0007975999997142935 160000 
150 0.0009463999999752559 360000 
170 0.0011388000002625631 462400 
200 0.0011280999997325125 640000 
250 0.0014740000001438602 1000000 
400 0.003955300000143325 2560000 
500 0.0067285999998603074 4000000 
600 0.010791100000005827 5760000 
800 0.02005509999980859 10240000 
1000 0.03891229999999268 16000000 
2000 0.28555469999992056 64000000 
5000 3.168358499999613 400000000 
10000 25.699787300000025 1600000000 

Corrida 5 
2 0.09726529999988998 64 
4 0.00010340000017095008 256 
10 5.429999964690069e-05 1600 
15 4.740000031233649e-05 3600 
20 0.0006052999997336883 6400 
30 0.00026569999999992433 14400 
35 0.0003129000001536042 19600 
40 0.0005813000002490298 25600 
45 0.0005670999998983461 32400 
50 0.0007236000001284992 40000 
55 0.0007582000002912537 48400 
60 0.0007469000001947279 57600 
