Corrida 0 
2 0.00023029999988466443 24 
4 7.129999994504033e-05 96 
10 6.570000005012844e-05 600 
15 6.589999998141138e-05 1350 
20 0.00018070000010084186 2400 
30 0.0001550000001770968 5400 
35 0.0003495999999358901 7350 
40 0.0002567999999882886 9600 
45 0.0002381000001605571 12150 
50 0.00024310000003424648 15000 
55 0.0002515999999559426 18150 
60 0.0003211000000646891 21600 
65 0.0004439000001639215 25350 
80 0.00043740000000980217 38400 
100 0.0008170000000973232 60000 
150 0.0011747999999442982 135000 
170 0.000947400000086418 173400 
200 0.0010974000001624518 240000 
250 0.0016229000000294036 375000 
400 0.0034800999999333726 960000 
500 0.005348600000161241 1500000 
600 0.007133999999950902 2160000 
800 0.014336800000137373 3840000 
1000 0.02648870000007264 6000000 
2000 0.15120539999998073 24000000 
5000 1.7771089000000302 150000000 
10000 11.247062299999925 600000000 

Corrida 1 
2 0.037163100000043414 24 
4 9.599999998499698e-05 96 
10 4.069999999956053e-05 600 
15 3.519999995660328e-05 1350 
20 7.019999998192361e-05 2400 
30 6.930000017746352e-05 5400 
35 0.00013939999985268514 7350 
40 0.00014680000003863825 9600 
45 0.00013849999982085137 12150 
50 0.0001689000000624219 15000 
55 0.0001702999998087762 18150 
60 0.00020500000005085894 21600 
65 0.000262999999904423 25350 
80 0.0002936000000772765 38400 
100 0.0003770999999233027 60000 
150 0.0005869999999958964 135000 
170 0.0008116999999856489 173400 
200 0.0011888999999882799 240000 
250 0.0015007999998033483 375000 
400 0.002924899999925401 960000 
500 0.005128900000045178 1500000 
600 0.006225999999969645 2160000 
800 0.011789700000008452 3840000 
1000 0.021246300000029805 6000000 
2000 0.14252059999989797 24000000 
5000 1.5477816000000075 150000000 
10000 10.356967700000041 600000000 

Corrida 2 
2 0.03335779999997612 24 
4 9.959999988495838e-05 96 
10 5.120000014358084e-05 600 
15 3.3300000040981104e-05 1350 
20 7.17000000349799e-05 2400 
30 6.580000012945675e-05 5400 
35 0.00019399999996494444 7350 
40 0.00016200000004573667 9600 
45 0.00015080000002853922 12150 
50 0.00015370000005532347 15000 
55 0.0001895999998851039 18150 
60 0.000191800000038711 21600 
65 0.00029949999998279964 25350 
80 0.00030259999994086684 38400 
100 0.0003901999998561223 60000 
150 0.0006002000000080443 135000 
170 0.0008766999999352265 173400 
200 0.000994300000002113 240000 
250 0.0012681000000611675 375000 
400 0.002784400000109599 960000 
500 0.004665400000021691 1500000 
600 0.0073170000000573054 2160000 
800 0.01444679999985965 3840000 
1000 0.022952400000121997 6000000 
2000 0.14341689999992013 24000000 
5000 1.4426089000000957 150000000 
10000 10.644513299999971 600000000 

Corrida 3 
2 0.032805099999904996 24 
4 9.439999985261238e-05 96 
10 4.8000000106185325e-05 600 
15 3.169999990859651e-05 1350 
20 6.8700000156241e-05 2400 
30 6.17999999121821e-05 5400 
35 0.00017729999990478973 7350 
40 0.0001506999999492109 9600 
45 0.00017419999994672253 12150 
50 0.00015979999989212956 15000 
55 0.00017690000004222384 18150 
60 0.0001886000000013155 21600 
65 0.0003034999999727006 25350 
80 0.000325299999985873 38400 
100 0.00038270000004558824 60000 
150 0.0005885999999009073 135000 
170 0.0007098999999470834 173400 
200 0.0009029000000282394 240000 
250 0.0012313000001995533 375000 
400 0.002785199999834731 960000 
500 0.004530800000111412 1500000 
600 0.006124800000179675 2160000 
800 0.010996100000056686 3840000 
1000 0.022716100000025108 6000000 
2000 0.13156950000006873 24000000 
5000 1.6652887000000192 150000000 
10000 11.622557999999799 600000000 

Corrida 4 
2 0.03959680000002663 24 
4 0.00010769999994408863 96 
10 4.799999987881165e-05 600 
15 4.37000001056731e-05 1350 
20 8.919999982026638e-05 2400 
30 8.419999994657701e-05 5400 
35 0.00017920000004778558 7350 
40 0.0001524000001609238 9600 
45 0.00015380000013465178 12150 
50 0.0001674000000093656 15000 
55 0.00017589999993106176 18150 
60 0.00017129999991993827 21600 
65 0.00031260000014299294 25350 
80 0.0003775999998651969 38400 
100 0.0005498000000443426 60000 
150 0.0006877999999232998 135000 
170 0.0009288000001106411 173400 
200 0.0010895000000346045 240000 
250 0.0014174000000366505 375000 
400 0.003179700000146113 960000 
500 0.00489119999997456 1500000 
600 0.0071520999999847845 2160000 
800 0.01418920000014623 3840000 
1000 0.02450779999981023 6000000 
2000 0.16042990000005375 24000000 
5000 1.6322186999998394 150000000 
10000 11.463380400000005 600000000 

Corrida 5 
2 0.04201820000002954 24 
4 0.00011760000006688642 96 
10 4.820000003746827e-05 600 
15 4.360000002634479e-05 1350 
20 8.589999993091624e-05 2400 
30 7.959999993545352e-05 5400 
35 0.0001729999999042775 7350 
40 0.0001609999999345746 9600 
45 0.0001734999998461717 12150 
50 0.00017449999995733378 15000 
55 0.00019220000012865057 18150 
60 0.00020310000013523677 21600 
65 0.0002784999999221327 25350 
80 0.00042529999996077095 38400 
100 0.0004339000001891691 60000 
150 0.0006112000000939588 135000 
170 0.0007376000000931526 173400 
200 0.0009433999998691434 240000 
250 0.001307999999880849 375000 
400 0.003006499999855805 960000 
500 0.005096000000094136 1500000 
600 0.007412700000031691 2160000 
800 0.014878200000111974 3840000 
1000 0.025292799999988347 6000000 
2000 0.15807150000000547 24000000 
5000 1.761961700000029 150000000 
10000 12.28307679999989 600000000 

Corrida 6 
2 0.04178689999980634 24 
4 0.0001190000000406144 96 
10 4.9600000011196244e-05 600 
15 4.239999998389976e-05 1350 
20 8.53000001370674e-05 2400 
30 8.179999986168696e-05 5400 
35 0.0001742000001740962 7350 
40 0.00016780000009930518 9600 
45 0.00016559999994569807 12150 
50 0.00016560000017307175 15000 
55 0.00018580000005385955 18150 
60 0.0001901999999063264 21600 
65 0.00028029999998580024 25350 
80 0.0002836999999544787 38400 
100 0.00036550000004353933 60000 
150 0.0005846999999903346 135000 
170 0.0006859999998596322 173400 
200 0.0008869999999205902 240000 
250 0.0013180999999349297 375000 
400 0.002923100000089107 960000 
500 0.005043699999987439 1500000 
600 0.006800600000133272 2160000 
800 0.013588899999831483 3840000 
1000 0.02162100000009559 6000000 
2000 0.16610270000001037 24000000 
5000 1.6844731999999567 150000000 
10000 18.174878000000035 600000000 

Corrida 7 
2 0.06513109999991684 24 
4 0.0001632000000881817 96 
10 7.709999999860884e-05 600 
15 6.919999987076153e-05 1350 
20 0.00012880000008408388 2400 
30 0.00012609999998858257 5400 
35 0.0002690999999686028 7350 
40 0.0002541999999721156 9600 
45 0.0002826999998433166 12150 
50 0.0002698000000691536 15000 
55 0.0003087000000050466 18150 
60 0.0003226999999697 21600 
65 0.0004475000000638829 25350 
80 0.00046939999992900994 38400 
100 0.0006006999999499385 60000 
150 0.0009392000001753331 135000 
170 0.0010909000000083324 173400 
200 0.0013965999999072665 240000 
250 0.0021583000000191532 375000 
400 0.004383400000051552 960000 
500 0.007131399999934729 1500000 
600 0.011637399999926856 2160000 
800 0.025461200000108875 3840000 
1000 0.04064250000010361 6000000 
2000 0.21237649999989117 24000000 
5000 3.325863799999979 150000000 
10000 24.260724900000014 600000000 

Corrida 8 
2 0.0677432999998473 24 
4 0.00017119999984060996 96 
10 7.989999994606478e-05 600 
15 7.049999999253487e-05 1350 
20 0.00013109999986227194 2400 
30 0.00014260000011745433 5400 
35 0.00028339999994386744 7350 
40 0.00025750000008883944 9600 
45 0.0002795000000332948 12150 
50 0.00028129999986958865 15000 
55 0.00045860000000175205 18150 
60 0.00037799999995513645 21600 
65 0.0004609000000073138 25350 
80 0.00047059999997145496 38400 
100 0.0005897000000913977 60000 
150 0.0009324999998625572 135000 
170 0.0011061000000154309 173400 
200 0.00141299999995681 240000 
250 0.002029199999924458 375000 
400 0.004884400000037203 960000 
500 0.008043399999905887 1500000 
600 0.011152499999980137 2160000 
800 0.02271429999996144 3840000 
1000 0.02843920000009348 6000000 
2000 0.21678610000003573 24000000 
5000 3.1495359000000462 150000000 
10000 24.648864499999945 600000000 

Corrida 9 
2 0.06858729999999014 24 
4 0.00017300000013165118 96 
10 9.159999990515644e-05 600 
15 8.53000001370674e-05 1350 
20 0.00016189999996640836 2400 
30 0.00016279999999824213 5400 
35 0.00031039999998938583 7350 
40 0.00026380000008430216 9600 
45 0.00026580000007925264 12150 
50 0.0002752999998847372 15000 
55 0.0003294000000551023 18150 
60 0.0003123999999843363 21600 
65 0.00046069999984865717 25350 
80 0.0004672000000027765 38400 
100 0.0006043999999292282 60000 
150 0.001053299999966839 135000 
170 0.0011661999999432737 173400 
200 0.0016633000000183529 240000 
250 0.002278699999806122 375000 
400 0.005075600000054692 960000 
500 0.008660400000053414 1500000 
600 0.011202199999843288 2160000 
800 0.022113600000011502 3840000 
1000 0.037931100000150764 6000000 
2000 0.2427703000000747 24000000 
5000 3.3211436999999933 150000000 
10000 13.800367000000051 600000000 

FINAL 
