Corrida 0 
2 0.004908699999997879 64 
4 5.72000000005346e-05 256 
10 4.919999999941638e-05 1600 
15 0.00012569999999811898 3600 
20 0.023803999999998382 6400 
30 0.0002709000000002959 14400 
35 0.0017767000000006306 19600 
40 0.00025220000000203413 25600 
45 0.0002675999999972589 32400 
50 0.0002826000000020201 40000 
55 0.001517199999998553 48400 
60 0.00030029999999925394 57600 
65 0.0008862000000000592 67600 
80 0.0005823999999989837 102400 
100 0.0004497000000007745 160000 
150 0.0034868000000010113 360000 
170 0.002663200000000643 462400 
200 0.003068400000000082 640000 
250 0.0023002999999981455 1000000 
400 0.004180400000002749 2560000 
500 0.01515320000000031 4000000 
600 0.010864100000002708 5760000 
800 0.022346899999998726 10240000 
1000 0.0639601999999968 16000000 
2000 0.3265382999999993 64000000 
5000 3.8062608000000004 400000000 
10000 28.873547799999997 1600000000 

Corrida 1 
2 0.05816139999999592 64 
4 0.00020070000000060872 256 
10 0.00012480000000181235 1600 
15 0.00010130000000430073 3600 
20 0.0001163000000019565 6400 
30 0.00012259999999741922 14400 
35 0.00022380000000055134 19600 
40 0.0003695000000050186 25600 
45 0.0002962999999951421 32400 
50 0.00029410000000495984 40000 
55 0.0003817999999995436 48400 
60 0.00037640000000038754 57600 
65 0.0004902000000015505 67600 
80 0.000533300000000736 102400 
100 0.0005704000000008591 160000 
150 0.0006454000000033489 360000 
170 0.0007702999999992244 462400 
200 0.0012465000000005944 640000 
250 0.0011414999999956876 1000000 
400 0.0030902000000025964 2560000 
500 0.005426300000003437 4000000 
600 0.014433300000000315 5760000 
800 0.0306308000000044 10240000 
1000 0.05229920000000021 16000000 
2000 0.3485209999999981 64000000 
5000 4.3028619000000035 400000000 
10000 31.3697723 1600000000 

Corrida 2 
2 0.11218499999999665 64 
4 0.00027190000000132386 256 
10 4.2600000000447835e-05 1600 
15 2.8799999995499093e-05 3600 
20 5.019999998978619e-05 6400 
30 7.209999999702177e-05 14400 
35 0.0010210000000085984 19600 
40 0.0003202000000044336 25600 
45 0.00033510000000092077 32400 
50 0.00031799999999293505 40000 
55 0.00043449999999722877 48400 
60 0.00037100000000123146 57600 
65 0.00043780000000026575 67600 
80 0.0004619999999988522 102400 
100 0.0005640999999911855 160000 
150 0.0005994000000129063 360000 
170 0.0022891000000129225 462400 
200 0.002638599999997382 640000 
250 0.002882599999992408 1000000 
400 0.004831000000010022 2560000 
500 0.007087200000000848 4000000 
600 0.013389400000008322 5760000 
800 0.03672240000000215 10240000 
1000 0.07206750000000284 16000000 
2000 0.4015987000000081 64000000 
5000 4.5071642999999995 400000000 
10000 26.482629800000012 1600000000 

Corrida 3 
2 0.05757570000000101 64 
4 6.289999998898566e-05 256 
10 4.999999998744897e-05 1600 
15 3.900000000101045e-05 3600 
20 0.00015729999999791744 6400 
30 9.249999999383363e-05 14400 
35 0.00021830000000022665 19600 
40 0.000328699999997184 25600 
45 0.000373100000004456 32400 
50 0.000358300000002032 40000 
55 0.00030180000000257223 48400 
60 0.00032480000000134623 57600 
65 0.0004157000000049038 67600 
80 0.00047869999998795265 102400 
100 0.0006527000000033922 160000 
150 0.00046059999999670254 360000 
170 0.0005627000000032467 462400 
200 0.0007247000000063508 640000 
250 0.0010553000000044221 1000000 
400 0.0028815000000008695 2560000 
500 0.005481500000001915 4000000 
600 0.00788709999999071 5760000 
800 0.020070799999999167 10240000 
1000 0.05389519999999948 16000000 
2000 0.331195699999995 64000000 
5000 3.6786914999999993 400000000 
10000 26.472909299999998 1600000000 

Corrida 4 
2 0.07151639999997883 64 
4 9.029999998233507e-05 256 
10 4.770000001030894e-05 1600 
15 2.7499999987412593e-05 3600 
20 0.00020280000001093867 6400 
30 0.00013269999999465654 14400 
35 0.0005600000000072214 19600 
40 0.0003974999999911688 25600 
45 0.0002931999999873369 32400 
50 0.0003255000000024211 40000 
55 0.0002868999999918742 48400 
60 0.0003670000000113305 57600 
65 0.0004456000000061522 67600 
80 0.00043500000001017725 102400 
100 0.0004729999999995016 160000 
150 0.0008778999999776715 360000 
170 0.0005173999999783518 462400 
200 0.0006191999999884956 640000 
250 0.0009251000000176646 1000000 
400 0.002715800000004265 2560000 
500 0.009636000000000422 4000000 
600 0.013111699999996063 5760000 
800 0.026123600000005354 10240000 
1000 0.0549344000000076 16000000 
2000 0.35210720000000606 64000000 
5000 3.711350100000004 400000000 
10000 25.892796300000015 1600000000 

Corrida 5 
2 0.05797549999999774 64 
4 0.0001458000000127413 256 
10 0.00010190000000420696 1600 
15 8.009999999103457e-05 3600 
20 9.300000002099296e-05 6400 
30 9.169999998448475e-05 14400 
35 0.00023369999999545144 19600 
40 0.00026359999998248895 25600 
45 0.00026610000000459877 32400 
50 0.000259599999992588 40000 
55 0.0002781999999967866 48400 
60 0.0002977000000043972 57600 
65 0.00042160000000990294 67600 
80 0.0004559000000199376 102400 
100 0.0005361999999990985 160000 
150 0.0006760999999926298 360000 
170 0.0007352000000082626 462400 
200 0.0007076999999924283 640000 
250 0.0012162000000159878 1000000 
400 0.002738200000010238 2560000 
500 0.01294150000001082 4000000 
600 0.012518499999998767 5760000 
800 0.0186271999999974 10240000 
1000 0.04737359999998603 16000000 
2000 0.3062586000000067 64000000 
5000 4.231789300000003 400000000 
10000 27.224116900000013 1600000000 

Corrida 6 
2 0.057798899999994546 64 
4 0.00038440000000150576 256 
10 5.079999999679785e-05 1600 
15 3.800000001774606e-05 3600 
20 0.00020279999998251697 6400 
30 0.00010209999999233332 14400 
35 0.00020999999998139174 19600 
40 0.0003719999999987067 25600 
45 0.00028670000000374785 32400 
50 0.0002985000000137461 40000 
55 0.0004088999999964926 48400 
60 0.00038569999998117055 57600 
65 0.000493099999999913 67600 
80 0.00048280000001454937 102400 
100 0.0002926999999885993 160000 
150 0.00045289999999909014 360000 
170 0.0005471999999997479 462400 
200 0.0006506000000001677 640000 
250 0.0010393000000021857 1000000 
400 0.0030227000000024873 2560000 
500 0.005452999999988606 4000000 
600 0.016216700000001083 5760000 
800 0.021176900000000387 10240000 
1000 0.04002470000000358 16000000 
2000 0.3304194000000109 64000000 
5000 3.5050965000000076 400000000 
10000 27.272143099999994 1600000000 

Corrida 7 
2 0.0598012999999753 64 
4 8.410000000935725e-05 256 
10 3.6399999999048305e-05 1600 
15 5.159999997772502e-05 3600 
20 0.00023189999998862731 6400 
30 0.0001304000000175165 14400 
35 0.00021359999999503998 19600 
40 0.0003284000000007836 25600 
45 0.00032889999999952124 32400 
50 0.00033640000000900727 40000 
55 0.0002925999999945361 48400 
60 0.0003270999999926971 57600 
65 0.00044589999998834173 67600 
80 0.0005101999999794771 102400 
100 0.0016988999999796306 160000 
150 0.0006938000000218381 360000 
170 0.0007444000000020878 462400 
200 0.0008041000000105214 640000 
250 0.0011172000000101434 1000000 
400 0.003043800000000374 2560000 
500 0.00576079999999024 4000000 
600 0.014232800000002044 5760000 
800 0.021814800000015566 10240000 
1000 0.053503000000006296 16000000 
2000 0.29634830000000534 64000000 
5000 3.6356851000000177 400000000 
10000 30.735452199999997 1600000000 

Corrida 8 
2 0.09805650000004107 64 
4 8.199999996350016e-05 256 
10 0.0001417999999944186 1600 
15 9.929999998803396e-05 3600 
20 9.47000000337539e-05 6400 
30 0.00011220000004641406 14400 
35 0.00021809999998367857 19600 
40 0.0003709000000071683 25600 
45 0.00033389999998689746 32400 
50 0.00034849999997277337 40000 
55 0.0004129999999804568 48400 
60 0.00041570000001911467 57600 
65 0.0004779999999868778 67600 
80 0.0005525000000261571 102400 
100 0.0018982000000278276 160000 
150 0.00576589999997168 360000 
170 0.0021760999999855812 462400 
200 0.0019052000000101543 640000 
250 0.002770699999985027 1000000 
400 0.005708499999968808 2560000 
500 0.006993099999988317 4000000 
600 0.024975499999982276 5760000 
800 0.038096699999982775 10240000 
1000 0.06771420000001172 16000000 
2000 0.3615667999999914 64000000 
5000 4.282672200000036 400000000 
10000 35.05000789999997 1600000000 

Corrida 9 
2 0.0564928000000009 64 
4 6.339999998772328e-05 256 
10 5.290000001423323e-05 1600 
15 9.629999999560823e-05 3600 
20 9.260000001631852e-05 6400 
30 9.560000000874425e-05 14400 
35 0.00019379999997681807 19600 
40 0.0002832000000125845 25600 
45 0.000313400000038655 32400 
50 0.0003016999999658765 40000 
55 0.0002805999999964115 48400 
60 0.0002701999999885629 57600 
65 0.0004045000000019172 67600 
80 0.00040180000002010274 102400 
100 0.0005472999999938111 160000 
150 0.0007936000000086096 360000 
170 0.0006582999999977801 462400 
200 0.0010136999999872387 640000 
250 0.0030294000000026244 1000000 
400 0.00308660000001737 2560000 
500 0.005264199999999164 4000000 
600 0.015800899999987905 5760000 
800 0.03160919999999123 10240000 
1000 0.054383999999970456 16000000 
2000 0.3239525000000185 64000000 
5000 4.490586300000018 400000000 
10000 27.41346870000001 1600000000 

FINAL 
