Corrida 0 
2 0.006584999999631691 32 
4 0.0005027000001973647 128 
10 5.7899999774235766e-05 800 
15 4.1400000100111356e-05 1800 
20 0.011912299999949028 3200 
30 0.000908500000150525 7200 
35 0.003143299999919691 9800 
40 0.000885299999936251 12800 
45 0.0014833999998700165 16200 
50 0.0003490000003694149 20000 
55 0.0005860999999640626 24200 
60 0.00025600000026315683 28800 
65 0.0024531000003662484 33800 
80 0.001130299999658746 51200 
100 0.0010278999998263316 80000 
150 0.0012510999999904016 180000 
170 0.0007857999999032472 231200 
200 0.0008050999999795749 320000 
250 0.0011200999997527106 500000 
400 0.0026161000000684 1280000 
500 0.004378999999971711 2000000 
600 0.005420099999810191 2880000 
800 0.012455199999749311 5120000 
1000 0.02184159999978874 8000000 
2000 0.1599701999998615 32000000 
5000 1.6667550000001938 200000000 
10000 11.610080599999947 800000000 

Corrida 1 
2 0.03139550000014424 32 
4 9.989999989556964e-05 128 
10 5.0099999953090446e-05 800 
15 3.199999991920777e-05 1800 
20 7.580000010420918e-05 3200 
30 6.409999969037017e-05 7200 
35 0.00019270000029791845 9800 
40 0.00015690000009271898 12800 
45 0.00016000000005078618 16200 
50 0.00015330000042013125 20000 
55 0.00017170000000987784 24200 
60 0.00020399999993969686 28800 
65 0.0002953999996861967 33800 
80 0.00028090000023439643 51200 
100 0.00034950000008393545 80000 
150 0.000576800000089861 180000 
170 0.0006198999999469379 231200 
200 0.0008054999998421408 320000 
250 0.0010600000000522414 500000 
400 0.002548599999954604 1280000 
500 0.004213900000195281 2000000 
600 0.006004500000017288 2880000 
800 0.009791200000108802 5120000 
1000 0.020875300000170682 8000000 
2000 0.14667069999995874 32000000 
5000 1.6131156999999803 200000000 
10000 10.768065400000069 800000000 

Corrida 2 
2 0.0370388000001185 32 
4 0.00011350000022503082 128 
10 5.9699999837903306e-05 800 
15 4.2499999835854396e-05 1800 
20 8.709999974598759e-05 3200 
30 7.900000036897836e-05 7200 
35 0.00016499999992447556 9800 
40 0.00015699999994467362 12800 
45 0.00015170000006037299 16200 
50 0.00016179999965970637 20000 
55 0.00030169999990903307 24200 
60 0.0002420999999230844 28800 
65 0.0002896000000873755 33800 
80 0.0002828000001500186 51200 
100 0.0003154999999424035 80000 
150 0.0005352000002858404 180000 
170 0.0006014000000504893 231200 
200 0.000754400000005262 320000 
250 0.0010103999998136715 500000 
400 0.0024220999998760817 1280000 
500 0.004389700000047014 2000000 
600 0.005763600000136648 2880000 
800 0.01177819999975327 5120000 
1000 0.021554500000092958 8000000 
2000 0.1395477999999457 32000000 
5000 1.5096007000001919 200000000 
10000 10.766183400000045 800000000 

Corrida 3 
2 0.03207060000022466 32 
4 9.49999998738349e-05 128 
10 4.930000022795866e-05 800 
15 3.28000000990869e-05 1800 
20 7.630000027347705e-05 3200 
30 6.469999971159268e-05 7200 
35 0.00016869999990376527 9800 
40 0.0001434000000699598 12800 
45 0.0001498000001447508 16200 
