Corrida 0 
2 0.00017779999996037077 64 
4 5.1399999961176945e-05 192 
10 6.590000009509822e-05 960 
15 7.080000000314612e-05 2040 
20 7.47999999930471e-05 3520 
30 6.12999999702879e-05 7680 
35 9.560000000874425e-05 10360 
40 0.00010749999989911885 13440 
45 0.0001661000000012791 16920 
50 0.00012950000007094786 20800 
55 0.00012800000001789158 25080 
60 0.0001421000000618733 29760 
65 0.00016000000005078618 34840 
80 0.00017079999997804407 52480 
100 0.0002197999999680178 81600 
150 0.00042919999998503044 182400 
170 0.00045160000001942535 233920 
200 0.0005828999999266671 323200 
250 0.0007818999999926746 504000 
400 0.0028740999999854466 1286400 
500 0.00452980000000025 2008000 
600 0.009230000000002292 2889600 
800 0.009932700000035766 5132800 
1000 0.0272747999999865 8016000 
2000 0.11424369999997452 32032000 
5000 0.9701348999999482 200080000 

Corrida 1 
2 0.00042110000003958703 64 
4 0.0001194999999825086 192 
10 0.00011570000003757741 960 
15 0.00010740000004716421 2040 
20 0.00012570000001232984 3520 
30 0.00015629999995780963 7680 
35 0.00015370000005532347 10360 
40 0.00016130000005887268 13440 
45 0.0001763999999866428 16920 
50 0.00016540000001441513 20800 
55 0.0001809000000321248 25080 
60 0.00022879999994529499 29760 
65 0.00020339999991847435 34840 
80 0.0002319999999826905 52480 
100 0.00028290000000197324 81600 
150 0.0005095999999866763 182400 
170 0.00040999999998803105 233920 
200 0.0004908000000796164 323200 
250 0.0007397000000537446 504000 
400 0.002732899999955407 1286400 
500 0.003456400000004578 2008000 
600 0.004127500000095097 2889600 
800 0.007701799999949799 5132800 
1000 0.01665190000005623 8016000 
2000 0.10242410000000746 32032000 
5000 0.9674671999999873 200080000 

Corrida 2 
2 0.00021190000006754417 64 
4 0.00015440000004218746 192 
10 5.69000000041342e-05 960 
15 5.1500000040505256e-05 2040 
20 5.82000000122207e-05 3520 
30 6.529999996018887e-05 7680 
35 7.289999996373808e-05 10360 
40 8.37000000046828e-05 13440 
45 7.579999999052234e-05 16920 
50 6.91000000188069e-05 20800 
55 0.00011139999992337835 25080 
60 7.809999999608408e-05 29760 
65 8.289999993849051e-05 34840 
80 9.89999999774227e-05 52480 
100 0.00012359999993805104 81600 
150 0.0003202000000328553 182400 
170 0.00027260000001660956 233920 
200 0.000324099999943428 323200 
250 0.0004931999999371328 504000 
400 0.0017970999999761261 1286400 
500 0.004049699999995937 2008000 
600 0.0039183999999750085 2889600 
800 0.007630499999891072 5132800 
1000 0.015579200000047422 8016000 
2000 0.11516919999996844 32032000 
5000 1.046149200000059 200080000 

Corrida 3 
2 0.00010750000001280569 64 
4 3.789999993841775e-05 192 
10 3.550000008090137e-05 960 
15 3.5099999990961805e-05 2040 
20 4.149999995206599e-05 3520 
30 4.500000000007276e-05 7680 
35 5.180000005111651e-05 10360 
40 5.369999996673869e-05 13440 
45 6.279999990965734e-05 16920 
50 5.8100000046579225e-05 20800 
55 6.139999993592937e-05 25080 
60 6.510000002890592e-05 29760 
65 7.100000004811591e-05 34840 
80 8.330000002843008e-05 52480 
100 0.00010190000000420696 81600 
150 0.00028069999996205297 182400 
170 0.0002345999999988635 233920 
200 0.00029700000004595495 323200 
250 0.000419200000010278 504000 
400 0.0017765999999710402 1286400 
500 0.0029182000000673725 2008000 
600 0.004132499999968786 2889600 
800 0.007361599999967439 5132800 
1000 0.014339300000074218 8016000 
2000 0.09122149999996054 32032000 
5000 0.9059174999999868 200080000 

Corrida 4 
2 0.00012199999991935329 64 
4 3.8199999949029007e-05 192 
10 3.570000001218432e-05 960 
15 3.660000004401809e-05 2040 
20 4.250000006322807e-05 3520 
30 4.9699999976837717e-05 7680 
35 5.290000001423323e-05 10360 
40 5.4500000032930984e-05 13440 
45 6.350000001020817e-05 16920 
50 5.989999999655993e-05 20800 
55 6.290000010267249e-05 25080 
60 6.680000001324515e-05 29760 
65 6.909999990512006e-05 34840 
80 8.400000001529406e-05 52480 
100 0.00010279999992235389 81600 
150 0.00027529999999842403 182400 
170 0.00023640000006253103 233920 
200 0.00029590000008283823 323200 
250 0.00041809999993347446 504000 
400 0.0017002999999249369 1286400 
500 0.0027272999999468084 2008000 
600 0.004545799999959854 2889600 
800 0.008988700000031713 5132800 
1000 0.016887999999994463 8016000 
2000 0.09502469999995355 32032000 
5000 0.9926829999999427 200080000 

Corrida 5 
2 0.00011080000001584267 64 
4 4.650000005312904e-05 192 
10 4.0000000012696546e-05 960 
15 4.1199999941454735e-05 2040 
20 4.719999992630619e-05 3520 
30 5.1399999961176945e-05 7680 
35 5.8899999999084685e-05 10360 
40 6.059999998342391e-05 13440 
45 6.480000001829467e-05 16920 
50 6.239999993340462e-05 20800 
55 6.56999999364416e-05 25080 
60 6.980000000567088e-05 29760 
65 7.579999999052234e-05 34840 
80 8.700000000771979e-05 52480 
100 0.00013220000005276233 81600 
150 0.0002527000000327462 182400 
170 0.000222899999926085 233920 
200 0.0002645999999231208 323200 
250 0.0003871999999773834 504000 
400 0.0017632999999932508 1286400 
500 0.00278620000005958 2008000 
600 0.0040143999999600055 2889600 
800 0.007140599999956976 5132800 
1000 0.015718900000024405 8016000 
2000 0.1146073999999544 32032000 
5000 0.9178348000000369 200080000 

Corrida 6 
2 0.00011040000003958994 64 
4 3.699999990658398e-05 192 
10 4.0000000012696546e-05 960 
15 3.6799999975301034e-05 2040 
20 4.150000006575283e-05 3520 
30 4.4799999955102976e-05 7680 
35 5.29999999798747e-05 10360 
40 0.0004861000001028515 13440 
45 0.0009287999999969543 16920 
50 0.00042659999996885745 20800 
55 0.0002971999999772379 25080 
60 0.00027379999994536774 29760 
65 0.000331200000005083 34840 
80 0.0004543999999668813 52480 
100 0.0005916999999726613 81600 
150 0.0011402000000089174 182400 
170 0.0012074999999640568 233920 
200 0.0011279000000286032 323200 
250 0.0016570000000228902 504000 
400 0.003061699999989287 1286400 
500 0.004809199999954217 2008000 
600 0.004923500000018066 2889600 
800 0.0104382000000669 5132800 
1000 0.013794299999972282 8016000 
2000 0.09387579999997797 32032000 
5000 0.9798892000000023 200080000 

Corrida 7 
2 0.00011349999999765714 64 
4 3.739999999652355e-05 192 
10 4.0000000012696546e-05 960 
15 3.6799999975301034e-05 2040 
20 4.1300000020783045e-05 3520 
30 4.560000002129527e-05 7680 
35 5.180000005111651e-05 10360 
40 6.710000002385641e-05 13440 
45 6.30999999202686e-05 16920 
50 5.910000004405447e-05 20800 
55 6.21000000364802e-05 25080 
60 6.60000000607397e-05 29760 
65 6.899999993947858e-05 34840 
80 8.360000003904133e-05 52480 
100 0.00010250000002542947 81600 
150 0.00027509999995345424 182400 
170 0.0002478999999766529 233920 
200 0.0003084999999600768 323200 
250 0.0004404000000022279 504000 
400 0.0017665000000306463 1286400 
500 0.002972999999997228 2008000 
600 0.0038728000000674 2889600 
800 0.007429099999967548 5132800 
1000 0.014293299999962983 8016000 
2000 0.11191289999999299 32032000 
5000 0.9928235999999515 200080000 

Corrida 8 
2 0.0001168999999663356 64 
4 3.970000000208529e-05 192 
10 3.7700000007134804e-05 960 
15 3.9099999980862776e-05 2040 
20 4.490000003443129e-05 3520 
30 4.560000002129527e-05 7680 
35 5.220000002736924e-05 10360 
40 6.78000000107204e-05 13440 
45 6.329999996523838e-05 16920 
50 5.859999998847343e-05 20800 
55 6.239999993340462e-05 25080 
60 6.539999992583034e-05 29760 
65 6.95999999607011e-05 34840 
80 8.32000000627886e-05 52480 
100 0.00010589999999410793 81600 
