Corrida 0 
2 0.00014550000000213004 48 
4 9.950000000458203e-05 128 
10 7.449999999664669e-05 560 
15 6.299999999725969e-05 1140 
20 8.700000000771979e-05 1920 
30 9.16999999986956e-05 4080 
35 0.00011080000000163182 5460 
40 0.00010969999999588254 7040 
45 8.990000000608234e-05 8820 
50 7.159999999828415e-05 10800 
55 8.269999999299671e-05 12980 
60 8.300000000360797e-05 15360 
65 8.590000000197051e-05 17940 
80 9.980000000098244e-05 26880 
100 0.00012130000000354357 41600 
150 0.0003221999999993841 92400 
170 0.00032099999999957163 118320 
200 0.00042479999999045504 163200 
250 0.0007075999999983651 254000 
400 0.0017424000000119122 646400 
500 0.0027103999999980033 1008000 
600 0.004380100000005882 1449600 
800 0.007171199999987721 2572800 
1000 0.023056499999995594 4016000 
2000 0.10973459999999591 16032000 
5000 1.0944127000000066 100080000 

Corrida 1 
2 0.00014219999999909305 48 
4 5.7399999988660966e-05 128 
10 5.4900000009183714e-05 560 
15 5.52999999996473e-05 1140 
20 6.369999999833453e-05 1920 
30 7.050000000674572e-05 4080 
35 7.93000000101074e-05 5460 
40 8.12000000109947e-05 7040 
45 9.00999999942087e-05 8820 
50 0.00011280000001079316 10800 
55 9.790000000009513e-05 12980 
60 0.0001023000000088814 15360 
65 9.850000000710679e-05 17940 
80 0.0001204999999941947 26880 
100 0.00012410000000784294 41600 
150 0.00027550000000076125 92400 
170 0.00022990000000788768 118320 
200 0.00030010000000402215 163200 
250 0.00040630000000874134 254000 
400 0.0013057000000031849 646400 
500 0.0036960999999990918 1008000 
600 0.010627299999995898 1449600 
800 0.009103400000000761 2572800 
1000 0.012407999999993535 4016000 
2000 0.08040549999999769 16032000 
5000 1.256401799999992 100080000 

Corrida 2 
2 0.00013069999999970605 48 
4 5.149999999787269e-05 128 
10 4.8599999999510146e-05 560 
15 5.009999999572301e-05 1140 
20 5.7099999992260564e-05 1920 
30 6.170000000338405e-05 4080 
35 7.019999999613447e-05 5460 
40 7.300000000043383e-05 7040 
45 8.110000000272066e-05 8820 
50 7.369999998729782e-05 10800 
55 7.82999999984213e-05 12980 
60 8.309999999767115e-05 15360 
65 8.779999998864696e-05 17940 
80 0.000117600000010043 26880 
100 0.00013810000000091804 41600 
150 0.00031130000000700875 92400 
170 0.00028070000000468553 118320 
200 0.00030580000000668406 163200 
250 0.00045830000000535165 254000 
400 0.0015605000000107339 646400 
500 0.0023801999999903956 1008000 
600 0.0073797999999953845 1449600 
800 0.008704899999997906 2572800 
1000 0.013649700000001985 4016000 
2000 0.13401169999998785 16032000 
5000 1.0444850000000088 100080000 

Corrida 3 
2 0.00012930000001176722 48 
4 4.1899999999372994e-05 128 
10 5.550000000198452e-05 560 
15 4.579999999521078e-05 1140 
20 6.0300000001234366e-05 1920 
30 6.4899999998147e-05 4080 
35 5.7399999988660966e-05 5460 
40 5.9399999997822306e-05 7040 
45 6.909999999038519e-05 8820 
50 6.46000000017466e-05 10800 
55 6.799999999884676e-05 12980 
60 7.170000000655818e-05 15360 
65 8.459999999388401e-05 17940 
80 8.060000000398304e-05 26880 
100 0.00010199999999827014 41600 
150 0.0002915999999970609 92400 
170 0.00023499999998932708 118320 
200 0.00028559999999799857 163200 
250 0.0004121999999995296 254000 
400 0.0011901999999963664 646400 
500 0.0019939999999962765 1008000 
600 0.003096499999998059 1449600 
