Corrida 0 
2 0.00010709999999392039 64 
4 4.060000000549735e-05 192 
10 4.029999999488609e-05 960 
15 3.8900000006947266e-05 2040 
20 5.160000000614673e-05 3520 
30 6.0200000007171184e-05 7680 
35 6.229999999618485e-05 10360 
40 6.160000000932087e-05 13440 
45 6.849999999758438e-05 16920 
50 7.19000000088954e-05 20800 
55 7.589999999879637e-05 25080 
60 8.109999998850981e-05 29760 
65 8.579999999369647e-05 34840 
80 0.00010170000000186974 52480 
100 0.00013509999999428146 81600 
150 0.00037739999999075735 182400 
170 0.00035400000000151977 233920 
200 0.00042829999999582924 323200 
250 0.0006008000000008451 504000 
400 0.0019999000000012757 1286400 
500 0.0034233000000085667 2008000 
600 0.017399400000002174 2889600 
800 0.03053380000000061 5132800 
1000 0.044112299999994775 8016000 
2000 0.13710680000001219 32032000 
5000 1.5808703000000008 200080000 

Corrida 1 
2 0.00013429999999914344 64 
4 4.040000000316013e-05 192 
10 4.269999999451102e-05 960 
15 3.990000000442251e-05 2040 
20 5.3899999997497616e-05 3520 
30 6.309999999132287e-05 7680 
35 6.559999999922184e-05 10360 
40 7.96000000065078e-05 13440 
45 7.730000000094606e-05 16920 
50 7.989999998869735e-05 20800 
55 0.00012179999998807034 25080 
60 9.310000000084528e-05 29760 
65 9.790000000009513e-05 34840 
80 0.00011460000000340642 52480 
100 0.00015959999998926833 81600 
150 0.00029059999999958563 182400 
170 0.0003985000000028549 233920 
200 0.0007021000000122513 323200 
250 0.0006386000000020431 504000 
400 0.001836699999998359 1286400 
500 0.003387200000005919 2008000 
600 0.00461399999998946 2889600 
800 0.009187799999992308 5132800 
1000 0.01933909999999628 8016000 
2000 0.15131230000000073 32032000 
5000 1.483639999999994 200080000 

Corrida 2 
2 0.00018299999999271677 64 
4 4.399999998838666e-05 192 
10 4.199999999343618e-05 960 
15 4.0799999993623715e-05 2040 
20 5.52999999996473e-05 3520 
30 6.4899999998147e-05 7680 
35 6.639999999435986e-05 10360 
40 6.960000000333366e-05 13440 
45 7.750000000328328e-05 16920 
50 7.970000000057098e-05 20800 
55 8.490000000449527e-05 25080 
60 8.929999999907068e-05 29760 
65 9.580000001108147e-05 34840 
80 0.00011080000000163182 52480 
100 0.00014649999999960528 81600 
150 0.00032339999999919655 182400 
170 0.00034999999999740794 233920 
200 0.0004289999999969041 323200 
250 0.000522599999996487 504000 
400 0.001960800000006202 1286400 
500 0.003306899999998336 2008000 
600 0.004969799999997804 2889600 
800 0.008949000000001206 5132800 
1000 0.022304699999992295 8016000 
2000 0.15981770000000495 32032000 
5000 1.5115969000000007 200080000 

Corrida 3 
2 0.00010849999999607007 64 
4 4.029999999488609e-05 192 
10 4.130000000657219e-05 960 
15 3.990000000442251e-05 2040 
20 5.250000000955879e-05 3520 
30 6.260000000679611e-05 7680 
35 8.119999999678384e-05 10360 
40 7.879999999715892e-05 13440 
45 7.839999999248448e-05 16920 
50 8.189999999785869e-05 20800 
55 8.680000000538257e-05 25080 
60 9.099999999762076e-05 29760 
65 0.00010199999999827014 34840 
80 0.0001125000000001819 52480 
100 0.0001486000000028298 81600 
150 0.00032330000000513337 182400 
170 0.0003487000000035323 233920 
200 0.00042990000000031614 323200 
250 0.0005869000000018332 504000 
400 0.002135799999990695 1286400 
500 0.003749700000000189 2008000 
600 0.0046219999999976835 2889600 
800 0.008891099999999597 5132800 
1000 0.018447299999991174 8016000 
2000 0.22661739999999497 32032000 
5000 1.4396265000000028 200080000 

Corrida 4 
2 0.0002703000000110478 64 
4 4.490000000600958e-05 192 
10 4.230000000404743e-05 960 
15 4.069999999956053e-05 2040 
20 5.4800000000909677e-05 3520 
30 6.479999998987296e-05 7680 
35 8.159999998724743e-05 10360 
40 6.849999999758438e-05 13440 
45 7.540000000005875e-05 16920 
50 7.870000000309574e-05 20800 
55 8.479999999622123e-05 25080 
60 8.95000000014079e-05 29760 
65 0.00011320000000125674 34840 
80 0.00011169999999083302 52480 
100 0.0001458000000127413 81600 
150 0.0003361999999924592 182400 
170 0.00040179999999168103 233920 
200 0.0004483999999962407 323200 
250 0.0005857999999960839 504000 
400 0.0019494999999949414 1286400 
500 0.0032470999999958394 2008000 
600 0.0046377000000035196 2889600 
800 0.009200800000002118 5132800 
1000 0.03375549999999805 8016000 
2000 0.11764660000000049 32032000 
5000 1.3999747999999954 200080000 

Corrida 5 
2 0.00016920000000197888 64 
4 4.3000000005122274e-05 192 
10 4.159999998876174e-05 960 
15 4.0199999986612056e-05 2040 
