Corrida 0 
2 0.00022189999999966403 48 
4 4.8599999999510146e-05 128 
10 5.3199999996422775e-05 560 
15 4.2000000000541604e-05 1140 
20 7.200000000295859e-05 1920 
30 7.340000000510827e-05 4080 
35 7.159999999828415e-05 5460 
40 6.420000000417758e-05 7040 
45 7.949999999823376e-05 8820 
50 7.80000000020209e-05 10800 
55 7.809999999608408e-05 12980 
60 8.399999999397778e-05 15360 
65 9.109999999878937e-05 17940 
80 0.00010400000000032605 26880 
100 0.00013810000000091804 41600 
150 0.0005875999999958026 92400 
170 0.0003582000000008634 118320 
200 0.0004159000000001356 163200 
250 0.0006856999999982349 254000 
400 0.0015225000000000932 646400 
500 0.002494699999999739 1008000 
600 0.003928399999999499 1449600 
800 0.007852400000004423 2572800 
1000 0.01484140000000167 4016000 
2000 0.16228329999999858 16032000 
5000 1.521260500000004 100080000 

Corrida 1 
2 0.00015369999999848005 48 
4 5.549999999487909e-05 128 
10 5.519999999847869e-05 560 
15 5.3900000004603044e-05 1140 
20 6.919999999865922e-05 1920 
30 8.400000000108321e-05 4080 
35 0.00010170000000186974 5460 
40 8.960000000257651e-05 7040 
45 0.00010110000000196351 8820 
50 0.00010629999999878237 10800 
55 0.00011149999999560123 12980 
60 0.00011429999999990059 15360 
65 0.00012660000000153104 17940 
80 0.0001469999999983429 26880 
100 0.00019439999999804058 41600 
150 0.00038260000000178707 92400 
170 0.0004038000000008424 118320 
200 0.000461000000001377 163200 
250 0.0007331999999991012 254000 
400 0.0016773000000043226 646400 
500 0.003097900000000209 1008000 
600 0.004296700000004705 1449600 
800 0.00797239999999988 2572800 
1000 0.02046229999999838 4016000 
2000 0.1379304000000019 16032000 
5000 1.5085448999999969 100080000 

Corrida 2 
2 0.0002652000000011867 48 
4 5.750000000404043e-05 128 
10 5.630000000422797e-05 560 
15 5.449999999740385e-05 1140 
20 7.04999999996403e-05 1920 
30 8.400000000108321e-05 4080 
35 0.00010299999999574538 5460 
40 9.049999999888314e-05 7040 
45 0.00010240000000294458 8820 
50 0.00010479999999546408 10800 
55 0.00011150000000270666 12980 
60 0.00011589999999728207 15360 
65 0.00012710000000026866 17940 
80 0.00014809999999698675 26880 
100 0.00019480000000271502 41600 
150 0.00039590000000089276 92400 
170 0.00039569999999855554 118320 
200 0.00047920000000090113 163200 
250 0.0007491000000001691 254000 
400 0.0018241000000003282 646400 
500 0.003095100000003015 1008000 
600 0.004528300000004037 1449600 
800 0.008541899999997327 2572800 
1000 0.0173069999999953 4016000 
2000 0.15410380000000146 16032000 
5000 1.4995681999999988 100080000 

Corrida 3 
2 0.0002902000000020166 48 
4 6.969999999739684e-05 128 
10 6.09000000011406e-05 560 
15 6.0300000001234366e-05 1140 
20 9.319999999490847e-05 1920 
30 6.229999999618485e-05 4080 
35 6.330000000076552e-05 5460 
40 6.290000000319651e-05 7040 
45 7.03000000044085e-05 8820 
50 0.00010490000000373811 10800 
