Corrida 0 
2 0.008003899999999398 64 
4 0.00012889999999998736 192 
10 0.00011150000000004212 960 
15 0.00010379999999976519 2040 
20 0.00012809999999952026 3520 
30 9.449999999944225e-05 7680 
35 8.590000000019415e-05 10360 
40 0.00010129999999985984 13440 
45 9.980000000009426e-05 16920 
50 0.0001082999999999501 20800 
55 9.460000000061086e-05 25080 
60 0.00015720000000030154 29760 
65 0.0002031999999996259 34840 
80 0.00013210000000007938 52480 
100 0.0008224999999999483 81600 
150 0.0006172999999991546 182400 
170 0.0006357000000001278 233920 
200 0.0006422999999999845 323200 
250 0.001261399999999746 504000 
400 0.0029241999999998214 1286400 
500 0.004351699999999958 2008000 
600 0.0062573999999999685 2889600 
800 0.011125900000000577 5132800 
1000 0.016280200000000633 8016000 
2000 0.12677150000000026 32032000 
5000 1.0809349 200080000 

Corrida 1 
2 0.00017770000000005837 64 
4 5.000000000077165e-05 192 
10 4.42999999998861e-05 960 
15 4.7999999999603915e-05 2040 
20 5.309999999969506e-05 3520 
30 0.00013829999999970255 7680 
35 6.980000000034181e-05 10360 
40 6.280000000025154e-05 13440 
45 8.00000000005241e-05 16920 
50 7.200000000029405e-05 20800 
55 7.5499999999451e-05 25080 
60 9.030000000009863e-05 29760 
65 8.270000000010214e-05 34840 
80 0.00010129999999985984 52480 
100 0.00020160000000046807 81600 
150 0.000300000000000189 182400 
170 0.0003394000000005448 233920 
200 0.00042100000000022675 323200 
250 0.0007282000000001787 504000 
400 0.0022408000000000428 1286400 
500 0.003900199999999465 2008000 
600 0.006067899999999682 2889600 
800 0.01077740000000027 5132800 
1000 0.018596099999999893 8016000 
2000 0.11998759999999997 32032000 
5000 1.0958895999999996 200080000 

Corrida 2 
2 0.00011760000000116122 64 
4 4.599999999932436e-05 192 
10 4.3599999999699435e-05 960 
15 4.6899999999183706e-05 2040 
20 5.05999999997897e-05 3520 
30 5.490000000030193e-05 7680 
35 5.969999999955178e-05 10360 
40 8.549999999907243e-05 13440 
45 7.290000000104158e-05 16920 
50 7.329999999861059e-05 20800 
55 7.479999999837617e-05 25080 
60 7.730000000094606e-05 29760 
65 8.350000000056923e-05 34840 
80 9.949999999925296e-05 52480 
100 0.0001657000000001574 81600 
150 0.0002504000000005391 182400 
170 0.00030330000000056145 233920 
200 0.0003806000000015075 323200 
250 0.0005758000000000152 504000 
400 0.002086199999999039 1286400 
500 0.0032759000000002203 2008000 
600 0.005077199999998783 2889600 
800 0.010495999999999839 5132800 
1000 0.018774099999999905 8016000 
2000 0.13304720000000003 32032000 
5000 1.0861271000000006 200080000 

Corrida 3 
2 0.00010649999999934323 64 
4 4.350000000030718e-05 192 
10 4.099999999951365e-05 960 
15 4.449999999955878e-05 2040 
20 4.8700000000678756e-05 3520 
30 5.329999999936774e-05 7680 
35 5.7299999999926854e-05 10360 
40 6.10999999999251e-05 13440 
45 6.409999999945626e-05 16920 
50 6.839999999996849e-05 20800 
55 7.209999999879813e-05 25080 
60 7.570000000001187e-05 29760 
65 8.180000000024279e-05 34840 
80 9.90999999999076e-05 52480 
100 0.00020780000000009125 81600 
150 0.0002931999999997714 182400 
170 0.0003533000000004449 233920 
200 0.00044169999999965626 323200 
250 0.0007608000000001169 504000 
400 0.0022452000000008354 1286400 
500 0.003281700000000498 2008000 
600 0.004876300000001166 2889600 
800 0.011194200000000265 5132800 
1000 0.02037729999999982 8016000 
2000 0.14264779999999888 32032000 
5000 1.1983276000000007 200080000 

Corrida 4 
2 0.0001289999999993796 64 
4 5.8000000001001695e-05 192 
10 0.00010849999999962279 960 
15 0.00010550000000009163 2040 
20 6.800000000062312e-05 3520 
30 7.14999999988919e-05 7680 
35 7.679999999865572e-05 10360 
40 8.120000000033656e-05 13440 
45 8.730000000056748e-05 16920 
50 9.099999999939712e-05 20800 
55 9.760000000014202e-05 25080 
60 0.00010229999999999961 29760 
65 0.00011180000000088341 34840 
80 0.0001335000000004527 52480 
100 0.0002423000000000286 81600 
150 0.0003717999999999222 182400 
170 0.0004443999999992343 233920 
200 0.0005393999999991905 323200 
250 0.00085550000000012 504000 
400 0.002532600000000329 1286400 
500 0.004421100000000067 2008000 
600 0.006315900000000596 2889600 
800 0.009725800000000007 5132800 
1000 0.016077900000000866 8016000 
2000 0.13087149999999959 32032000 
5000 1.0255542999999996 200080000 

Corrida 5 
2 0.00013590000000007763 64 
4 4.550000000058674e-05 192 
10 4.099999999951365e-05 960 
15 5.709999999936599e-05 2040 
20 4.990000000049122e-05 3520 
30 5.43000000003957e-05 7680 
35 5.81999999997862e-05 10360 
40 6.149999999927047e-05 13440 
45 6.510000000048421e-05 16920 
50 6.890000000048246e-05 20800 
55 7.169999999945276e-05 25080 
60 7.579999999940412e-05 29760 
65 8.330000000000837e-05 34840 
80 9.960000000042157e-05 52480 
100 0.00022029999999872985 81600 
150 0.0003003999999986462 182400 
170 0.0003717999999999222 233920 
200 0.0004359000000011548 323200 
250 0.0007502999999999815 504000 
400 0.0021886999999995993 1286400 
500 0.0034618999999995737 2008000 
600 0.005346499999999921 2889600 
800 0.009857099999999619 5132800 
1000 0.017875200000000646 8016000 
2000 0.13094589999999862 32032000 
5000 1.0712389999999985 200080000 

Corrida 6 
2 0.00012669999999914694 64 
4 4.4700000000119644e-05 192 
10 4.230000000049472e-05 960 
15 4.6299999999277475e-05 2040 
20 5.0200000000444334e-05 3520 
30 5.490000000030193e-05 7680 
35 5.980000000072039e-05 10360 
40 6.229999999973757e-05 13440 
45 6.619999999912807e-05 16920 
50 6.899999999987472e-05 20800 
55 7.35999999985637e-05 25080 
60 7.759999999912282e-05 29760 
65 8.330000000000837e-05 34840 
80 0.00010080000000023404 52480 
100 0.00021120000000074413 81600 
150 0.0003080999999998113 182400 
170 0.00035390000000035116 233920 
200 0.0004380000000008266 323200 
250 0.0007637999999996481 504000 
400 0.0022063000000009936 1286400 
500 0.0033690000000010656 2008000 
600 0.004876199999999997 2889600 
800 0.010511700000000346 5132800 
1000 0.01662750000000024 8016000 
2000 0.1438915999999999 32032000 
5000 1.0870402000000006 200080000 

Corrida 7 
2 0.00013679999999993697 64 
4 4.4599999998951034e-05 192 
10 4.140000000063537e-05 960 
15 4.549999999881038e-05 2040 
20 4.930000000058499e-05 3520 
30 5.379999999988172e-05 7680 
35 5.789999999805673e-05 10360 
40 6.099999999875649e-05 13440 
45 6.440000000296209e-05 16920 
50 6.959999999978095e-05 20800 
55 7.270000000048071e-05 25080 
60 7.570000000001187e-05 29760 
65 8.230000000253312e-05 34840 
80 0.00010089999999962629 52480 
100 0.00021050000000144564 81600 
150 0.00030459999999976617 182400 
170 0.00035210000000063246 233920 
200 0.00048740000000080386 323200 
250 0.0008344999999998493 504000 
400 0.0021135000000001014 1286400 
500 0.0034877999999984866 2008000 
600 0.005065399999999443 2889600 
800 0.009868400000001998 5132800 
1000 0.01635379999999742 8016000 
2000 0.11901160000000033 32032000 
5000 1.0748545000000007 200080000 

Corrida 8 
2 0.0001430000000013365 64 
4 5.550000000198452e-05 192 
10 5.530000000320001e-05 960 
15 6.039999999885026e-05 2040 
20 6.570000000039045e-05 3520 
30 7.24000000005276e-05 7680 
35 0.00015039999999899578 10360 
40 8.349999999879287e-05 13440 
45 0.00015349999999969555 16920 
50 9.479999999939537e-05 20800 
55 9.890000000112309e-05 25080 
60 0.00010359999999920433 29760 
65 0.00011130000000036944 34840 
80 0.00013509999999783417 52480 
100 0.0002729000000023518 81600 
150 0.00045529999999871507 182400 
170 0.000385399999998981 233920 
200 0.0004670000000004393 323200 
250 0.0007689000000006274 504000 
400 0.002470900000002274 1286400 
500 0.004201899999998204 2008000 
600 0.006031200000002457 2889600 
800 0.011613999999998015 5132800 
1000 0.019632899999997733 8016000 
2000 0.12695289999999915 32032000 
5000 1.0697085999999985 200080000 

Corrida 9 
2 0.00014039999999937436 64 
4 5.400000000221894e-05 192 
10 5.3600000001097214e-05 960 
15 5.8799999997916075e-05 2040 
20 6.399999999828765e-05 3520 
30 7.010000000207128e-05 7680 
35 0.0001620000000031041 10360 
40 9.259999999855495e-05 13440 
45 9.090000000000487e-05 16920 
50 9.460000000061086e-05 20800 
55 9.960000000219793e-05 25080 
60 0.00010469999999784818 29760 
65 0.0001126999999989664 34840 
80 0.00013420000000152754 52480 
100 0.00021230000000116434 81600 
150 0.00037659999999917204 182400 
170 0.00038239999999944985 233920 
200 0.000465099999999552 323200 
250 0.000724400000002845 504000 
400 0.002416200000002533 1286400 
500 0.004277300000001816 2008000 
600 0.006228799999998813 2889600 
800 0.011604099999999562 5132800 
1000 0.016449999999998965 8016000 
2000 0.1328788999999979 32032000 
5000 1.1123005 200080000 

FINAL 
