Corrida 0 
2 0.009647600000107559 48 
4 0.00010670000006030023 128 
10 4.789999979948334e-05 560 
15 0.00036599999998543353 1140 
20 9.440000007998606e-05 1920 
30 6.740000003446767e-05 4080 
35 6.919999987076153e-05 5460 
40 6.2199999774748e-05 7040 
45 8.649999995213875e-05 8820 
50 7.209999989754579e-05 10800 
55 8.129999991979275e-05 12980 
60 8.53000001370674e-05 15360 
65 0.00010040000006483751 17940 
80 0.00012700000002041634 26880 
100 0.002258399999846006 41600 
150 0.0004359999998087005 92400 
170 0.0004954000000907399 118320 
200 0.0005461999999170075 163200 
250 0.0008576000000175554 254000 
400 0.002258800000163319 646400 
500 0.0037402999998903397 1008000 
600 0.005231600000115577 1449600 
800 0.00808299999994233 2572800 
1000 0.013281300000016927 4016000 
2000 0.12916489999997793 16032000 
5000 1.0289723999999296 100080000 

Corrida 1 
2 0.00013439999997899577 48 
4 4.5700000100623583e-05 128 
10 4.3200000163778896e-05 560 
15 4.7100000074351556e-05 1140 
20 5.1699999858101364e-05 1920 
30 7.150000010369695e-05 4080 
35 0.00023170000008576608 5460 
40 0.00012279999987185874 7040 
45 6.769999981770525e-05 8820 
50 6.839999991825607e-05 10800 
55 7.21999999768741e-05 12980 
60 7.520000008298666e-05 15360 
65 8.230000003095483e-05 17940 
80 9.879999993245292e-05 26880 
100 0.00021860000015294645 41600 
150 0.0002987000000302942 92400 
170 0.00034719999985100003 118320 
200 0.00043039999991378863 163200 
250 0.0005720000001474546 254000 
400 0.0016270999999505875 646400 
500 0.0028589999999439897 1008000 
600 0.00428009999995993 1449600 
800 0.007934200000136116 2572800 
1000 0.01347370000007686 4016000 
2000 0.12246550000008938 16032000 
5000 0.9964786999998978 100080000 

Corrida 2 
2 0.0001288999999360385 48 
4 4.179999996267725e-05 128 
10 4.080000007888884e-05 560 
15 4.4399999978850246e-05 1140 
20 4.950000015924161e-05 1920 
30 5.620000001727021e-05 4080 
35 5.660000010720978e-05 5460 
40 5.8799999806069536e-05 7040 
45 6.260000009206124e-05 8820 
50 6.660000008196221e-05 10800 
55 7.21999999768741e-05 12980 
60 7.449999998243584e-05 15360 
65 8.06000000466156e-05 17940 
80 9.75999998900079e-05 26880 
100 0.0002062999999452586 41600 
150 0.00029589999985546456 92400 
170 0.0003435999999510386 118320 
200 0.00042629999984455935 163200 
250 0.000618100000110644 254000 
400 0.001782199999979639 646400 
500 0.0026568000000679604 1008000 
600 0.004217700000026525 1449600 
800 0.007768500000111089 2572800 
1000 0.0132607000000462 4016000 
2000 0.12345800000002782 16032000 
5000 0.9688160000000607 100080000 

Corrida 3 
2 0.00015890000008766947 48 
4 5.849999979545828e-05 128 
10 5.620000001727021e-05 560 
15 0.00023799999985385512 1140 
20 7.140000002436864e-05 1920 
30 7.300000015675323e-05 4080 
35 7.900000014160469e-05 5460 
40 8.000000002539309e-05 7040 
45 8.529999990969372e-05 8820 
50 9.15000000532018e-05 10800 
55 9.67000000855478e-05 12980 
60 0.00010100000008606003 15360 
65 0.00011010000002897868 17940 
80 0.00013029999990976648 26880 
100 0.00024239999993369565 41600 
150 0.0003135000001748267 92400 
170 0.00037489999999706924 118320 
200 0.0004607999999279855 163200 
250 0.0007499999999254214 254000 
400 0.001913900000090507 646400 
500 0.0032326000000466593 1008000 
600 0.005180900000141264 1449600 
800 0.007832499999949505 2572800 
1000 0.015517799999997806 4016000 
2000 0.12489780000009887 16032000 
5000 1.0112234999999146 100080000 

Corrida 4 
2 0.000125699999898643 48 
4 4.259999991518271e-05 128 
10 4.0299999909620965e-05 560 
15 4.489999992074445e-05 1140 
20 4.9199999921256676e-05 1920 
30 5.420000002231973e-05 4080 
35 5.809999993289239e-05 5460 
40 6.140000004961621e-05 7040 
45 6.319999988591007e-05 8820 
50 6.609999991269433e-05 10800 
55 7.249999998748535e-05 12980 
60 7.590000018353749e-05 15360 
65 8.200000002034358e-05 17940 
80 9.860000000116997e-05 26880 
100 0.00020610000001397566 41600 
150 0.0003236999998534884 92400 
170 0.0003704999999172287 118320 
200 0.00045139999997445557 163200 
250 0.0006691999999475229 254000 
400 0.0017093999999815424 646400 
500 0.0026491999999507243 1008000 
600 0.004208199999993667 1449600 
800 0.007775000000037835 2572800 
1000 0.012912400000004709 4016000 
2000 0.1393834999998944 16032000 
5000 1.0204257000000325 100080000 

Corrida 5 
2 0.00011210000002392917 48 
4 4.2099999973288504e-05 128 
10 3.980000019510044e-05 560 
15 5.149999992681842e-05 1140 
20 4.9600000011196244e-05 1920 
30 5.490000012287055e-05 4080 
35 5.82000000122207e-05 5460 
40 5.989999999655993e-05 7040 
45 6.329999996523838e-05 8820 
50 6.729999995513936e-05 10800 
55 7.149999987632327e-05 12980 
60 7.499999992433004e-05 15360 
65 8.100000013655517e-05 17940 
80 0.00010019999990618089 26880 
100 0.00020440000002963643 41600 
150 0.0002904999998918356 92400 
170 0.00035000000002582965 118320 
200 0.0004340000000411237 163200 
