Corrida 0 
2 0.0007882999999964113 80 
4 9.210000000337004e-05 288 
10 6.570000000039045e-05 1680 
15 6.169999999627862e-05 3720 
20 0.009681900000003907 6560 
30 0.00039780000000178006 14640 
35 0.0017209000000022456 19880 
40 0.000377200000002631 25920 
45 0.00040189999999995507 32760 
50 0.00038250000000061846 40400 
55 0.0003451999999981581 48840 
60 0.0004656999999994582 58080 
65 0.0007702999999992244 68120 
80 0.0007546000000004938 103040 
100 0.0008240000000014902 160800 
150 0.001505000000001644 361200 
170 0.0010928999999961775 463760 
200 0.001377699999999038 641600 
250 0.0022924000000017486 1002000 
400 0.0064413999999999305 2563200 
500 0.011832200000000626 4004000 
600 0.016605799999993565 5764800 
800 0.031464199999994946 10246400 
1000 0.0486805999999973 16008000 
2000 0.30208190000000457 64016000 
5000 3.3786124999999956 400040000 

Corrida 1 
2 0.015681700000001797 80 
4 7.949999999823376e-05 288 
10 5.099999999913507e-05 1680 
15 3.380000000419159e-05 3720 
20 6.0500000003571586e-05 6560 
30 6.780000000361497e-05 14640 
35 0.0001795999999956166 19880 
40 0.00015020000000021128 25920 
45 0.00015210000000109858 32760 
50 0.00016730000000109158 40400 
55 0.0001777999999958979 48840 
60 0.0001983000000009838 58080 
65 0.00028350000000187947 68120 
80 0.0003011000000014974 103040 
100 0.00046220000000118944 160800 
150 0.0008024000000048659 361200 
170 0.000896099999998512 463760 
200 0.0011308999999997127 641600 
250 0.0016087999999996327 1002000 
400 0.004279799999999057 2563200 
500 0.007602599999998461 4004000 
600 0.010938899999999308 5764800 
800 0.022302500000002112 10246400 
1000 0.04206910000000619 16008000 
2000 0.2836654999999979 64016000 
5000 5.201453000000001 400040000 

Corrida 2 
2 0.02887580000000156 80 
4 0.00012909999999521915 288 
10 7.43000000014149e-05 1680 
15 6.900000000342743e-05 3720 
20 0.00011429999999990059 6560 
30 0.00013599999999769352 14640 
35 0.0002898000000044476 19880 
40 0.0002542999999946005 25920 
45 0.0002691999999981931 32760 
50 0.0002866999999966424 40400 
55 0.0003132000000007906 48840 
60 0.00032670000000223354 58080 
65 0.0004518000000004463 68120 
80 0.00048559999999753245 103040 
100 0.0006176999999993882 160800 
150 0.001027199999995787 361200 
170 0.0012213999999985958 463760 
200 0.0015568000000030224 641600 
250 0.0024546000000000845 1002000 
400 0.006320399999999893 2563200 
500 0.013153699999996604 4004000 
600 0.0177576999999971 5764800 
800 0.035392699999995614 10246400 
1000 0.058560399999997514 16008000 
2000 0.47248959999999585 64016000 
5000 6.606929800000003 400040000 

Corrida 3 
2 0.03266710000000472 80 
4 0.0001261999999968566 288 
10 7.109999999954653e-05 1680 
15 6.86999999999216e-05 3720 
20 0.00011669999999952552 6560 
30 0.0001376999999962436 14640 
35 0.00027690000000291093 19880 
40 0.00026560000000586115 25920 
45 0.0002636999999978684 32760 
50 0.0002848999999969237 40400 
55 0.00031769999999653464 48840 
60 0.0003305999999980713 58080 
65 0.0004466999999976906 68120 
80 0.0004897000000028129 103040 
100 0.0006240999999960195 160800 
150 0.001036599999999055 361200 
170 0.0012188999999978023 463760 
200 0.0017269999999953711 641600 
250 0.0023602999999994267 1002000 
400 0.007163399999996045 2563200 
500 0.012666299999999353 4004000 
600 0.016638200000002712 5764800 
800 0.03986639999999397 10246400 
1000 0.07234520000000089 16008000 
2000 0.4319945999999959 64016000 
5000 6.5324627000000035 400040000 

Corrida 4 
2 0.030520699999996737 80 
4 0.00012519999999938136 288 
10 7.359999999323463e-05 1680 
15 7.139999999594693e-05 3720 
20 0.00011569999999494485 6560 
30 0.00013760000000218042 14640 
35 0.00028349999999477404 19880 
40 0.0002477999999968006 25920 
45 0.00029040000001145927 32760 
50 0.00030170000000850905 40400 
55 0.0003092999999978474 48840 
60 0.0003375000000005457 58080 
65 0.0004538999999965654 68120 
80 0.0005393999999938615 103040 
100 0.0006357000000036805 160800 
150 0.001048499999996011 361200 
170 0.0012258000000002767 463760 
200 0.0016367999999999938 641600 
250 0.0023908000000005813 1002000 
400 0.007212899999998967 2563200 
500 0.012563000000000102 4004000 
600 0.018900999999999613 5764800 
800 0.039256999999992104 10246400 
1000 0.0726946000000055 16008000 
2000 0.46027259999999615 64016000 
5000 6.288915500000002 400040000 

Corrida 5 
2 0.030072799999999233 80 
4 0.0001302999999950316 288 
10 7.529999999178472e-05 1680 
15 7.309999999449701e-05 3720 
20 0.00015679999999917982 6560 
30 0.0001412000000016178 14640 
35 0.0002912000000065973 19880 
40 0.0002633999999943626 25920 
45 0.0002764999999982365 32760 
50 0.0002836000000030481 40400 
55 0.0003087999999991098 48840 
60 0.0003273999999890975 58080 
65 0.0004425999999995156 68120 
80 0.00048739999999725114 103040 
100 0.0006781000000017912 160800 
150 0.0010881999999980962 361200 
170 0.0012475999999992382 463760 
200 0.0015198999999910257 641600 
250 0.002342100000007008 1002000 
400 0.007155099999991421 2563200 
500 0.010988399999988019 4004000 
600 0.018340600000001928 5764800 
800 0.03866330000001028 10246400 
1000 0.07087830000000395 16008000 
2000 0.4399950999999902 64016000 
5000 6.7357352999999875 400040000 

Corrida 6 
2 0.027444400000007363 80 
4 0.00011229999999784468 288 
10 6.54999999909478e-05 1680 
15 6.330000000787095e-05 3720 
20 0.00010449999999195825 6560 
30 0.00012540000000171858 14640 
35 0.00027000000000043656 19880 
40 0.000232600000003913 25920 
45 0.0002514000000104488 32760 
50 0.00028500000000519776 40400 
55 0.0003075999999992973 48840 
60 0.00036490000000810596 58080 
65 0.0004352999999923668 68120 
80 0.0004966000000052873 103040 
100 0.0007058000000057518 160800 
150 0.0009490000000056398 361200 
170 0.0011509999999930187 463760 
200 0.0014673999999956777 641600 
250 0.002502100000000951 1002000 
400 0.007605900000001498 2563200 
500 0.01438810000000501 4004000 
600 0.012444900000005532 5764800 
800 0.028497400000006223 10246400 
1000 0.04822219999999788 16008000 
2000 0.46819229999999834 64016000 
5000 6.842200399999996 400040000 

Corrida 7 
2 0.033049300000001836 80 
4 0.00013560000000722994 288 
10 7.689999999627162e-05 1680 
15 7.130000000188375e-05 3720 
20 0.00013200000000779255 6560 
30 0.00014769999999941774 14640 
35 0.0002879000000035603 19880 
40 0.00026319999999202537 25920 
45 0.0002676999999948748 32760 
50 0.00028539999999566135 40400 
55 0.0003193999999950847 48840 
60 0.00033290000000363307 58080 
65 0.00045319999999549054 68120 
80 0.0004972999999921512 103040 
100 0.0006643000000110533 160800 
150 0.0010919999999998709 361200 
170 0.0012305000000054633 463760 
200 0.00161070000000052 641600 
250 0.0023385000000075706 1002000 
400 0.0074752000000017915 2563200 
500 0.01237930000000631 4004000 
600 0.01882770000000278 5764800 
800 0.03845640000000117 10246400 
1000 0.05703849999999022 16008000 
2000 0.4665794999999946 64016000 
5000 6.825310000000002 400040000 

Corrida 8 
2 0.02927170000000956 80 
4 0.00012660000000153104 288 
10 7.410000000618311e-05 1680 
15 7.109999999954653e-05 3720 
20 0.0001163000000019565 6560 
30 0.00013789999999858082 14640 
35 0.0002840000000077225 19880 
40 0.0002551000000039494 25920 
45 0.0002903999999972484 32760 
50 0.00028809999999168667 40400 
55 0.0003035999999951855 48840 
60 0.0003284000000007836 58080 
65 0.000450299999997128 68120 
80 0.0004770000000036134 103040 
100 0.0006266000000039185 160800 
150 0.0010161999999951377 361200 
170 0.0012135000000057516 463760 
200 0.0014841000000131999 641600 
250 0.002516099999994026 1002000 
400 0.007163700000006656 2563200 
500 0.012708000000003494 4004000 
600 0.01867690000000266 5764800 
800 0.03790670000000773 10246400 
1000 0.05964920000000973 16008000 
2000 0.48181370000000356 64016000 
5000 6.598841500000006 400040000 

Corrida 9 
2 0.03510169999999846 80 
4 0.00012800000000368073 288 
