Corrida 0 
2 0.01146649999998317 64 
4 0.0002931999999873369 224 
10 6.960000001754452e-05 1280 
15 5.430000004480462e-05 2820 
20 0.011331800000050407 4960 
30 0.001038399999970352 11040 
35 0.004847600000005059 14980 
40 0.0005459999999857246 19520 
45 0.0005469999999831998 24660 
50 0.0002703000000110478 30400 
55 0.00047779999999875145 36740 
60 0.00032360000000153377 43680 
65 0.002949600000022201 51220 
80 0.001416699999992943 77440 
100 0.0008027000000083717 120800 
150 0.0010252999999806889 271200 
170 0.000942900000040936 348160 
200 0.0009230999999658707 481600 
250 0.0011949999999956162 752000 
400 0.003065999999989799 1923200 
500 0.0050828999999907865 3004000 
600 0.0067328999999745065 4324800 
800 0.01385499999997819 7686400 
1000 0.032951500000024225 12008000 
2000 0.21154270000005226 48016000 
5000 1.8078595000000064 300040000 

Corrida 1 
2 0.01826069999998481 64 
4 0.00010730000002467932 224 
10 5.7599999990998185e-05 1280 
15 5.149999998366184e-05 2820 
20 9.299999999257125e-05 4960 
30 8.870000004890244e-05 11040 
35 0.00019780000002356246 14980 
40 0.00013899999999011925 19520 
45 0.00014100000004191315 24660 
50 0.00016569999996818296 30400 
55 0.00016440000001693988 36740 
60 0.00018989999995255857 43680 
65 0.00026640000004363174 51220 
80 0.0003002999999921485 77440 
100 0.0003619000000298911 120800 
150 0.0005357000000003609 271200 
170 0.0007560999999896012 348160 
200 0.0008920000000216532 481600 
250 0.0011367999999833955 752000 
400 0.0029653999999936786 1923200 
500 0.004886199999987184 3004000 
600 0.006680600000038339 4324800 
800 0.01339669999998705 7686400 
1000 0.02109450000000379 12008000 
2000 0.15551260000000866 48016000 
5000 1.7114500000000135 300040000 

Corrida 2 
2 0.015286500000001979 64 
4 8.470000000215805e-05 224 
10 5.790000000160944e-05 1280 
15 3.890000004957983e-05 2820 
20 7.510000000365835e-05 4960 
30 6.869999998571075e-05 11040 
35 0.00019550000001800072 14980 
40 0.0001548000000184402 19520 
45 0.00014929999997548293 24660 
50 0.00020409999996218176 30400 
55 0.00022059999997736668 36740 
60 0.00023659999999381398 43680 
65 0.0002977999999984604 51220 
80 0.00033089999999447173 77440 
100 0.00037620000000515574 120800 
150 0.0005548999999973603 271200 
170 0.0006586000000083914 348160 
200 0.000930400000015652 481600 
250 0.0011948000000074899 752000 
400 0.0029676999999992404 1923200 
500 0.004819899999972677 3004000 
600 0.006530600000019149 4324800 
800 0.012984399999993457 7686400 
1000 0.02284989999998288 12008000 
2000 0.16554180000002816 48016000 
5000 1.6240947000000006 300040000 

Corrida 3 
2 0.016314000000022588 64 
4 8.409999998093554e-05 224 
10 5.790000000160944e-05 1280 
15 4.6599999961927097e-05 2820 
20 7.769999996298793e-05 4960 
30 6.91000000188069e-05 11040 
35 0.0001800999999659325 14980 
40 0.00016259999995327235 19520 
45 0.00015770000004522444 24660 
50 0.00016180000000076689 30400 
55 0.00019159999999374122 36740 
60 0.00023700000002691013 43680 
65 0.0002737000000365697 51220 
80 0.00030779999997321283 77440 
100 0.00036410000001296794 120800 
150 0.0005772000000092703 271200 
170 0.0007069999999771426 348160 
200 0.0009729000000220367 481600 
250 0.0012375999999676424 752000 
400 0.0029238000000191278 1923200 
500 0.0048659999999927095 3004000 
600 0.006581199999970977 4324800 
800 0.012854400000037458 7686400 
1000 0.02274789999995619 12008000 
2000 0.1604755000000182 48016000 
5000 1.7452997000000323 300040000 

Corrida 4 
2 0.01693449999999075 64 
4 0.00011319999998704589 224 
10 7.940000000417058e-05 1280 
15 7.460000000492073e-05 2820 
20 0.0001292000000034932 4960 
30 0.00022710000001779918 11040 
35 0.00018509999995330872 14980 
40 0.0001611000000139029 19520 
45 0.0001495999999860942 24660 
50 0.00015580000001591543 30400 
55 0.00017300000001796434 36740 
60 0.0002160999999887281 43680 
65 0.0003176999999823238 51220 
80 0.00032239999995908875 77440 
100 0.0003609999999980573 120800 
150 0.0005664999999908105 271200 
170 0.0007132000000069638 348160 
200 0.0009838999999942644 481600 
250 0.0013794999999845459 752000 
400 0.0030497999999852254 1923200 
500 0.0042890999999940504 3004000 
600 0.007622400000002472 4324800 
800 0.01436069999999745 7686400 
1000 0.024523900000019694 12008000 
2000 0.16870260000001736 48016000 
5000 1.9655314999999973 300040000 

Corrida 5 
2 0.01619609999994509 64 
4 8.55999999771484e-05 224 
10 4.2599999972026126e-05 1280 
15 3.850000001648368e-05 2820 
20 7.650000003422974e-05 4960 
30 6.710000002385641e-05 11040 
35 0.00019710000003669848 14980 
40 0.00015359999997599516 19520 
45 0.0001897999999869171 24660 
50 0.000172100000042974 30400 
55 0.00018519999997579362 36740 
60 0.00019899999995232065 43680 
65 0.0002850999999850501 51220 
80 0.0002783000000476932 77440 
100 0.00035239999999703286 120800 
150 0.0005304000000023734 271200 
170 0.0006103999999709231 348160 
200 0.0008123999999725129 481600 
250 0.0011830000000259133 752000 
400 0.002897299999972347 1923200 
500 0.004918800000041301 3004000 
600 0.006542400000000725 4324800 
800 0.013530600000024151 7686400 
1000 0.025755899999978737 12008000 
2000 0.159710299999972 48016000 
5000 1.756181300000037 300040000 

Corrida 6 
2 0.016496100000040315 64 
4 9.360000001379376e-05 224 
10 4.799999999249849e-05 1280 
15 4.2600000028869545e-05 2820 
20 8.300000001781882e-05 4960 
30 7.549999997991108e-05 11040 
35 0.00019639999999299107 14980 
40 0.00015250000001287844 19520 
45 0.00016069999998080675 24660 
50 0.00019069999996190745 30400 
55 0.00018940000001066437 36740 
60 0.00019080000004123576 43680 
65 0.00030249999997522536 51220 
80 0.0003323999999906846 77440 
100 0.0004109000000198648 120800 
150 0.0005828999999835105 271200 
170 0.0006824000000165142 348160 
200 0.0009388999999941916 481600 
250 0.001133500000037202 752000 
400 0.002896499999962998 1923200 
500 0.0047319999999899665 3004000 
600 0.007093900000029407 4324800 
800 0.013538999999980206 7686400 
1000 0.024554399999999532 12008000 
2000 0.16270889999998417 48016000 
5000 1.7008246000000327 300040000 

Corrida 7 
2 0.0176637999999798 64 
4 0.00012760000004163885 224 
10 8.439999999154679e-05 1280 
15 8.059999998977219e-05 2820 
20 0.00020690000002332454 4960 
30 7.629999998925996e-05 11040 
35 0.00020090000003847308 14980 
40 0.0001522000000022672 19520 
45 0.00015300000001161607 24660 
50 0.0001707000000124026 30400 
55 0.00017750000000660293 36740 
60 0.00022259999997231716 43680 
65 0.00027059999996481565 51220 
80 0.00027779999999211213 77440 
100 0.000375800000028903 120800 
150 0.0006131999999752225 271200 
170 0.0006839999999783686 348160 
200 0.0009164000000509986 481600 
250 0.0012040999999953783 752000 
400 0.0027804000000060114 1923200 
500 0.004294399999992038 3004000 
600 0.006807400000013786 4324800 
800 0.012853500000005624 7686400 
1000 0.0246913999999947 12008000 
2000 0.15932430000003706 48016000 
5000 1.6681811000000266 300040000 

Corrida 8 
2 0.016168199999981425 64 
4 7.210000001123262e-05 224 
10 3.850000001648368e-05 1280 
15 3.340000000662258e-05 2820 
20 6.400000000894579e-05 4960 
30 5.9399999997822306e-05 11040 
35 0.00018940000001066437 14980 
40 0.00015210000003662572 19520 
45 0.00016290000002072702 24660 
50 0.00017610000003287496 30400 
55 0.00018059999996467013 36740 
60 0.00021110000000135187 43680 
65 0.0002882999999656022 51220 
80 0.00039029999999229403 77440 
100 0.00043490000001611406 120800 
150 0.0006002000000080443 271200 
170 0.0007271000000059757 348160 
200 0.0009124000000042543 481600 
250 0.0012619999999969878 752000 
400 0.0028784999999516003 1923200 
500 0.004404399999998532 3004000 
600 0.006520000000023174 4324800 
800 0.01396540000001778 7686400 
1000 0.024155400000040572 12008000 
2000 0.16221250000000964 48016000 
5000 2.0141499000000067 300040000 

Corrida 9 
2 0.02152560000001813 64 
4 0.00011830000005375041 224 
10 6.329999996523838e-05 1280 
15 5.7200000014745456e-05 2820 
20 0.00010209999999233332 4960 
30 0.00018959999999879074 11040 
35 0.0002082999999970525 14980 
40 0.00018929999998817948 19520 
45 0.00019570000000612708 24660 
50 0.00020949999998265412 30400 
55 0.00021120000002383676 36740 
60 0.0002211999999985892 43680 
65 0.0003040999999939231 51220 
80 0.00031399999994619066 77440 
100 0.00041459999999915453 120800 
150 0.0006167999999888707 271200 
170 0.0007264999999847532 348160 
200 0.0009312999999906424 481600 
250 0.0013007000000015978 752000 
400 0.0031796999999755826 1923200 
500 0.005370099999993272 3004000 
600 0.008715300000005755 4324800 
800 0.015421199999991586 7686400 
1000 0.028613099999972746 12008000 
2000 0.18115349999999353 48016000 
5000 2.4101679999999988 300040000 

FINAL 
