Corrida 0 
2 0.0011762000000001827 64 
4 8.989999999986509e-05 192 
10 0.0031703000000002923 960 
15 9.490000000011989e-05 2040 
20 0.00012729999999994135 3520 
30 0.00013470000000026516 7680 
35 0.00017690000000003536 10360 
40 8.330000000000837e-05 13440 
45 9.22999999999341e-05 16920 
50 9.330000000007388e-05 20800 
55 8.849999999993585e-05 25080 
60 0.0001053999999998112 29760 
65 0.00011029999999978557 34840 
80 0.00012049999999996786 52480 
100 0.00018210000000040694 81600 
150 0.0010832999999998982 182400 
170 0.0004910999999996335 233920 
200 0.000554699999999908 323200 
250 0.0009022999999999115 504000 
400 0.003021100000000221 1286400 
500 0.004016700000000206 2008000 
600 0.0070720999999998035 2889600 
800 0.014150299999999838 5132800 
1000 0.021676499999999876 8016000 
2000 0.1176370999999996 32032000 
5000 1.2498598000000003 200080000 

Corrida 1 
2 9.929999999958028e-05 64 
4 3.8800000000449586e-05 192 
10 3.9799999999701186e-05 960 
15 3.8199999999655176e-05 2040 
20 5.1899999999882596e-05 3520 
30 7.620000000052585e-05 7680 
35 6.599999999945538e-05 10360 
40 6.509999999959604e-05 13440 
45 6.790000000034269e-05 16920 
50 7.100000000015427e-05 20800 
55 7.430000000052672e-05 25080 
60 7.749999999973056e-05 29760 
65 8.569999999963329e-05 34840 
80 0.00010090000000051447 52480 
100 0.00018790000000024065 81600 
150 0.00031610000000004135 182400 
170 0.0003145999999993876 233920 
200 0.00037850000000005934 323200 
250 0.0005756999999997348 504000 
400 0.002148299999999992 1286400 
500 0.0037418999999996316 2008000 
600 0.004621300000000161 2889600 
800 0.011570400000000092 5132800 
1000 0.02270919999999954 8016000 
2000 0.12183149999999987 32032000 
5000 1.2761674000000003 200080000 

Corrida 2 
2 9.30999999999571e-05 64 
4 3.680000000017003e-05 192 
10 3.849999999960829e-05 960 
15 3.729999999979583e-05 2040 
20 4.8600000000398325e-05 3520 
30 5.650000000034794e-05 7680 
35 7.239999999963942e-05 10360 
40 6.389999999978357e-05 13440 
45 6.750000000010914e-05 16920 
50 7.109999999954653e-05 20800 
55 7.500000000071338e-05 25080 
60 7.849999999987034e-05 29760 
65 8.520000000000749e-05 34840 
80 9.809999999976782e-05 52480 
