Corrida 0 
2 0.00024660000000054083 48 
4 6.810000000001537e-05 128 
10 4.720000000091318e-05 560 
15 4.489999999890415e-05 1140 
20 7.880000000071163e-05 1920 
30 6.829999999879988e-05 4080 
35 0.00010350000000158843 5460 
40 9.199999999864872e-05 7040 
45 7.929999999944926e-05 8820 
50 8.530000000206428e-05 10800 
55 9.960000000219793e-05 12980 
60 0.00015349999999969555 15360 
65 0.00013100000000321188 17940 
80 0.00023129999999937922 26880 
100 0.0002691000000005772 41600 
150 0.0005570999999982007 92400 
170 0.0004764000000001545 118320 
200 0.0005312000000010642 163200 
250 0.0007551999999968473 254000 
400 0.0021701000000007298 646400 
500 0.0034346999999996797 1008000 
600 0.0052967000000023745 1449600 
800 0.010264800000001628 2572800 
1000 0.017738800000000055 4016000 
2000 0.10285619999999795 16032000 
5000 1.0708835999999984 100080000 

Corrida 1 
2 0.00010730000000336304 48 
4 3.8499999998720114e-05 128 
10 3.900000000101045e-05 560 
15 3.7900000002366596e-05 1140 
20 4.9999999998107114e-05 1920 
30 5.91999999990378e-05 4080 
35 6.500000000286832e-05 5460 
40 6.30000000008124e-05 7040 
45 6.69999999978188e-05 8820 
50 7.010000000207128e-05 10800 
55 7.360000000034006e-05 12980 
60 7.80999999996368e-05 15360 
65 8.38000000022987e-05 17940 
80 9.799999999771103e-05 26880 
100 0.00012879999999881875 41600 
150 0.0002477999999968006 92400 
170 0.00025090000000105306 118320 
200 0.0003111999999987347 163200 
250 0.00043599999999699435 254000 
400 0.0014785999999986643 646400 
500 0.002763099999999241 1008000 
600 0.003621900000002398 1449600 
800 0.0066325999999996554 2572800 
1000 0.014386499999996971 4016000 
2000 0.09517070000000061 16032000 
5000 1.112444700000001 100080000 

Corrida 2 
2 0.0002304000000030726 48 
4 4.339999999913857e-05 128 
10 3.9699999998532576e-05 560 
15 3.900000000101045e-05 1140 
20 5.2200000002500246e-05 1920 
30 6.149999999749411e-05 4080 
35 6.810000000001537e-05 5460 
40 6.579999999800634e-05 7040 
45 6.810000000001537e-05 8820 
50 7.210000000057448e-05 10800 
55 7.460000000136802e-05 12980 
60 7.929999999944926e-05 15360 
65 8.530000000206428e-05 17940 
80 9.959999999864522e-05 26880 
100 0.00013030000000213704 41600 
150 0.0003035000000011223 92400 
170 0.00029649999999747934 118320 
200 0.0003390000000003113 163200 
250 0.0005127000000015869 254000 
400 0.0015050999999992598 646400 
500 0.0028663999999984924 1008000 
600 0.003719600000000156 1449600 
800 0.006397899999999623 2572800 
1000 0.015198299999998 4016000 
2000 0.09456770000000247 16032000 
5000 0.9362794999999977 100080000 

Corrida 3 
2 0.00011010000000055697 48 
4 3.829999999993561e-05 128 
10 3.910000000217906e-05 560 
15 3.879999999867323e-05 1140 
20 5.190000000254713e-05 1920 
30 5.9700000001328135e-05 4080 
35 6.600000000389628e-05 5460 
40 6.4899999998147e-05 7040 
45 6.799999999884676e-05 8820 
50 7.080000000314612e-05 10800 
55 7.439999999547808e-05 12980 
60 7.889999999832753e-05 15360 
65 8.58000000008019e-05 17940 
80 9.9399999996308e-05 26880 
100 0.0001298999999974626 41600 
150 0.0002843000000041229 92400 
170 0.00029820000000313485 118320 
200 0.0003640000000046939 163200 
250 0.0005628999999984785 254000 
400 0.0016180999999946266 646400 
500 0.002460800000001484 1008000 
600 0.0035638999999960674 1449600 
800 0.006821500000000924 2572800 
1000 0.014047400000002597 4016000 
2000 0.09412120000000357 16032000 
5000 1.0496707 100080000 

Corrida 4 
2 0.00013679999999993697 48 
4 0.0002155000000030327 128 
10 0.00016070000000212303 560 
15 5.3799999996329007e-05 1140 
20 6.570000000039045e-05 1920 
30 7.709999999860884e-05 4080 
35 8.449999999982083e-05 5460 
40 8.319999999883976e-05 7040 
45 8.7899999996921e-05 8820 
50 9.190000000103282e-05 10800 
55 9.779999999892652e-05 12980 
60 0.00010329999999925121 15360 
65 0.00011150000000270666 17940 
80 0.00012870000000475557 26880 
100 0.00016800000000216642 41600 
150 0.0003151000000016779 92400 
170 0.00035090000000082 118320 
200 0.00042450000000116006 163200 
250 0.0006911999999985596 254000 
400 0.0018363999999948533 646400 
500 0.003047100000003411 1008000 
600 0.0041551999999995815 1449600 
800 0.008320000000004768 2572800 
1000 0.01588220000000007 4016000 
2000 0.09855389999999886 16032000 
5000 1.1438103999999996 100080000 

Corrida 5 
2 0.00010520000000013852 48 
4 3.999999999848569e-05 128 
10 3.990000000442251e-05 560 
15 3.869999999750462e-05 1140 
20 4.930000000058499e-05 1920 
30 5.8499999994410246e-05 4080 
35 6.469999999580978e-05 5460 
40 6.360000000427135e-05 7040 
45 6.67999999990343e-05 8820 
50 7.04999999996403e-05 10800 
55 7.420000000024629e-05 12980 
60 7.959999999940237e-05 15360 
65 8.509999999972706e-05 17940 
80 9.959999999864522e-05 26880 
100 0.00012860000000358696 41600 
150 0.0002528000000054931 92400 
170 0.0002688000000006241 118320 
200 0.000320899999998403 163200 
250 0.0004786000000009949 254000 
400 0.0013859000000024935 646400 
500 0.0024404999999987353 1008000 
600 0.004223999999993566 1449600 
800 0.007941799999997556 2572800 
1000 0.016009699999997906 4016000 
2000 0.10429270000000201 16032000 
5000 0.9555323000000016 100080000 

Corrida 6 
2 0.00020680000000083965 48 
4 4.230000000404743e-05 128 
10 4.069999999956053e-05 560 
15 3.859999999633601e-05 1140 
20 5.120000000147229e-05 1920 
30 6.049999999646616e-05 4080 
35 6.62000000062335e-05 5460 
40 6.449999999347256e-05 7040 
45 6.779999999650954e-05 8820 
50 7.100000000548334e-05 10800 
55 7.399999999790907e-05 12980 
60 7.860000000192713e-05 15360 
65 8.499999999855845e-05 17940 
80 9.850000000000136e-05 26880 
100 0.00012919999999638776 41600 
150 0.00029490000000009786 92400 
170 0.00029829999999719803 118320 
200 0.0003656000000020754 163200 
250 0.0005821000000025833 254000 
400 0.0015964000000039391 646400 
500 0.0027295999999950027 1008000 
600 0.003703900000004978 1449600 
800 0.006425600000000031 2572800 
1000 0.013749600000004136 4016000 
2000 0.09419410000000283 16032000 
5000 0.9521701000000036 100080000 

Corrida 7 
2 0.00011700000000303135 48 
4 0.0001979000000034148 128 
10 0.00014780000000058635 560 
15 4.160000000297259e-05 1140 
20 5.149999999787269e-05 1920 
30 5.9900000003665355e-05 4080 
35 6.609999999795946e-05 5460 
40 6.4899999998147e-05 7040 
45 6.770000000244636e-05 8820 
50 7.139999999594693e-05 10800 
55 7.399999999790907e-05 12980 
60 7.899999999949614e-05 15360 
65 8.499999999855845e-05 17940 
80 9.92000000010762e-05 26880 
100 0.0001294999999998936 41600 
150 0.0002326999999979762 92400 
170 0.0002558999999990874 118320 
200 0.00032139999999714064 163200 
250 0.0004504999999994652 254000 
400 0.001565100000000541 646400 
500 0.0024026999999975374 1008000 
600 0.0034880999999984397 1449600 
800 0.00688000000000244 2572800 
1000 0.015683200000005115 4016000 
2000 0.0959992000000014 16032000 
5000 1.0155601000000019 100080000 

Corrida 8 
2 0.0002060999999997648 48 
4 4.100000000306636e-05 128 
10 4.020000000082291e-05 560 
15 3.919999999624224e-05 1140 
20 5.099999999913507e-05 1920 
30 6.069999999880338e-05 4080 
35 6.65000000026339e-05 5460 
40 6.429999999824076e-05 7040 
45 6.890000000225882e-05 8820 
50 7.180000000062137e-05 10800 
55 7.480000000015252e-05 12980 
60 7.969999999346555e-05 15360 
65 8.590000000197051e-05 17940 
80 0.00010009999999738284 26880 
100 0.0001298999999974626 41600 
150 0.00029689999999504835 92400 
170 0.0002993000000017787 118320 
200 0.0003665999999995506 163200 
250 0.0005847999999986087 254000 
400 0.0014962000000053877 646400 
500 0.002809700000000248 1008000 
600 0.003690200000001198 1449600 
800 0.006512200000003077 2572800 
1000 0.014179199999993841 4016000 
2000 0.09276360000000494 16032000 
5000 1.0336479000000054 100080000 

Corrida 9 
2 0.0002233999999958769 48 
4 5.139999999670408e-05 128 
10 5.080000000390328e-05 560 
15 4.930000000058499e-05 1140 
20 6.419999999707215e-05 1920 
30 7.790000000085229e-05 4080 
35 8.340000000117698e-05 5460 
40 8.189999999785869e-05 7040 
45 0.0001200000000025625 8820 
50 9.839999999883275e-05 10800 
55 0.00010009999999738284 12980 
60 0.00010409999999438924 15360 
65 0.00011229999999784468 17940 
80 0.0001296000000010622 26880 
100 0.00016850000000090404 41600 
150 0.0003415000000046575 92400 
170 0.00036719999999945685 118320 
200 0.00046090000000020837 163200 
250 0.0006585000000001173 254000 
400 0.0019382999999990602 646400 
500 0.0030436999999992054 1008000 
600 0.004238000000000852 1449600 
800 0.008513100000001828 2572800 
1000 0.017080399999997553 4016000 
2000 0.10881799999999942 16032000 
5000 1.0411682000000013 100080000 

FINAL 
