Corrida 0 
2 0.0001474999999118154 64 
4 6.710000002385641e-05 192 
10 5.1100000064252526e-05 960 
15 4.269999999451102e-05 2040 
20 5.459999988488562e-05 3520 
30 6.0699999949065386e-05 7680 
35 7.690000006732589e-05 10360 
40 8.180000008906063e-05 13440 
45 7.52999999349413e-05 16920 
50 9.299999987888441e-05 20800 
55 9.9800000043615e-05 25080 
60 9.380000005876354e-05 29760 
65 0.00011830000016743725 34840 
80 0.00011730000005627517 52480 
100 0.00018100000011145312 81600 
150 0.0004516000001331122 182400 
170 0.0005009000001336972 233920 
200 0.0008532000001650886 323200 
250 0.0018560000000888977 504000 
400 0.0027986000000055355 1286400 
500 0.004453800000192132 2008000 
600 0.006219600000122227 2889600 
800 0.011941900000010719 5132800 
1000 0.01768129999982193 8016000 
2000 0.10313079999991714 32032000 
5000 1.055603400000109 200080000 

Corrida 1 
2 0.00048659999993105885 64 
4 6.91000000188069e-05 192 
10 6.940000002941815e-05 960 
15 6.880000000819564e-05 2040 
20 8.589999993091624e-05 3520 
30 9.260000001631852e-05 7680 
35 0.00010369999995418766 10360 
40 9.950000003300374e-05 13440 
45 7.460000006176415e-05 16920 
50 7.370000002993038e-05 20800 
55 7.610000011482043e-05 25080 
60 8.130000014716643e-05 29760 
65 8.589999993091624e-05 34840 
80 0.00010139999994862592 52480 
100 0.00013259999991532823 81600 
150 0.00028640000004998 182400 
170 0.00030059999994591635 233920 
200 0.0003652999998848827 323200 
250 0.0005134000000452943 504000 
400 0.0016620999999759078 1286400 
500 0.003073800000038318 2008000 
600 0.004638800000066112 2889600 
800 0.008341900000004898 5132800 
1000 0.01738999999997759 8016000 
2000 0.10454189999995833 32032000 
5000 1.1744595999998637 200080000 

Corrida 2 
2 0.00010750000001280569 64 
4 3.880000008393836e-05 192 
10 3.760000004149333e-05 960 
15 3.580000020519947e-05 2040 
20 4.899999998997373e-05 3520 
30 5.799999985356408e-05 7680 
35 6.119999989095959e-05 10360 
40 6.009999992784287e-05 13440 
45 6.690000009257346e-05 16920 
50 7.019999998192361e-05 20800 
55 7.320000008803618e-05 25080 
60 7.80000000304426e-05 29760 
65 8.460000003651658e-05 34840 
80 9.88000001598266e-05 52480 
100 0.00013130000002092856 81600 
150 0.00022730000000592554 182400 
170 0.00024780000012469827 233920 
200 0.00031300000000555883 323200 
250 0.00044579999985217 504000 
400 0.001756500000055894 1286400 
500 0.0027514000000792294 2008000 
600 0.0040973999998641375 2889600 
800 0.008456100000103106 5132800 
1000 0.020287899999857473 8016000 
2000 0.10617939999997361 32032000 
5000 1.0486199000001761 200080000 

Corrida 3 
2 0.00016400000004068715 64 
4 4.0399999988949276e-05 192 
10 3.880000008393836e-05 960 
15 3.700000002027082e-05 2040 
20 4.99000000218075e-05 3520 
30 5.779999992228113e-05 7680 
35 6.230000008144998e-05 10360 
40 6.099999995967664e-05 13440 
45 6.789999997636187e-05 16920 
50 7.080000000314612e-05 20800 
55 7.44000001304812e-05 25080 
60 7.940000000417058e-05 29760 
65 8.680000019012368e-05 34840 
80 0.00010070000007544877 52480 
100 0.00013229999990471697 81600 
150 0.00030269999979282147 182400 
170 0.000301899999840316 233920 
200 0.0003660000002128072 323200 
250 0.0005102000000078988 504000 
400 0.0018235999998523766 1286400 
500 0.003071900000122696 2008000 
600 0.0044278999998823565 2889600 
800 0.01049860000011904 5132800 
1000 0.01995759999999791 8016000 
2000 0.10369500000001608 32032000 
5000 1.0235338999998476 200080000 

Corrida 4 
2 0.00010870000005525071 64 
4 3.870000000461005e-05 192 
10 3.919999994650425e-05 960 
15 3.709999987222545e-05 2040 
20 5.03999999637017e-05 3520 
30 7.619999996677507e-05 7680 
35 8.899999988898344e-05 10360 
40 6.440000015572878e-05 13440 
45 6.849999999758438e-05 16920 
50 7.110000001375738e-05 20800 
55 7.449999998243584e-05 25080 
60 7.970000001478184e-05 29760 
65 8.540000021639571e-05 34840 
80 0.0001007999999274034 52480 
100 0.00013319999993655074 81600 
150 0.00031260000014299294 182400 
170 0.00027569999997467676 233920 
200 0.0003355999999712367 323200 
250 0.00047419999987141637 504000 
400 0.001763999999866428 1286400 
500 0.003131100000018705 2008000 
600 0.004420299999992494 2889600 
800 0.00842270000021017 5132800 
1000 0.01847389999988991 8016000 
2000 0.1175709999999981 32032000 
5000 1.1027718000000277 200080000 

Corrida 5 
2 0.00010999999994965037 64 
4 3.680000008898787e-05 192 
10 3.860000015265541e-05 960 
15 3.579999997782579e-05 2040 
20 4.9999999873762135e-05 3520 
30 5.86999999541149e-05 7680 
35 6.12999999702879e-05 10360 
40 5.959999998594867e-05 13440 
45 6.789999997636187e-05 16920 
50 6.989999997131235e-05 20800 
55 7.400000004054164e-05 25080 
60 7.920000007288763e-05 29760 
65 8.499999989908247e-05 34840 
80 9.920000002239249e-05 52480 
100 0.00013169999988349446 81600 
150 0.0002970999998979096 182400 
170 0.00029760000006717746 233920 
200 0.00033849999999802094 323200 
250 0.00047369999992952216 504000 
400 0.0017943999998806248 1286400 
500 0.003048999999919033 2008000 
600 0.004486499999984517 2889600 
800 0.008409200000187411 5132800 
1000 0.01731049999989409 8016000 
2000 0.11109740000006241 32032000 
5000 1.0441193999999996 200080000 

Corrida 6 
2 0.00042119999989154167 64 
4 9.430000000065775e-05 192 
10 4.239999998389976e-05 960 
15 3.749999996216502e-05 2040 
20 5.080000005364127e-05 3520 
30 6.60000000607397e-05 7680 
35 6.260000009206124e-05 10360 
40 6.0699999949065386e-05 13440 
45 6.800000005569018e-05 16920 
50 7.080000000314612e-05 20800 
55 7.660000005671463e-05 25080 
60 7.950000008349889e-05 29760 
65 8.610000008957286e-05 34840 
80 0.00010120000001734297 52480 
100 0.00013319999993655074 81600 
150 0.0002993000000515167 182400 
170 0.0003048999999464286 233920 
200 0.0003653000001122564 323200 
250 0.00052230000005693 504000 
400 0.001915899999858084 1286400 
500 0.002906499999880907 2008000 
600 0.0044553000000178145 2889600 
800 0.008392200000116645 5132800 
1000 0.016900300000088464 8016000 
2000 0.10348820000012893 32032000 
5000 1.0440845000000536 200080000 

Corrida 7 
2 0.0001085999999759224 64 
4 3.8300000142044155e-05 192 
10 3.819999983534217e-05 960 
15 3.609999998843705e-05 2040 
20 4.979999994247919e-05 3520 
30 5.8500000022831955e-05 7680 
35 6.140000004961621e-05 10360 
40 6.009999992784287e-05 13440 
45 6.719999987581105e-05 16920 
50 7.00999999025953e-05 20800 
55 7.420000019919826e-05 25080 
60 7.83999998930085e-05 29760 
65 8.430000002590532e-05 34840 
80 9.990000012294331e-05 52480 
100 0.00013239999998404528 81600 
150 0.00029029999996055267 182400 
170 0.0003044000000045344 233920 
200 0.00036810000005971233 323200 
250 0.0005151999998815882 504000 
400 0.0018603000000894099 1286400 
500 0.0030756000001019856 2008000 
600 0.004426200000125391 2889600 
800 0.008191699999997581 5132800 
1000 0.01728739999998652 8016000 
2000 0.1379216999998789 32032000 
5000 1.0258676000000833 200080000 

Corrida 8 
2 0.00012639999999919382 64 
4 4.930000000058499e-05 192 
10 5.119999991620716e-05 960 
15 4.94000000799133e-05 2040 
20 6.549999989147182e-05 3520 
30 0.00012549999996736005 7680 
35 8.279999997284904e-05 10360 
40 8.079999997789855e-05 13440 
45 8.9399999978923e-05 16920 
50 9.209999984705064e-05 20800 
55 9.690000001683075e-05 25080 
60 0.0001033999999435764 29760 
65 0.00011110000014014076 34840 
80 0.0001305000000684231 52480 
100 0.000172399999883055 81600 
150 0.00030790000005254115 182400 
170 0.0003269000001182576 233920 
200 0.0004060000001118169 323200 
250 0.000570200000083787 504000 
400 0.0020751999998083193 1286400 
500 0.003193600000031438 2008000 
600 0.004328500000156055 2889600 
800 0.008161199999904056 5132800 
1000 0.018141499999956068 8016000 
2000 0.10527860000001965 32032000 
5000 1.0838105000000269 200080000 

Corrida 9 
2 0.00012179999998807034 64 
4 3.790000005210459e-05 192 
10 3.970000011577213e-05 960 
15 3.690000016831618e-05 2040 
20 5.0099999953090446e-05 3520 
30 5.9400000054665725e-05 7680 
35 9.479999994255195e-05 10360 
40 6.759999996575061e-05 13440 
45 7.209999989754579e-05 16920 
50 7.209999989754579e-05 20800 
55 7.630000004610338e-05 25080 
60 8.109999998850981e-05 29760 
65 8.640000010018412e-05 34840 
80 0.00010070000007544877 52480 
100 0.000133499999947162 81600 
150 0.0003050999998777115 182400 
170 0.0003039999999145948 233920 
200 0.000365399999964211 323200 
250 0.0005108000000291213 504000 
400 0.001934099999971295 1286400 
500 0.002948000000060347 2008000 
600 0.004291199999897799 2889600 
800 0.008479000000079395 5132800 
1000 0.01731160000008458 8016000 
2000 0.11830929999996442 32032000 
5000 1.0438698000000386 200080000 

FINAL 
