Corrida 0 
2 0.00017120000006798364 48 
4 4.350000017439015e-05 128 
10 4.489999992074445e-05 560 
15 4.009999997833802e-05 1140 
20 5.989999999655993e-05 1920 
30 6.880000000819564e-05 4080 
35 8.469999988847121e-05 5460 
40 6.719999987581105e-05 7040 
45 7.649999997738632e-05 8820 
50 7.88999998349027e-05 10800 
55 8.269999989352073e-05 12980 
60 8.899999988898344e-05 15360 
65 9.41000000693748e-05 17940 
80 0.00010890000021390733 26880 
100 0.00015210000015031255 41600 
150 0.0004000999999789201 92400 
170 0.0004469000000426604 118320 
200 0.0005066000001079374 163200 
250 0.0006733999998687068 254000 
400 0.00186600000006365 646400 
500 0.00318280000010418 1008000 
600 0.0050319999998009735 1449600 
800 0.010053999999854568 2572800 
1000 0.013460199999826727 4016000 
2000 0.10870260000001508 16032000 
5000 0.9512985999999728 100080000 

Corrida 1 
2 0.00041910000004463654 48 
4 5.019999980504508e-05 128 
10 4.1300000020783045e-05 560 
15 3.829999991467048e-05 1140 
20 5.03999999637017e-05 1920 
30 8.070000012594392e-05 4080 
35 6.310000003395544e-05 5460 
40 6.110000003900495e-05 7040 
45 6.889999986015027e-05 8820 
50 7.099999993442907e-05 10800 
55 7.449999998243584e-05 12980 
60 8.150000007844937e-05 15360 
65 8.659999980409339e-05 17940 
80 9.909999994306418e-05 26880 
100 0.00012969999988854397 41600 
150 0.0002800999998271436 92400 
170 0.0003054999999676511 118320 
200 0.00036039999986314797 163200 
250 0.0005681999998614629 254000 
400 0.0014587000000574335 646400 
500 0.0022197000000687694 1008000 
600 0.003797899999881338 1449600 
800 0.006713600000011866 2572800 
1000 0.01364929999999731 4016000 
2000 0.09601889999999003 16032000 
5000 0.9464074999998502 100080000 

Corrida 2 
2 0.00011069999982282752 48 
4 3.919999994650425e-05 128 
10 3.829999991467048e-05 560 
15 3.710000009959913e-05 1140 
20 5.069999997431296e-05 1920 
30 5.959999998594867e-05 4080 
35 6.170000006022747e-05 5460 
40 6.08000000283937e-05 7040 
45 6.849999999758438e-05 8820 
50 7.05999998444895e-05 10800 
55 7.449999998243584e-05 12980 
60 7.929999992484227e-05 15360 
65 8.419999994657701e-05 17940 
80 0.00010010000005422626 26880 
100 0.00012989999981982692 41600 
150 0.0002834000001712411 92400 
170 0.0002896000000873755 118320 
200 0.0003450000001521403 163200 
250 0.0004919999998946878 254000 
400 0.0015036999998301326 646400 
500 0.002299300000004223 1008000 
600 0.0037404999998216226 1449600 
800 0.006728800000018964 2572800 
1000 0.0137145999999575 4016000 
2000 0.09355479999999261 16032000 
5000 1.0138629000000492 100080000 

Corrida 3 
2 0.00013809999995828548 48 
4 0.00022319999993669626 128 
10 0.00016800000003058813 560 
15 4.600000011123484e-05 1140 
20 5.3700000080425525e-05 1920 
30 6.250000001273293e-05 4080 
35 6.34000000445667e-05 5460 
40 6.199999984346505e-05 7040 
45 6.91000000188069e-05 8820 
50 7.140000002436864e-05 10800 
55 7.510000000365835e-05 12980 
60 7.940000000417058e-05 15360 
65 8.550000006835035e-05 17940 
80 9.959999988495838e-05 26880 
100 0.00013020000005781185 41600 
150 0.0002374999999119609 92400 
170 0.0002514000000246597 118320 
200 0.00030790000005254115 163200 
250 0.0006743999999798689 254000 
400 0.0015078999999786902 646400 
500 0.0024811000000681815 1008000 
600 0.00404860000003282 1449600 
800 0.008017699999982142 2572800 
1000 0.016159600000037244 4016000 
2000 0.09354730000018208 16032000 
5000 0.9568517000000156 100080000 

Corrida 4 
2 0.0002369999999700667 48 
4 4.950000015924161e-05 128 
10 4.11000000895001e-05 560 
15 3.8099999983387534e-05 1140 
20 5.080000005364127e-05 1920 
30 5.9400000054665725e-05 4080 
35 6.240000016077829e-05 5460 
40 6.08000000283937e-05 7040 
45 6.74999998864223e-05 8820 
50 7.030000006125192e-05 10800 
55 7.559999994555255e-05 12980 
60 7.950000008349889e-05 15360 
65 8.429999979853164e-05 17940 
80 9.949999980563007e-05 26880 
100 0.00012960000003658934 41600 
150 0.0002822999999807507 92400 
170 0.00029960000006212795 118320 
200 0.0003564999999525753 163200 
250 0.0005839000000378292 254000 
400 0.0014405000001715962 646400 
500 0.0022252000001117267 1008000 
600 0.003583699999808232 1449600 
800 0.006711900000027526 2572800 
1000 0.013809399999900052 4016000 
2000 0.0945980999999847 16032000 
5000 1.0240894999999455 100080000 

Corrida 5 
2 0.00010579999980109278 48 
4 3.739999988283671e-05 128 
10 3.930000002583256e-05 560 
15 3.6500000078376615e-05 1140 
20 5.069999997431296e-05 1920 
30 5.989999999655993e-05 4080 
35 6.149999990157085e-05 5460 
40 6.119999989095959e-05 7040 
45 6.839999991825607e-05 8820 
50 7.019999998192361e-05 10800 
55 7.44000001304812e-05 12980 
60 7.979999986673647e-05 15360 
65 8.490000004712783e-05 17940 
80 9.829999999055872e-05 26880 
100 0.0001295000001846347 41600 
150 0.00029760000006717746 92400 
170 0.00029689999996662664 118320 
200 0.00035769999999502033 163200 
250 0.0005669999998190178 254000 
400 0.0015468999999939115 646400 
500 0.0022036000000298372 1008000 
600 0.003544400000009773 1449600 
800 0.006625800000165327 2572800 
1000 0.02222839999990356 4016000 
2000 0.10844110000016371 16032000 
5000 1.1515386999999464 100080000 

Corrida 6 
2 0.00011690000019370927 48 
4 4.809999995813996e-05 128 
10 5.0799999826267594e-05 560 
15 5.080000005364127e-05 1140 
20 6.359999997584964e-05 1920 
30 7.619999996677507e-05 4080 
35 8.019999995667604e-05 5460 
40 8.019999995667604e-05 7040 
45 8.969999998953426e-05 8820 
50 9.419999992132944e-05 10800 
55 9.860000000116997e-05 12980 
60 0.00010629999997036066 15360 
65 0.00011180000001331791 17940 
80 0.0001299000000472006 26880 
100 0.00016970000001492735 41600 
150 0.0003434000000197557 92400 
170 0.00036559999989549397 118320 
200 0.00045810000005985785 163200 
250 0.0006525999999666965 254000 
400 0.001668300000119416 646400 
500 0.002175000000079308 1008000 
600 0.003546700000015335 1449600 
800 0.006869399999914094 2572800 
1000 0.017703200000141806 4016000 
2000 0.10509189999993396 16032000 
5000 0.965899600000057 100080000 

Corrida 7 
2 0.0003372999999555759 48 
4 9.399999999004649e-05 128 
10 4.190000004200556e-05 560 
15 3.7400000110210385e-05 1140 
20 5.069999997431296e-05 1920 
30 6.199999984346505e-05 4080 
35 6.419999999707215e-05 5460 
40 6.199999984346505e-05 7040 
45 6.939999980204448e-05 8820 
50 7.110000001375738e-05 10800 
55 7.52999999349413e-05 12980 
60 8.01000001047214e-05 15360 
65 8.500000012645614e-05 17940 
80 9.989999989556964e-05 26880 
100 0.0001299000000472006 41600 
