Corrida 0 
2 0.00019079999998439234 64 
4 6.489999998393614e-05 192 
10 6.159999998089916e-05 960 
15 6.860000002006927e-05 2040 
20 8.63000000208558e-05 3520 
30 9.849999997868508e-05 7680 
35 0.00010639999999284555 10360 
40 0.00010489999999663269 13440 
45 0.00011699999998882049 16920 
50 0.00014140000001816588 20800 
55 0.00013709999996081024 25080 
60 0.00014040000002069064 29760 
65 0.00015070000000605432 34840 
80 0.00018739999995887047 52480 
100 0.00025030000000469954 81600 
150 0.00046689999999216525 182400 
170 0.0005366000000321947 233920 
200 0.000843799999984185 323200 
250 0.0009325999999987289 504000 
400 0.002908999999988282 1286400 
500 0.004299300000013773 2008000 
600 0.00572719999996707 2889600 
800 0.011160299999971812 5132800 
1000 0.01754530000005161 8016000 
2000 0.11282629999999472 32032000 
5000 1.0943264 200080000 

Corrida 1 
2 0.00011739999996507322 64 
4 4.0400000045792694e-05 192 
10 4.0399999988949276e-05 960 
15 3.800000001774606e-05 2040 
20 5.209999994804093e-05 3520 
30 5.95000000203072e-05 7680 
35 6.239999999024803e-05 10360 
40 6.179999996902552e-05 13440 
45 6.889999997383711e-05 16920 
50 7.109999995691396e-05 20800 
55 7.589999995616381e-05 25080 
60 7.910000005040274e-05 29760 
65 8.680000001959343e-05 34840 
80 0.00010270000001355584 52480 
100 0.00013519999998834464 81600 
150 0.0003543000000263419 182400 
170 0.0003188000000022839 233920 
200 0.0003771000000369895 323200 
250 0.0005429999999932988 504000 
400 0.0019452999999884923 1286400 
500 0.002850599999987935 2008000 
600 0.004213999999990392 2889600 
800 0.008540699999969092 5132800 
1000 0.02226970000003803 8016000 
2000 0.109742400000016 32032000 
5000 1.1147503000000256 200080000 

Corrida 2 
2 0.00011169999999083302 64 
4 3.9099999980862776e-05 192 
10 3.939999999147403e-05 960 
15 3.7800000029619696e-05 2040 
20 5.2799999991748336e-05 3520 
30 6.180000002586894e-05 7680 
35 6.33000000220818e-05 10360 
40 6.170000000338405e-05 13440 
45 6.8999999996322e-05 16920 
50 7.17000000349799e-05 20800 
55 7.61000000011336e-05 25080 
60 8.040000000164582e-05 29760 
65 8.659999997462364e-05 34840 
80 0.00010359999998854619 52480 
100 0.0001348999999777334 81600 
150 0.0002475000000004002 182400 
170 0.00027000000000043656 233920 
200 0.0003765999999814085 323200 
250 0.000518499999998312 504000 
400 0.0017343999999752668 1286400 
500 0.0028973000000291904 2008000 
600 0.004442999999980657 2889600 
800 0.009780900000009751 5132800 
1000 0.02499599999998736 8016000 
2000 0.104539299999999 32032000 
5000 1.3474417000000471 200080000 

Corrida 3 
2 0.00010500000001911758 64 
4 3.929999996898914e-05 192 
10 4.020000000082291e-05 960 
15 3.830000002835732e-05 2040 
20 5.0499999986186594e-05 3520 
30 7.699999997612395e-05 7680 
35 7.769999996298793e-05 10360 
40 6.459999997332488e-05 13440 
45 6.999999999379725e-05 16920 
50 7.249999998748535e-05 20800 
55 7.690000001048247e-05 25080 
60 8.259999998472267e-05 29760 
65 8.699999995087637e-05 34840 
80 0.00010280000003604073 52480 
100 0.0001730999999836058 81600 
150 0.00033330000002251836 182400 
170 0.0003593000000137181 233920 
200 0.00038960000000543005 323200 
250 0.0007949000000166961 504000 
400 0.0033380000000420296 1286400 
500 0.004295300000023872 2008000 
600 0.00590909999999667 2889600 
800 0.010704999999973097 5132800 
1000 0.019712400000003072 8016000 
2000 0.12109060000000227 32032000 
5000 1.1844039999999723 200080000 

Corrida 4 
2 0.00013469999998960702 64 
4 5.2299999993010715e-05 192 
10 5.3200000024844485e-05 960 
15 4.979999999932261e-05 2040 
20 6.530000001703229e-05 3520 
30 7.670000002235611e-05 7680 
35 8.109999998850981e-05 10360 
40 8.110000004535323e-05 13440 
45 9.030000001075678e-05 16920 
50 9.640000001809312e-05 20800 
55 9.949999997616032e-05 25080 
60 0.00010400000002164234 29760 
65 0.00011489999997138511 34840 
80 0.00013369999999213178 52480 
100 0.00017730000001847657 81600 
150 0.00035570000000006985 182400 
170 0.000420599999984006 233920 
200 0.0005168999999796142 323200 
250 0.0007482000000322842 504000 
400 0.001929800000027626 1286400 
500 0.003121799999973973 2008000 
600 0.004930800000011004 2889600 
800 0.009005200000046898 5132800 
1000 0.01727019999998447 8016000 
2000 0.10264599999999291 32032000 
5000 1.1830065999999988 200080000 

Corrida 5 
2 0.000212200000021312 64 
4 4.0799999965202005e-05 192 
10 3.980000002457018e-05 960 
15 3.7400000053366966e-05 2040 
20 5.1799999994273094e-05 3520 
30 5.989999999655993e-05 7680 
35 6.289999998898566e-05 10360 
40 6.150000001525768e-05 13440 
45 6.8999999996322e-05 16920 
50 7.1600000012495e-05 20800 
55 7.629999998925996e-05 25080 
60 7.900000002791785e-05 29760 
65 8.709999997336126e-05 34840 
80 0.00010489999999663269 52480 
100 0.00013569999998708226 81600 
150 0.00030709999998634885 182400 
170 0.00030509999999139836 233920 
200 0.00036979999998720814 323200 
250 0.0005352000000016233 504000 
400 0.0018676000000255044 1286400 
500 0.003012699999999313 2008000 
600 0.0044204999999806205 2889600 
800 0.008370700000000397 5132800 
1000 0.017509399999994457 8016000 
2000 0.10503909999999905 32032000 
5000 1.078304399999979 200080000 

Corrida 6 
2 9.360000001379376e-05 64 
4 3.8200000005872425e-05 192 
10 3.870000000461005e-05 960 
15 3.6899999997785926e-05 2040 
20 4.979999999932261e-05 3520 
30 5.879999997659979e-05 7680 
35 6.109999998216153e-05 10360 
40 6.12999999702879e-05 13440 
45 6.809999996448823e-05 16920 
50 7.099999999127249e-05 20800 
55 7.540000001426961e-05 25080 
60 7.799999997359919e-05 29760 
65 8.549999995466351e-05 34840 
80 0.00010069999996176193 52480 
100 0.0001335999999696469 81600 
150 0.00025599999997893974 182400 
170 0.00026819999999361244 233920 
200 0.0003209999999853608 323200 
250 0.0004602000000204498 504000 
400 0.0016530000000329892 1286400 
500 0.0036868999999910557 2008000 
600 0.005136400000026242 2889600 
800 0.00864179999996395 5132800 
1000 0.017782899999986057 8016000 
2000 0.11342459999997345 32032000 
5000 1.0417073000000414 200080000 

Corrida 7 
2 0.00010730000002467932 64 
4 3.95999999796004e-05 192 
10 3.9899999990211654e-05 960 
15 3.759999998464991e-05 2040 
20 5.090000001928274e-05 3520 
30 5.8899999999084685e-05 7680 
35 6.20000000139953e-05 10360 
40 6.089999999403517e-05 13440 
45 6.809999996448823e-05 16920 
