Corrida 0 
2 0.0005118000000265965 48 
4 9.019999998827188e-05 128 
10 6.659999996827537e-05 560 
15 4.589999997506311e-05 1140 
20 8.609999997588602e-05 1920 
30 0.00014469999996435945 4080 
35 0.00012060000000246873 5460 
40 0.0001305000000115797 7040 
45 0.00013899999999011925 8820 
50 0.000138699999979508 10800 
55 9.690000001683075e-05 12980 
60 9.719999997059858e-05 15360 
65 0.0001253000000360771 17940 
80 0.000122800000042389 26880 
100 0.00021390000000565124 41600 
150 0.001689399999975194 92400 
170 0.0006076999999891086 118320 
200 0.0007624999999507054 163200 
250 0.000716299999965031 254000 
400 0.001768999999967491 646400 
500 0.003473399999961657 1008000 
600 0.005267699999990327 1449600 
800 0.008443899999974747 2572800 
1000 0.01428889999999683 4016000 
2000 0.1025588999999627 16032000 
5000 1.0364900999999804 100080000 

Corrida 1 
2 0.00026950000000169894 48 
4 4.4300000013208773e-05 128 
10 4.110000003265668e-05 560 
15 3.82999999715139e-05 1140 
20 5.419999996547631e-05 1920 
30 6.329999996523838e-05 4080 
35 6.410000003143068e-05 5460 
40 6.170000000338405e-05 7040 
45 6.989999997131235e-05 8820 
50 7.379999999557185e-05 10800 
55 7.560000000239597e-05 12980 
60 7.960000004914036e-05 15360 
65 8.609999997588602e-05 17940 
80 9.900000003426612e-05 26880 
100 0.00013400000000274304 41600 
150 0.00030399999997143823 92400 
170 0.00029569999998102503 118320 
200 0.0003656999999748223 163200 
250 0.0005842999999572385 254000 
400 0.0012993999999935113 646400 
500 0.003271600000005037 1008000 
600 0.00476000000003296 1449600 
800 0.006836599999985538 2572800 
1000 0.014036300000043411 4016000 
2000 0.09522339999995211 16032000 
5000 0.9896304999999757 100080000 

Corrida 2 
2 0.00013949999998885687 48 
4 4.150000000890941e-05 128 
10 4.139999998642452e-05 560 
15 3.930000002583256e-05 1140 
20 5.210000000488435e-05 1920 
30 6.170000000338405e-05 4080 
35 6.430000001955705e-05 5460 
40 6.270000000085929e-05 7040 
45 6.970000004002941e-05 8820 
50 7.199999998874773e-05 10800 
55 7.690000001048247e-05 12980 
60 8.070000001225708e-05 15360 
65 8.669999999710853e-05 17940 
80 9.970000002113011e-05 26880 
100 0.00013119999999844367 41600 
150 0.00030209999999897263 92400 
170 0.00029690000002347006 118320 
200 0.0003674000000160049 163200 
250 0.0005821999999966465 254000 
400 0.001395600000023478 646400 
500 0.002427600000032726 1008000 
600 0.0038023999999836633 1449600 
800 0.006726500000013402 2572800 
1000 0.015231999999969048 4016000 
2000 0.09904530000000022 16032000 
5000 1.1438837999999691 100080000 

Corrida 3 
2 9.799999997994746e-05 48 
4 4.050000001143417e-05 128 
10 4.7900000026857015e-05 560 
15 4.009999997833802e-05 1140 
20 5.079999999679785e-05 1920 
30 6.000000001904482e-05 4080 
35 6.34000000445667e-05 5460 
40 6.270000000085929e-05 7040 
45 6.949999999505962e-05 8820 
50 7.239999996500046e-05 10800 
55 7.650000003422974e-05 12980 
60 7.93000000385291e-05 15360 
65 8.719999999584616e-05 17940 
80 0.00010129999998298445 26880 
100 0.00013319999999339416 41600 
150 0.00028040000000828513 92400 
170 0.00030850000001692024 118320 
200 0.00036800000003722744 163200 
250 0.0006202000000143926 254000 
400 0.0013855999999918822 646400 
500 0.0021039999999743486 1008000 
600 0.003773599999988164 1449600 
800 0.009166499999992084 2572800 
1000 0.01858769999995502 4016000 
2000 0.09427479999999377 16032000 
5000 1.157713000000001 100080000 

Corrida 4 
2 0.00011329999995268736 48 
4 4.0399999988949276e-05 128 
10 4.060000003391906e-05 560 
15 3.889999999273641e-05 1140 
20 5.110000000740911e-05 1920 
30 6.140000004961621e-05 4080 
35 6.339999998772328e-05 5460 
40 6.139999999277279e-05 7040 
45 6.880000000819564e-05 8820 
50 7.229999999935899e-05 10800 
55 7.74000000092201e-05 12980 
60 7.850000002918023e-05 15360 
65 8.63000000208558e-05 17940 
80 0.00010020000001986773 26880 
100 0.0001330000000052678 41600 
150 0.0002865000000156215 92400 
170 0.00029810000000907166 118320 
200 0.00038310000002184097 163200 
250 0.0005783999999948719 254000 
400 0.0013293000000089705 646400 
500 0.0022895999999832384 1008000 
600 0.003985800000009476 1449600 
800 0.0066271000000028835 2572800 
1000 0.015481699999952525 4016000 
2000 0.09762310000002117 16032000 
5000 1.0628255999999965 100080000 

Corrida 5 
2 0.0003845999999612104 48 
4 5.0999999984924216e-05 128 
10 4.250000000638465e-05 560 
15 3.9500000013958925e-05 1140 
20 5.1399999961176945e-05 1920 
30 6.130000002713132e-05 4080 
35 6.289999998898566e-05 5460 
40 6.150000001525768e-05 7040 
45 6.859999996322586e-05 8820 
50 7.07999999463027e-05 10800 
55 7.499999998117346e-05 12980 
60 7.769999996298793e-05 15360 
65 8.619999999837091e-05 17940 
80 0.00012639999999919382 26880 
100 0.00019919999999729043 41600 
150 0.00032699999997021223 92400 
170 0.000298999999984062 118320 
200 0.0003565999999750602 163200 
250 0.0004435000000171385 254000 
400 0.0013129000000162705 646400 
500 0.0024483999999915795 1008000 
600 0.003707599999984268 1449600 
800 0.006815399999993588 2572800 
1000 0.016280600000015966 4016000 
2000 0.09557369999998855 16032000 
5000 1.1161133999999606 100080000 

Corrida 6 
2 0.00011809999995193721 48 
4 4.989999996496408e-05 128 
10 5.1400000018020364e-05 560 
15 5.1200000029894e-05 1140 
20 6.439999998519852e-05 1920 
30 7.590000001300723e-05 4080 
35 8.019999995667604e-05 5460 
40 8.040000000164582e-05 7040 
45 8.989999997766063e-05 8820 
50 9.4600000011269e-05 10800 
55 0.00010009999999738284 12980 
60 0.00010309999998980857 15360 
65 0.00011319999998704589 17940 
80 0.00013000000001284207 26880 
100 0.00017289999999547945 41600 
150 0.00033070000000634536 92400 
170 0.0003759000000513879 118320 
200 0.0004430000000184009 163200 
250 0.0007074999999758802 254000 
400 0.001415599999972983 646400 
500 0.0023949999999786087 1008000 
600 0.004460100000017064 1449600 
800 0.007791699999984303 2572800 
1000 0.014240099999994982 4016000 
2000 0.10552309999997078 16032000 
5000 0.975645199999974 100080000 

Corrida 7 
2 0.00018810000000257787 48 
4 4.2700000051354436e-05 128 
10 4.010000003518144e-05 560 
15 3.889999999273641e-05 1140 
20 5.040000002054512e-05 1920 
30 5.9799999974075035e-05 4080 
35 6.280000002334418e-05 5460 
40 6.189999999151041e-05 7040 
45 6.849999999758438e-05 8820 
50 7.239999996500046e-05 10800 
55 7.630000004610338e-05 12980 
60 7.929999998168569e-05 15360 
65 8.619999999837091e-05 17940 
80 0.00010109999999485808 26880 
100 0.00013269999999465654 41600 
150 0.00028290000000197324 92400 
170 0.0004071000000180902 118320 
200 0.0004294999999956417 163200 
250 0.0005771000000436288 254000 
400 0.0015176999999653162 646400 
500 0.0021971999999550462 1008000 
600 0.003584399999965626 1449600 
800 0.007227100000022801 2572800 
1000 0.014177099999983511 4016000 
2000 0.10011650000001282 16032000 
5000 1.0164123000000131 100080000 

Corrida 8 
2 9.920000002239249e-05 48 
4 4.060000003391906e-05 128 
10 4.020000000082291e-05 560 
15 3.8599999982125155e-05 1140 
20 4.9700000033681135e-05 1920 
30 5.9800000030918454e-05 4080 
35 6.369999999833453e-05 5460 
40 6.170000000338405e-05 7040 
45 6.849999999758438e-05 8820 
50 7.099999999127249e-05 10800 
55 7.620000002361849e-05 12980 
60 7.900000002791785e-05 15360 
65 8.63000000208558e-05 17940 
80 0.00010190000000420696 26880 
100 0.00013350000000400541 41600 
150 0.00034479999999348365 92400 
170 0.00034490000001596854 118320 
200 0.00040560000002187735 163200 
250 0.000589400000023943 254000 
400 0.0014046999999663967 646400 
500 0.002240900000003876 1008000 
600 0.0037229999999794927 1449600 
800 0.006927599999983158 2572800 
1000 0.014467200000012781 4016000 
2000 0.09737789999996949 16032000 
5000 1.0339337000000342 100080000 

Corrida 9 
2 0.00013979999999946813 48 
4 5.040000002054512e-05 128 
10 5.310000000235959e-05 560 
15 5.110000000740911e-05 1140 
20 6.579999995892649e-05 1920 
30 7.909999999355932e-05 4080 
35 8.189999999785869e-05 5460 
40 0.00011170000004767644 7040 
45 9.689999995998733e-05 8820 
50 9.749999998120984e-05 10800 
55 0.00010240000000294458 12980 
60 0.00010429999997541017 15360 
65 0.00011469999998325875 17940 
80 0.00013139999998657004 26880 
100 0.00017610000003287496 41600 
150 0.0003451000000040949 92400 
170 0.00037429999997584673 118320 
200 0.0004347000000279877 163200 
250 0.0006759999999985666 254000 
400 0.0016633999999839943 646400 
500 0.002996300000006613 1008000 
600 0.0044848000000001775 1449600 
800 0.00850950000000239 2572800 
1000 0.016843199999982517 4016000 
2000 0.10187409999997499 16032000 
5000 1.0017654999999763 100080000 

FINAL 
