Corrida 0 
2 0.011397299999998722 80 
4 0.00013120000000022003 288 
10 7.249999999991985e-05 1680 
15 7.399999999968543e-05 3720 
20 8.21000000001959e-05 6560 
30 0.0021412999999999016 14640 
35 0.0002902999999996325 19880 
40 0.00019190000000079976 25920 
45 0.0001983000000009838 32760 
50 0.0004193000000007885 40400 
55 0.0004316000000006426 48840 
60 0.0003171999999995734 58080 
65 0.0003847000000014589 68120 
80 0.00044789999999927943 103040 
100 0.0006264999999991971 160800 
150 0.001708000000000709 361200 
170 0.001266400000000445 463760 
200 0.001821600000001311 641600 
250 0.0026858999999994637 1002000 
400 0.006907800000000464 2563200 
500 0.013615400000000832 4004000 
600 0.024324299999999965 5764800 
800 0.04826140000000123 10246400 
1000 0.07317229999999952 16008000 
2000 1.0895553000000007 64016000 
5000 15.5408063 400040000 

Corrida 1 
2 0.013159999999999172 80 
4 0.0001010000000007949 288 
10 4.630000000105383e-05 1680 
15 5.189999999899442e-05 3720 
20 5.5399999997263194e-05 6560 
30 0.00010440000000144778 14640 
35 0.00012350000000083128 19880 
40 0.00011740000000060036 25920 
45 0.00015559999999936736 32760 
50 0.00019899999999850593 40400 
55 0.00022020000000111395 48840 
60 0.00019800000000103068 58080 
65 0.0002613000000017962 68120 
80 0.00027529999999842403 103040 
100 0.000444400000002787 160800 
150 0.0008063000000007037 361200 
170 0.0009753000000003453 463760 
200 0.0012063999999973873 641600 
250 0.0019023999999987495 1002000 
400 0.00582250000000073 2563200 
500 0.014496399999998744 4004000 
600 0.021808999999997525 5764800 
800 0.04294829999999905 10246400 
1000 0.08410860000000042 16008000 
2000 0.910533700000002 64016000 
5000 14.3258835 400040000 

Corrida 2 
2 0.013408900000001722 80 
4 0.00010449999999906368 288 
10 4.8800000001847366e-05 1680 
15 5.4900000002078286e-05 3720 
20 5.850000000151567e-05 6560 
30 0.00011769999999700076 14640 
35 0.00013429999999914344 19880 
40 0.0001202999999989629 25920 
45 0.00015909999999763613 32760 
50 0.0002426999999940449 40400 
55 0.0002464000000017563 48840 
60 0.00021219999999999573 58080 
65 0.00028080000000585414 68120 
80 0.00027550000000076125 103040 
100 0.0004670000000004393 160800 
150 0.0008685000000028253 361200 
170 0.0012539999999958695 463760 
200 0.0015733999999980597 641600 
250 0.0020139999999955194 1002000 
400 0.006891199999998321 2563200 
500 0.02246459999999928 4004000 
600 0.0252306999999945 5764800 
800 0.051521600000000944 10246400 
1000 0.09271299999999627 16008000 
2000 0.9606604999999959 64016000 
5000 15.039785700000003 400040000 

Corrida 3 
2 0.014828899999997702 80 
4 0.00011990000000139389 288 
10 5.039999999922884e-05 1680 
15 5.32000000035282e-05 3720 
20 5.689999999702877e-05 6560 
30 0.00010609999999644515 14640 
35 0.00012139999999760676 19880 
40 0.00011389999999522615 25920 
45 0.00015159999999525553 32760 
50 0.0001737999999988915 40400 
55 0.00020150000000285218 48840 
60 0.00017669999999725405 58080 
65 0.00023359999999428283 68120 
80 0.00025450000000404316 103040 
100 0.0004216000000027975 160800 
150 0.00069360000000529 361200 
170 0.0009005000000001928 463760 
200 0.0011530999999962432 641600 
250 0.001659499999995262 1002000 
400 0.009388800000003528 2563200 
500 0.016823999999999728 4004000 
600 0.01921019999999629 5764800 
800 0.04209169999999318 10246400 
1000 0.07823750000000018 16008000 
2000 0.8633807000000004 64016000 
5000 14.713396700000004 400040000 

Corrida 4 
2 0.014473499999994033 80 
4 0.0001092999999912081 288 
10 5.82000000122207e-05 1680 
15 6.479999998987296e-05 3720 
20 7.119999999360971e-05 6560 
30 0.00013730000000578002 14640 
35 0.00015819999998711864 19880 
40 0.0001420000000109667 25920 
45 0.00018799999999430383 32760 
50 0.00031199999999387273 40400 
55 0.00029460000000369746 48840 
60 0.00018439999999486645 58080 
65 0.00024319999999988795 68120 
80 0.0002506999999951631 103040 
100 0.00041310000000294167 160800 
150 0.0007489999999990005 361200 
170 0.0008978999999982307 463760 
200 0.001189799999991692 641600 
250 0.0015590000000003101 1002000 
400 0.010097499999986326 2563200 
500 0.01371569999999167 4004000 
600 0.015197499999999309 5764800 
800 0.04217350000000408 10246400 
1000 0.09458899999999915 16008000 
2000 0.8564576999999929 64016000 
5000 14.246011300000006 400040000 

Corrida 5 
2 0.014678200000005859 80 
4 0.00010099999998658404 288 
10 5.310000000235959e-05 1680 
15 5.280000000595919e-05 3720 
20 5.680000001007102e-05 6560 
30 0.00011449999999513238 14640 
35 0.00011670000000663094 19880 
40 0.00011090000000990585 25920 
45 0.00014710000000661694 32760 
50 0.0001929999999958909 40400 
55 0.00020729999999957727 48840 
60 0.00018169999999884112 58080 
65 0.00024919999999895026 68120 
80 0.00026340000000857344 103040 
100 0.00045310000000142736 160800 
150 0.0007844000000005735 361200 
170 0.0011286000000012564 463760 
200 0.0015872999999970716 641600 
250 0.0070940000000092596 1002000 
400 0.013281100000000379 2563200 
500 0.015273000000007642 4004000 
600 0.022562600000000543 5764800 
800 0.04674990000000889 10246400 
1000 0.1100421999999952 16008000 
2000 0.9875889999999998 64016000 
5000 14.371968899999999 400040000 

Corrida 6 
2 0.013237000000003718 80 
4 0.00011849999999924421 288 
10 4.559999999287356e-05 1680 
15 5.130000000974633e-05 3720 
20 5.579999999838492e-05 6560 
30 0.00010679999999751999 14640 
35 0.00012040000000013151 19880 
40 0.00011369999999999436 25920 
45 0.00015179999999759275 32760 
50 0.00016190000000904092 40400 
55 0.00020489999999995234 48840 
60 0.00018180000000711516 58080 
65 0.00023579999999867596 68120 
80 0.00025289999999245083 103040 
100 0.0004146999999932177 160800 
150 0.0006968000000000529 361200 
170 0.0008968000000066922 463760 
200 0.0012576999999964755 641600 
250 0.0016175000000089312 1002000 
400 0.004875699999999483 2563200 
500 0.008036799999999289 4004000 
600 0.014292699999998604 5764800 
800 0.03425020000000245 10246400 
1000 0.09160719999999856 16008000 
2000 1.029510000000002 64016000 
5000 13.984471800000009 400040000 

Corrida 7 
2 0.014464300000000208 80 
4 0.00011719999999115771 288 
10 4.590000000348482e-05 1680 
15 5.160000000614673e-05 3720 
20 5.6300000011333395e-05 6560 
30 0.00010580000000004475 14640 
35 0.00011620000000789332 19880 
40 0.00011260000000845594 25920 
45 0.00015009999999904267 32760 
50 0.00018900000000598993 40400 
55 0.00020480000000588916 48840 
60 0.00017760000000066611 58080 
65 0.00023509999999760112 68120 
80 0.00025669999999422544 103040 
100 0.0004171000000070535 160800 
150 0.00076339999999675 361200 
170 0.0009359999999958291 463760 
200 0.0011123000000026195 641600 
250 0.001667400000002317 1002000 
400 0.00491570000001218 2563200 
500 0.009294400000001701 4004000 
600 0.017922900000002073 5764800 
800 0.06082269999998857 10246400 
