Corrida 0 
2 0.013098299999999341 40 
4 0.00017820000000057235 144 
10 7.899999999949614e-05 840 
15 8.509999999972706e-05 1860 
20 9.990000000037469e-05 3280 
30 0.003233699999999118 7320 
35 0.0006588999999994627 9940 
40 0.0003931000000001461 12960 
45 0.0005777999999985184 16380 
50 0.0008692000000003475 20200 
55 0.0004331999999998004 24420 
60 0.0002464999999993722 29040 
65 0.00032690000000101804 34060 
80 0.00038720000000047605 51520 
100 0.0005190999999999946 80400 
150 0.001097399999999027 180600 
170 0.0010465000000010605 231880 
200 0.0012635999999996983 320800 
250 0.0024066000000004806 501000 
400 0.004382400000000786 1281600 
500 0.006925999999999988 2002000 
600 0.010849099999999723 2882400 
800 0.025438799999999873 5123200 
1000 0.0376461999999993 8004000 
2000 0.40284740000000063 32008000 
5000 7.4481734 200020000 

Corrida 1 
2 0.007238799999999657 40 
4 0.0001181999999992911 144 
10 5.1500000001425406e-05 840 
15 5.3999999998666226e-05 1860 
20 5.8899999999084685e-05 3280 
30 0.00010590000000121336 7320 
35 0.00014729999999829602 9940 
40 0.00013080000000087466 12960 
45 0.00017679999999842266 16380 
50 0.00015860000000245122 20200 
55 0.00018169999999884112 24420 
60 0.00017090000000052896 29040 
65 0.00021480000000195787 34060 
80 0.00022449999999807346 51520 
100 0.000276299999999452 80400 
150 0.0005445000000001698 180600 
170 0.0006504000000013832 231880 
200 0.0008292999999994777 320800 
250 0.001235799999999898 501000 
400 0.0029231000000002894 1281600 
500 0.0054490999999998735 2002000 
600 0.00912569999999846 2882400 
800 0.021911199999998132 5123200 
1000 0.06240109999999888 8004000 
2000 0.4338993000000002 32008000 
5000 7.2914013 200020000 

Corrida 2 
2 0.0071800999999993564 40 
4 0.00011940000000265627 144 
10 5.3499999999928605e-05 840 
15 5.660000000062837e-05 1860 
20 6.0200000000065756e-05 3280 
30 0.00011290000000130362 7320 
35 0.0001448000000010552 9940 
40 0.0001315000000019495 12960 
45 0.00019319999999822812 16380 
50 0.00016489999999791394 20200 
55 0.00018669999999687548 24420 
60 0.00017090000000052896 29040 
65 0.00022189999999966403 34060 
80 0.0002211000000009733 51520 
100 0.0002917999999993981 80400 
150 0.0006020999999982735 180600 
170 0.0006240999999995722 231880 
200 0.0007978999999984637 320800 
250 0.0011584000000013361 501000 
400 0.0031296999999987918 1281600 
500 0.006383199999998368 2002000 
600 0.007394000000001455 2882400 
800 0.03393430000000208 5123200 
