Corrida 0 
2 0.009591499999999975 80 
4 0.00017079999999980444 288 
10 7.359999999989597e-05 1680 
15 7.599999999996498e-05 3720 
20 7.609999999980133e-05 6560 
30 0.0006182999999997385 14640 
35 0.00024369999999995784 19880 
40 0.0001644000000000645 25920 
45 0.00021059999999994972 32760 
50 0.0003988999999999798 40400 
55 0.0003323000000001741 48840 
60 0.0002557000000003029 58080 
65 0.0003653000000003459 68120 
80 0.0004772000000001775 103040 
100 0.0007766999999998525 160800 
150 0.001287500000000108 361200 
170 0.0017816999999999972 463760 
200 0.0034481999999997903 641600 
250 0.0028649999999998954 1002000 
400 0.007959099999999886 2563200 
500 0.012386300000000183 4004000 
600 0.02377180000000001 5764800 
800 0.05291660000000009 10246400 
1000 0.10002330000000015 16008000 
2000 1.0207272999999994 64016000 
5000 15.004372300000002 400040000 

Corrida 1 
2 0.016810100000000716 80 
4 0.00013669999999876836 288 
10 6.899999999987472e-05 1680 
15 6.330000000076552e-05 3720 
20 6.86999999999216e-05 6560 
30 0.00013719999999750598 14640 
35 0.00020149999999929946 19880 
40 0.0001639999999980546 25920 
45 0.00019370000000051846 32760 
50 0.00021770000000032041 40400 
55 0.00030999999999892225 48840 
60 0.00023570000000106006 58080 
65 0.00037269999999978154 68120 
80 0.00038280000000057157 103040 
100 0.0008367000000006897 160800 
150 0.0010003000000011752 361200 
170 0.0012651000000012402 463760 
200 0.0014886000000018385 641600 
250 0.0023660000000020887 1002000 
400 0.006369599999999309 2563200 
500 0.009418000000000148 4004000 
600 0.017536399999997343 5764800 
800 0.04508590000000012 10246400 
1000 0.11649429999999938 16008000 
2000 1.0741629999999986 64016000 
5000 14.7857937 400040000 

Corrida 2 
2 0.013078200000002482 80 
4 9.960000000575064e-05 288 
10 4.559999999997899e-05 1680 
15 5.050000000039745e-05 3720 
20 5.4600000005677884e-05 6560 
30 0.00011470000000457503 14640 
35 0.00012159999999994398 19880 
40 0.00011750000000176897 25920 
45 0.00015370000000558548 32760 
50 0.00017640000000085365 40400 
55 0.00020320000000140226 48840 
60 0.00017880000000047858 58080 
65 0.0002472000000039998 68120 
80 0.00024690000000049395 103040 
100 0.0003811999999996374 160800 
150 0.0006927000000018779 361200 
170 0.00083529999999854 463760 
200 0.0011776999999995041 641600 
250 0.0017196000000012646 1002000 
400 0.010226799999998093 2563200 
500 0.014696700000001783 4004000 
600 0.019869100000001083 5764800 
800 0.036223900000003084 10246400 
1000 0.10049440000000232 16008000 
2000 0.9672466999999969 64016000 
5000 14.991191300000004 400040000 

Corrida 3 
2 0.015311599999996872 80 
4 0.00011380000000116297 288 
10 5.9800000002496745e-05 1680 
15 6.359999999716592e-05 3720 
20 6.880000000109021e-05 6560 
30 0.00012720000000143727 14640 
35 0.00013810000000091804 19880 
40 0.0001334000000028368 25920 
45 0.00017539999999627298 32760 
50 0.00043069999999545416 40400 
55 0.00028320000000547907 48840 
60 0.00033290000000363307 58080 
65 0.0002635999999966998 68120 
80 0.00024209999999413867 103040 
100 0.00035559999999890124 160800 
150 0.0007072999999948593 361200 
170 0.0008476000000001704 463760 
200 0.0011835999999973978 641600 
250 0.0017026000000015529 1002000 
400 0.004890400000000739 2563200 
500 0.007576200000002586 4004000 
600 0.015706299999997952 5764800 
800 0.03158630000000073 10246400 
1000 0.06485070000000093 16008000 
2000 0.9370948999999982 64016000 
5000 15.049123900000005 400040000 

Corrida 4 
2 0.015334899999999152 80 
4 0.00010010000001159369 288 
10 5.0100000009933865e-05 1680 
15 5.120000000147229e-05 3720 
20 6.470000001002063e-05 6560 
30 0.00011890000000391865 14640 
35 0.00012470000000064374 19880 
40 0.00012820000000601794 25920 
45 0.00023680000001036206 32760 
50 0.00019799999999747797 40400 
55 0.00024700000000166256 48840 
60 0.0003612999999944577 58080 
65 0.0002573000000012371 68120 
80 0.00025490000000161217 103040 
100 0.0004866999999961763 160800 
150 0.0008704000000108181 361200 
170 0.0009179999999986421 463760 
200 0.0028008000000028233 641600 
250 0.002683799999999792 1002000 
400 0.0068464999999946485 2563200 
500 0.011742900000001555 4004000 
600 0.019745000000000346 5764800 
800 0.05913979999999697 10246400 
1000 0.122314700000004 16008000 
2000 0.839233500000006 64016000 
