Corrida 0 
2 0.003903100000000048 40 
4 0.00011229999999962104 144 
10 7.200000000029405e-05 840 
15 7.689999999982433e-05 1860 
20 7.270000000003662e-05 3280 
30 0.0005779000000001311 7320 
35 0.00042910000000029314 9940 
40 0.0002124000000001125 12960 
45 0.00027810000000005886 16380 
50 0.00028309999999986957 20200 
55 0.00035150000000028214 24420 
60 0.0003117999999999732 29040 
65 0.00036460000000015924 34060 
80 0.0004084999999998118 51520 
100 0.0005342999999999876 80400 
150 0.0010862999999998735 180600 
170 0.0010620999999999547 231880 
200 0.0013217000000000922 320800 
250 0.0031479000000000923 501000 
400 0.00442140000000002 1281600 
500 0.008829099999999812 2002000 
600 0.010367400000000249 2882400 
800 0.027505399999999902 5123200 
1000 0.03850489999999995 8004000 
2000 0.5400594999999999 32008000 
5000 7.802350199999999 200020000 

Corrida 1 
2 0.0066150000000000375 40 
4 0.00012290000000092505 144 
10 6.450000000057798e-05 840 
15 6.710000000076377e-05 1860 
20 7.190000000001362e-05 3280 
30 0.0001393000000007305 7320 
35 0.0001896000000005671 9940 
40 0.00018730000000033442 12960 
45 0.00021700000000102193 16380 
50 0.0001934999999999576 20200 
55 0.00022730000000059647 24420 
60 0.00020989999999976305 29040 
65 0.0002557000000003029 34060 
80 0.0002472999999998393 51520 
100 0.0003160000000015373 80400 
150 0.0005974000000001922 180600 
170 0.0007089000000011225 231880 
200 0.0009116000000002344 320800 
250 0.001398999999999262 501000 
400 0.0039533999999985525 1281600 
500 0.00512710000000105 2002000 
600 0.010879499999999709 2882400 
800 0.027056399999999314 5123200 
1000 0.036179800000001094 8004000 
2000 0.40695630000000094 32008000 
5000 8.2509548 200020000 

Corrida 2 
2 0.0069926000000002375 40 
4 0.00010950000000065074 144 
10 4.930000000058499e-05 840 
15 5.7000000001750095e-05 1860 
20 5.8299999999178453e-05 3280 
30 0.00010460000000023228 7320 
35 0.00015129999999885513 9940 
40 0.00012820000000246523 12960 
45 0.00017529999999865709 16380 
50 0.0001564000000016108 20200 
55 0.00017809999999940374 24420 
60 0.0001700999999982855 29040 
65 0.0002175999999991518 34060 
80 0.00022060000000223567 51520 
100 0.00027359999999987394 80400 
150 0.0005404999999996107 180600 
170 0.0007629000000015651 231880 
200 0.0009446000000004062 320800 
250 0.0011916999999996847 501000 
400 0.00300760000000011 1281600 
500 0.004920200000000818 2002000 
600 0.007492500000001456 2882400 
800 0.0211467999999968 5123200 
1000 0.03098070000000064 8004000 
2000 0.40243910000000227 32008000 
5000 8.0169234 200020000 

Corrida 3 
2 0.0066818000000026245 40 
4 0.0001183000000004597 144 
10 5.270000000123787e-05 840 
15 5.930000000020641e-05 1860 
20 5.9600000000159525e-05 3280 
30 0.0001085000000031755 7320 
35 0.00016459999999796082 9940 
40 0.00013039999999975294 12960 
45 0.0001812000000001035 16380 
50 0.00016350000000286968 20200 
55 0.00018749999999911893 24420 
60 0.0006005999999985079 29040 
65 0.00023429999999891038 34060 
80 0.00022949999999966053 51520 
100 0.00027329999999992083 80400 
150 0.0005489000000018507 180600 
170 0.0006230000000009284 231880 
200 0.0007751999999996428 320800 
250 0.0011560999999993271 501000 
400 0.0031669000000000835 1281600 
500 0.005057999999998231 2002000 
600 0.007344400000000917 2882400 
800 0.029603299999998 5123200 
1000 0.03599110000000039 8004000 
2000 0.38563489999999945 32008000 
5000 7.688108099999997 200020000 

Corrida 4 
2 0.006453600000000392 40 
4 9.640000000388227e-05 144 
10 5.119999999436686e-05 840 
15 5.8099999996841234e-05 1860 
20 5.9499999998990916e-05 3280 
30 0.00011840000000518103 7320 
35 0.00016220000000544132 9940 
40 0.00015770000000259188 12960 
45 0.0002305000000006885 16380 
50 0.0001638000000028228 20200 
55 0.00019009999999752836 24420 
60 0.0002501000000023623 29040 
65 0.00022390000000171995 34060 
80 0.0002228000000030761 51520 
100 0.0002781000000027234 80400 
150 0.0005486000000018976 180600 
170 0.0006473000000042362 231880 
200 0.0008182999999988283 320800 
250 0.0012751000000008617 501000 
400 0.0032773000000005936 1281600 
500 0.004856300000000147 2002000 
600 0.007282299999999964 2882400 
800 0.018632599999996557 5123200 
1000 0.04596770000000561 8004000 
2000 0.39457770000000636 32008000 
5000 7.907048500000002 200020000 

Corrida 5 
2 0.007467599999998242 40 
4 0.00014570000000446726 144 
10 5.8899999999084685e-05 840 
15 5.8599999995578855e-05 1860 
20 5.9499999998990916e-05 3280 
30 0.00010740000000453165 7320 
35 0.00019160000000084665 9940 
40 0.0001470999999995115 12960 
45 0.00017380000000599694 16380 
50 0.00016630000000361633 20200 
55 0.00018539999999944712 24420 
60 0.00017030000000062273 29040 
65 0.00021620000000410755 34060 
80 0.00022419999999812035 51520 
100 0.0002921999999969671 80400 
150 0.0005906999999965024 180600 
170 0.0007188000000013517 231880 
200 0.0010896999999943091 320800 
250 0.0014346999999972354 501000 
400 0.003730400000002021 1281600 
500 0.006308400000001768 2002000 
600 0.00968950000000035 2882400 
800 0.017166699999997093 5123200 
1000 0.047334500000005164 8004000 
2000 0.4392274999999941 32008000 
5000 7.839892900000002 200020000 

Corrida 6 
2 0.0076843000000010875 40 
4 0.00010160000000070113 144 
10 4.8800000001847366e-05 840 
15 5.7499999996935e-05 1860 
20 6.239999999735346e-05 3280 
30 0.0001523000000034358 7320 
35 0.00017050000000295995 9940 
40 0.0001580000000060977 12960 
45 0.00017990000000622786 16380 
50 0.0001772000000030971 20200 
55 0.0001889999999988845 24420 
60 0.0001740999999952919 29040 
65 0.0002345999999988635 34060 
80 0.00028549999999682996 51520 
100 0.000336499999995965 80400 
150 0.0006357000000036805 180600 
170 0.0007175999999944338 231880 
200 0.0008984999999981369 320800 
250 0.0013998999999955686 501000 
400 0.0037637000000003695 1281600 
500 0.007679199999998332 2002000 
600 0.011809400000004189 2882400 
800 0.0237101000000024 5123200 
1000 0.057508999999996036 8004000 
2000 0.4598760000000013 32008000 
5000 7.827573799999996 200020000 

Corrida 7 
2 0.006495700000002103 40 
4 9.339999999724569e-05 144 
10 5.040000000633427e-05 840 
15 5.659999999352294e-05 1860 
20 5.760000000520904e-05 3280 
30 0.0001007000000043945 7320 
35 0.00016109999999969205 9940 
40 0.0001314000000007809 12960 
45 0.00017649999999491683 16380 
50 0.00017619999999851643 20200 
55 0.00017839999999580414 24420 
60 0.00016440000000272903 29040 
65 0.00023059999999475167 34060 
80 0.00028040000000828513 51520 
100 0.00030869999999083575 80400 
150 0.0006175999999982196 180600 
170 0.0006939999999957536 231880 
200 0.000926200000009203 320800 
250 0.001383099999998194 501000 
400 0.0034422000000091657 1281600 
500 0.004846700000001647 2002000 
600 0.007213399999997705 2882400 
800 0.01728829999998993 5123200 
1000 0.03141829999999857 8004000 
2000 0.4619253999999984 32008000 
5000 7.482507400000003 200020000 

Corrida 8 
2 0.007137400000004845 40 
4 0.00010249999999700776 144 
10 4.939999999464817e-05 840 
15 5.5200000005584116e-05 1860 
20 5.830000000628388e-05 3280 
30 0.0001505999999977803 7320 
35 0.0002190000000013015 9940 
40 0.00019410000000164018 12960 
45 0.00018359999999972842 16380 
50 0.0001620999999971673 20200 
55 0.00018239999999991596 24420 
60 0.00017019999999945412 29040 
65 0.00021339999999270276 34060 
80 0.0002501999999964255 51520 
100 0.00029990000000168493 80400 
150 0.000563700000000722 180600 
170 0.0006551999999970803 231880 
200 0.000853000000006432 320800 
250 0.0011714000000040414 501000 
400 0.0031345000000015943 1281600 
500 0.0051069000000012466 2002000 
