Corrida 0 
2 0.008149299999999915 80 
4 0.0009373999999997551 288 
10 7.940000000017378e-05 1680 
15 7.720000000022154e-05 3720 
20 6.78999999998986e-05 6560 
30 0.00011399999999994748 14640 
35 0.0016954000000000136 19880 
40 0.0002920999999997953 25920 
45 0.0006331999999997784 32760 
50 0.0010501999999998901 40400 
55 0.0009076999999999558 48840 
60 0.00045549999999972 58080 
65 0.00050669999999986 68120 
80 0.0010615000000000485 103040 
100 0.0017040000000001498 160800 
150 0.0030546999999998548 361200 
170 0.0031655999999999906 463760 
200 0.0042856000000002226 641600 
250 0.007638699999999776 1002000 
400 0.020767000000000202 2563200 
500 0.034318199999999965 4004000 
600 0.0402758999999997 5764800 
800 0.09462249999999983 10246400 
1000 0.32262140000000006 16008000 
2000 2.003713 64016000 
5000 32.9423389 400040000 

Corrida 1 
2 0.01329330000000084 80 
4 9.810000000243235e-05 288 
10 4.2100000001710214e-05 1680 
15 5.139999999670408e-05 3720 
20 5.000000000165983e-05 6560 
30 7.790000000085229e-05 14640 
35 0.00016660000000001673 19880 
40 0.00017700000000075988 25920 
45 0.00026610000000459877 32760 
50 0.0002881999999999607 40400 
55 0.0003188000000022839 48840 
60 0.0003626000000025442 58080 
65 0.000400999999996543 68120 
80 0.0005365000000026043 103040 
100 0.0008519000000006827 160800 
150 0.0017966999999998734 361200 
170 0.00257850000000559 463760 
200 0.004081199999994567 641600 
250 0.006620500000003915 1002000 
400 0.01900590000000335 2563200 
500 0.02437850000000452 4004000 
600 0.045589200000001995 5764800 
800 0.0834912999999986 10246400 
1000 0.21182449999999875 16008000 
2000 2.1858278000000055 64016000 
5000 32.4248846 400040000 

Corrida 2 
2 0.015862799999993626 80 
4 0.00011320000000125674 288 
10 4.8300000003109744e-05 1680 
15 5.640000000539658e-05 3720 
20 6.139999999277279e-05 6560 
30 9.889999999757038e-05 14640 
35 0.0001749000000046408 19880 
40 0.0002025999999943906 25920 
45 0.00026599999999632473 32760 
50 0.0003449000000017577 40400 
55 0.00038380000000870496 48840 
60 0.0004141000000004169 58080 
65 0.0004335999999938167 68120 
80 0.0006295999999963442 103040 
100 0.0009795999999937521 160800 
150 0.002145600000005743 361200 
170 0.002923000000009779 463760 
200 0.004294299999997975 641600 
250 0.005501000000009526 1002000 
400 0.013757300000008854 2563200 
500 0.02396440000001121 4004000 
600 0.05132559999999842 5764800 
800 0.08944130000000428 10246400 
1000 0.17720770000001096 16008000 
2000 2.3555187999999987 64016000 
5000 32.23851789999999 400040000 

Corrida 3 
2 0.013672400000004359 80 
4 9.629999999560823e-05 288 
10 4.2199999995773396e-05 1680 
15 4.7600000002034903e-05 3720 
20 5.72000000005346e-05 6560 
30 7.860000000903256e-05 14640 
35 0.0001335999999980686 19880 
40 0.0001418999999884818 25920 
45 0.0002121999999928903 32760 
50 0.00033510000000092077 40400 
55 0.00039350000000126784 48840 
60 0.0003251999999918098 58080 
65 0.0003628999999989446 68120 
80 0.0005290000000002237 103040 
100 0.000884200000001556 160800 
150 0.001900699999993094 361200 
170 0.002437299999996867 463760 
200 0.0033581999999938716 641600 
250 0.005883099999991259 1002000 
400 0.016786699999997268 2563200 
500 0.03127320000000111 4004000 
600 0.05081290000001104 5764800 
800 0.10764640000000725 10246400 
1000 0.22515419999999153 16008000 
2000 2.089427399999991 64016000 
5000 32.013790099999994 400040000 

Corrida 4 
2 0.014593999999988228 80 
4 0.00011399999999639476 288 
10 4.0399999988949276e-05 1680 
15 4.619999998567437e-05 3720 
20 5.3199999996422775e-05 6560 
30 7.93000000101074e-05 14640 
35 0.00016859999999496722 19880 
40 0.0001814999999965039 25920 
45 0.0002223999999841908 32760 
50 0.00029440000000136024 40400 
55 0.00031350000000429645 48840 
60 0.0003738000000055308 58080 
65 0.0004155000000025666 68120 
80 0.0005878999999993084 103040 
100 0.0009373000000039156 160800 
150 0.0019554000000141514 361200 
170 0.0025111000000208605 463760 
200 0.003631399999989071 641600 
250 0.005900800000006257 1002000 
400 0.019374499999997852 2563200 
500 0.025759399999998323 4004000 
600 0.040983299999993505 5764800 
800 0.115474799999987 10246400 
1000 0.24992399999999293 16008000 
2000 2.1127912000000038 64016000 
5000 32.92551030000001 400040000 

Corrida 5 
2 0.014773700000006329 80 
4 9.750000000963155e-05 288 
10 4.7899999998435305e-05 1680 
15 5.640000000539658e-05 3720 
20 6.14000000211945e-05 6560 
30 0.00010090000000673172 14640 
35 0.00018380000000206564 19880 
40 0.00020670000000677646 25920 
45 0.0002357999999844651 32760 
50 0.0003379999999992833 40400 
55 0.0004182000000128028 48840 
60 0.00043039999999905376 58080 
