Corrida 0 
2 0.014880899999980102 40 
4 0.0014608000000180255 144 
10 0.00012559999998984495 840 
15 7.580000004736576e-05 1860 
20 6.59000000382548e-05 3280 
30 8.569999999963329e-05 7320 
35 0.0028585000000020955 9940 
40 0.000304200000016408 12960 
45 0.00035749999995005055 16380 
50 0.0007074999999758802 20200 
55 0.00033780000001115695 24420 
60 0.00034990000000334476 29040 
65 0.0009723999999664557 34060 
80 0.0009051000000113163 51520 
100 0.001329399999974612 80400 
150 0.002522800000008374 180600 
170 0.003068299999995361 231880 
200 0.004821600000013859 320800 
250 0.007487900000000991 501000 
400 0.023439600000017435 1281600 
500 0.03956259999995382 2002000 
600 0.05983919999999898 2882400 
800 0.12345609999999851 5123200 
1000 0.24208290000001398 8004000 
2000 1.6058995999999865 32008000 
5000 19.78779370000001 200020000 

Corrida 1 
2 0.007247500000005402 40 
4 0.00010629999997036066 144 
10 5.350000003545574e-05 840 
15 5.95000000203072e-05 1860 
20 6.469999999580978e-05 3280 
30 9.729999999308347e-05 7320 
35 0.00020280000001093867 9940 
40 0.0002514000000246597 12960 
45 0.0002268999999728294 16380 
50 0.0002663999999867883 20200 
55 0.00030649999996512634 24420 
60 0.0003381999999874097 29040 
65 0.00040419999999130596 34060 
80 0.0005950000000325417 51520 
100 0.0008743999999865082 80400 
150 0.0020294000000262713 180600 
170 0.0026422999999908825 231880 
200 0.00385420000003478 320800 
250 0.006620800000007421 501000 
400 0.0215750000000412 1281600 
500 0.03983209999995552 2002000 
600 0.05946929999998929 2882400 
800 0.12171059999997169 5123200 
1000 0.21058909999999287 8004000 
2000 1.5332008000000314 32008000 
5000 19.829772300000002 200020000 

Corrida 2 
2 0.007684900000015205 40 
4 0.00010220000001481822 144 
10 5.019999997557534e-05 840 
15 5.870000001095832e-05 1860 
20 6.310000003395544e-05 3280 
30 9.320000003754103e-05 7320 
35 0.00022669999998470303 9940 
40 0.000209600000005139 12960 
45 0.00022909999995590624 16380 
50 0.0002771999999708896 20200 
55 0.0003125999999724627 24420 
60 0.000347599999997783 29040 
65 0.0004031999999938307 34060 
80 0.0006000000000199179 51520 
100 0.0008349999999950342 80400 
150 0.002023700000052031 180600 
170 0.002681199999983619 231880 
200 0.004170600000009017 320800 
250 0.0069608000000016546 501000 
400 0.020353800000009414 1281600 
500 0.03560210000000552 2002000 
600 0.058142400000008365 2882400 
800 0.11319320000001198 5123200 
1000 0.20857839999996486 8004000 
2000 1.5390917999999942 32008000 
5000 20.11774059999999 200020000 

Corrida 3 
2 0.007706999999982145 40 
4 0.00010789999998905841 144 
10 5.310000000235959e-05 840 
15 6.059999998342391e-05 1860 
20 6.350000001020817e-05 3280 
30 9.38999999675616e-05 7320 
35 0.00017289999999547945 9940 
40 0.00020769999997583 12960 
45 0.0003035999999951855 16380 
50 0.0002711000000203967 20200 
55 0.0003034999999727006 24420 
60 0.0003348999999843727 29040 
65 0.00038639999996803454 34060 
80 0.0005963000000406282 51520 
100 0.0008770000000026812 80400 
150 0.0020165000000247346 180600 
170 0.0025608999999917614 231880 
200 0.0032709999999838146 320800 
250 0.005892799999969611 501000 
400 0.019309399999997368 1281600 
500 0.03304639999998926 2002000 
600 0.056874100000015915 2882400 
800 0.11222920000000158 5123200 
1000 0.20560569999997824 8004000 
2000 1.4573872999999935 32008000 
5000 19.927873200000022 200020000 

Corrida 4 
2 0.006444299999998293 40 
4 8.420000000342043e-05 144 
10 4.0799999965202005e-05 840 
15 4.640000003064415e-05 1860 
20 5.040000002054512e-05 3280 
30 7.579999999052234e-05 7320 
35 0.00016149999999015563 9940 
40 0.0001577999999540225 12960 
45 0.0002091000000064014 16380 
50 0.00022039999998924031 20200 
55 0.00025290000002087254 24420 
60 0.0002800999999976739 29040 
65 0.0003216000000065833 34060 
80 0.0004799000000161868 51520 
100 0.0007376000000363092 80400 
150 0.0017906000000493805 180600 
170 0.002276999999992313 231880 
200 0.0034239999999954307 320800 
250 0.005742300000008527 501000 
400 0.01753800000000183 1281600 
500 0.03270229999998264 2002000 
600 0.05407209999998486 2882400 
800 0.1328771999999958 5123200 
1000 0.21992090000003373 8004000 
2000 1.5408400000000029 32008000 
5000 19.42035420000002 200020000 

Corrida 5 
2 0.006651799999985997 40 
4 8.780000001706867e-05 144 
10 4.890000002433226e-05 840 
15 5.779999997912455e-05 1860 
20 6.309999997711202e-05 3280 
30 9.1999999995096e-05 7320 
35 0.00017790000003969908 9940 
40 0.00020560000001523804 12960 
45 0.0002592999999819767 16380 
50 0.00032750000002579327 20200 
55 0.00032859999998891 24420 
60 0.0002926999999885993 29040 
65 0.00033860000002050583 34060 
80 0.0004958000000101492 51520 
100 0.0007529000000090491 80400 
150 0.001830699999970875 180600 
170 0.0023947999999904823 231880 
200 0.0036224000000402157 320800 
250 0.006938400000024103 501000 
400 0.020077000000014777 1281600 
500 0.035737200000028224 2002000 
600 0.05303510000004508 2882400 
800 0.12219899999996642 5123200 
1000 0.2169855999999868 8004000 
2000 1.4934511000000157 32008000 
5000 19.314576699999975 200020000 

Corrida 6 
2 0.006765299999983654 40 
4 0.00010230000003730311 144 
10 4.1300000020783045e-05 840 
15 4.770000003873065e-05 1860 
20 5.000000004429239e-05 3280 
30 7.529999999178472e-05 7320 
35 0.00016600000003563764 9940 
40 0.0001845999999545711 12960 
45 0.0001897999999869171 16380 
50 0.00023089999996273036 20200 
55 0.0002672000000529806 24420 
60 0.00029240000003483146 29040 
65 0.0003376000000230306 34060 
80 0.0005014999999843894 51520 
100 0.0007744999999772517 80400 
150 0.0017068000000222128 180600 
170 0.0022735000000011496 231880 
200 0.0033732999999642743 320800 
250 0.006143099999974311 501000 
400 0.018288500000039676 1281600 
500 0.03291269999999713 2002000 
600 0.05354840000001104 2882400 
800 0.11503900000002432 5123200 
1000 0.228301799999997 8004000 
2000 1.4450831000000335 32008000 
5000 19.513830799999994 200020000 

Corrida 7 
2 0.007347600000002785 40 
4 9.810000000243235e-05 144 
10 4.179999996267725e-05 840 
15 4.710000001750814e-05 1860 
20 5.0999999984924216e-05 3280 
30 7.510000000365835e-05 7320 
35 0.00021970000000237633 9940 
40 0.0002058000000033644 12960 
45 0.000212200000021312 16380 
50 0.00024109999998245257 20200 
55 0.00025859999999511274 24420 
60 0.0002991000000065469 29040 
65 0.0003189999999904103 34060 
80 0.00047910000000683794 51520 
100 0.0007246000000122876 80400 
150 0.001774199999999837 180600 
170 0.0022973000000092725 231880 
200 0.003478299999983392 320800 
250 0.006127400000025318 501000 
400 0.019286700000009205 1281600 
500 0.034287899999981164 2002000 
600 0.05255970000001753 2882400 
800 0.1173729999999864 5123200 
1000 0.21818509999997104 8004000 
2000 1.4646368999999595 32008000 
5000 20.469095600000003 200020000 

Corrida 8 
2 0.007308200000011311 40 
4 9.610000000748187e-05 144 
10 5.1500000040505256e-05 840 
15 5.8099999989735807e-05 1860 
20 5.340000001297085e-05 3280 
30 7.749999997486157e-05 7320 
35 0.00019580000002861198 9940 
40 0.0002223999999841908 12960 
45 0.000227399999971567 16380 
50 0.0004301999999825057 20200 
55 0.00031820000003790483 24420 
60 0.0006105000000502514 29040 
65 0.0006140999999502128 34060 
80 0.0006260000000111177 51520 
100 0.0007818000000270331 80400 
150 0.0018306000000052336 180600 
170 0.0023856000000250788 231880 
200 0.0035962999999696876 320800 
250 0.006787699999961205 501000 
400 0.02119220000002997 1281600 
500 0.03752809999997453 2002000 
600 0.06291900000002215 2882400 
800 0.12543850000002976 5123200 
1000 0.23638240000002497 8004000 
2000 1.4454999000000157 32008000 
5000 19.472987399999965 200020000 

Corrida 9 
2 0.006822999999997137 40 
4 9.560000000874425e-05 144 
10 4.450000000133514e-05 840 
15 5.119999997305058e-05 1860 
20 5.329999999048596e-05 3280 
30 8.719999999584616e-05 7320 
35 0.00016389999996135884 9940 
40 0.00018419999997831837 12960 
