Corrida 0 
2 0.0037431000000003323 80 
4 0.00010889999999985633 288 
10 5.7299999999926854e-05 1680 
15 6.829999999968805e-05 3720 
20 6.450000000057798e-05 6560 
30 9.780000000070288e-05 14640 
35 0.0006161000000002304 19880 
40 0.00023929999999960927 25920 
45 0.00039040000000056807 32760 
50 0.0006038000000003763 40400 
55 0.0005831999999994508 48840 
60 0.0004623000000005817 58080 
65 0.0006227000000000871 68120 
80 0.0009749000000001118 103040 
100 0.0011719999999995068 160800 
150 0.002756599999999665 361200 
170 0.0035116999999997844 463760 
200 0.004815500000000306 641600 
250 0.007701500000000472 1002000 
400 0.021847499999999798 2563200 
500 0.033438199999999973 4004000 
600 0.045497400000000354 5764800 
800 0.10655970000000003 10246400 
1000 0.2393307999999994 16008000 
2000 2.3932661 64016000 
5000 33.184311199999996 400040000 

Corrida 1 
2 0.01417830000000464 80 
4 9.370000000075152e-05 288 
10 3.8000000003535206e-05 1680 
15 4.579999999521078e-05 3720 
20 4.909999999824777e-05 6560 
30 8.230000000253312e-05 14640 
35 0.00017700000000075988 19880 
40 0.00018200000000234695 25920 
45 0.00020820000000298933 32760 
50 0.0002820999999997298 40400 
55 0.00031779999999770325 48840 
60 0.00036559999999496995 58080 
65 0.00041099999999971715 68120 
80 0.0006756000000009976 103040 
100 0.0009256000000021913 160800 
150 0.0018172999999990225 361200 
170 0.002330499999999347 463760 
200 0.0033427000000045837 641600 
250 0.005487500000000978 1002000 
400 0.01397190000000137 2563200 
500 0.02433369999999968 4004000 
600 0.03841150000000226 5764800 
800 0.09369170000000082 10246400 
1000 0.1823586000000006 16008000 
2000 2.1959187 64016000 
5000 32.19734150000001 400040000 

Corrida 2 
2 0.014714799999993033 80 
4 0.00011179999999910706 288 
10 5.8199999998009844e-05 1680 
15 5.920000000969594e-05 3720 
20 6.340000000193413e-05 6560 
30 0.00010149999999953252 14640 
35 0.00015770000000259188 19880 
40 0.00019099999998672956 25920 
45 0.0002501999999964255 32760 
50 0.0003073000000028969 40400 
55 0.00035950000000184446 48840 
60 0.000469999999992865 58080 
65 0.0005201999999968621 68120 
80 0.0006958999999966409 103040 
100 0.001095399999996971 160800 
150 0.0023530999999934465 361200 
170 0.0032874000000049364 463760 
200 0.004308800000003998 641600 
250 0.007055699999995113 1002000 
400 0.0209438999999918 2563200 
500 0.031867200000007756 4004000 
600 0.055208600000000274 5764800 
800 0.12130980000000591 10246400 
1000 0.232602600000007 16008000 
2000 2.2404956999999968 64016000 
5000 32.790713800000006 400040000 

Corrida 3 
2 0.015167099999999323 80 
4 8.730000000412019e-05 288 
10 4.3099999999185457e-05 1680 
15 4.9500000002922206e-05 3720 
20 5.2900000000022374e-05 6560 
30 8.269999999299671e-05 14640 
35 0.00014659999999366846 19880 
40 0.00018779999999196662 25920 
45 0.00022350000000415093 32760 
50 0.00026530000000946075 40400 
55 0.00031760000000247146 48840 
60 0.00037129999999763186 58080 
65 0.00040270000000930395 68120 
80 0.0006010000000031823 103040 
100 0.0009394000000071401 160800 
150 0.0021073000000058073 361200 
170 0.0029178999999999178 463760 
200 0.004219800000001328 641600 
250 0.006157400000006419 1002000 
400 0.019799300000002518 2563200 
500 0.03538460000000043 4004000 
600 0.05234839999999963 5764800 
800 0.10378249999999412 10246400 
1000 0.20892010000000028 16008000 
2000 2.1143877999999887 64016000 
5000 34.9255536 400040000 

Corrida 4 
2 0.014268499999985806 80 
4 9.869999999523316e-05 288 
10 3.9899999990211654e-05 1680 
15 4.720000001157132e-05 3720 
20 5.0899999990861033e-05 6560 
30 8.350000001655644e-05 14640 
35 0.00016400000001226545 19880 
40 0.00018570000000295295 25920 
45 0.00023790000000190048 32760 
50 0.0003178000000048087 40400 
55 0.000322300000021869 48840 
60 0.0003612000000146054 58080 
65 0.0004160999999953674 68120 
80 0.0005950999999981832 103040 
100 0.0009106000000258518 160800 
150 0.0018194999999820993 361200 
170 0.002356899999995221 463760 
200 0.0033011999999814634 641600 
250 0.005708300000009103 1002000 
400 0.013753999999977395 2563200 
500 0.02703999999999951 4004000 
600 0.04599329999999213 5764800 
800 0.09705569999999852 10246400 
1000 0.17177350000000047 16008000 
2000 2.038530399999985 64016000 
5000 31.335992599999997 400040000 

Corrida 5 
2 0.014191600000003746 80 
4 0.00010149999999953252 288 
10 3.970000000208529e-05 1680 
15 4.719999998314961e-05 3720 
20 5.1000000013345925e-05 6560 
30 7.870000001730659e-05 14640 
35 0.0001611000000139029 19880 
40 0.00018560000000888977 25920 
45 0.00020689999999490283 32760 
50 0.0002824000000032356 40400 
55 0.0003150000000005093 48840 
60 0.0003573000000187676 58080 
65 0.0004130000000088785 68120 
80 0.0005955000000028576 103040 
100 0.0008715000000165674 160800 
150 0.0017955999999799133 361200 
170 0.0023121000000116965 463760 
200 0.003496399999988853 641600 
250 0.005434100000002218 1002000 
400 0.01394139999999311 2563200 
500 0.02472389999999791 4004000 
600 0.04808740000001421 5764800 
800 0.09770910000000299 10246400 
1000 0.19092070000002082 16008000 
2000 2.290037699999999 64016000 
5000 33.15383299999999 400040000 

Corrida 6 
2 0.014065299999998615 80 
4 0.00010260000001949265 288 
10 3.9899999990211654e-05 1680 
15 4.630000000815926e-05 3720 
20 4.979999999932261e-05 6560 
30 7.839999997827363e-05 14640 
35 0.00016330000002540146 19880 
40 0.00017020000001366498 25920 
45 0.00020920000000046457 32760 
50 0.00028209999999262436 40400 
55 0.0003201000000103704 48840 
60 0.0003600000000005821 58080 
65 0.00041070000000331675 68120 
80 0.0005966999999884592 103040 
100 0.0009230000000002292 160800 
150 0.0019670000000076016 361200 
170 0.0023882999999784715 463760 
200 0.0036389999999926204 641600 
250 0.005897799999985409 1002000 
400 0.0158702999999889 2563200 
500 0.0289581000000112 4004000 
600 0.051391100000017786 5764800 
800 0.09380710000002068 10246400 
1000 0.2265577999999948 16008000 
2000 2.161000999999999 64016000 
5000 32.6152927 400040000 

Corrida 7 
2 0.014523499999995693 80 
4 9.749999998120984e-05 288 
10 3.970000000208529e-05 1680 
15 4.6100000020032894e-05 3720 
20 4.8800000001847366e-05 6560 
30 7.809999999608408e-05 14640 
35 0.0001673999999525222 19880 
40 0.0001732000000060907 25920 
45 0.00020979999999326537 32760 
50 0.00028720000000248547 40400 
55 0.00031820000003790483 48840 
60 0.00036730000005036345 58080 
65 0.00041450000003351306 68120 
80 0.0006003999999961707 103040 
100 0.0009236000000214517 160800 
150 0.0018408999999905973 361200 
170 0.0024694000000522465 463760 
200 0.0033723000000236425 641600 
250 0.005573799999979201 1002000 
400 0.013935900000035417 2563200 
500 0.023862300000018877 4004000 
600 0.04489560000001802 5764800 
800 0.09031749999996919 10246400 
1000 0.19783879999999954 16008000 
2000 2.1982939999999758 64016000 
5000 33.601865799999985 400040000 

Corrida 8 
2 0.01349440000001323 80 
4 9.520000003249152e-05 288 
10 4.3100000027607166e-05 1680 
15 4.799999999249849e-05 3720 
20 5.110000000740911e-05 6560 
30 8.810000002767993e-05 14640 
35 0.00013639999997394625 19880 
40 0.0002018999999791049 25920 
45 0.00019530000002987435 32760 
50 0.0002369999999700667 40400 
55 0.00026800000000548607 48840 
60 0.00030150000003459354 58080 
65 0.00034419999997226114 68120 
80 0.0005483999999569278 103040 
100 0.0008383999999637126 160800 
150 0.0021121999999991203 361200 
170 0.0025618999999892367 463760 
200 0.0034344000000032793 641600 
250 0.0055021000000010645 1002000 
400 0.01390240000000631 2563200 
500 0.02411619999998038 4004000 
600 0.038401299999975436 5764800 
800 0.0790030999999658 10246400 
1000 0.17020149999996192 16008000 
2000 1.9415240000000153 64016000 
5000 31.04053049999999 400040000 

Corrida 9 
2 0.013319999999964693 80 
4 0.0001462999999830572 288 
10 5.6300000039755105e-05 1680 
15 5.9000000021569576e-05 3720 
20 6.319999999959691e-05 6560 
30 0.00010059999999612046 14640 
35 0.00018449999998892963 19880 
40 0.00024899999999661304 25920 
45 0.00024510000002919696 32760 
50 0.00032260000000405853 40400 
55 0.0003661999999735599 48840 
60 0.0004122000000279513 58080 
65 0.00047580000000380096 68120 
80 0.0007128000000307111 103040 
100 0.0010732999999731874 160800 
150 0.0022785000000453692 361200 
170 0.0030217000000334338 463760 
200 0.004363000000012107 641600 
250 0.006633800000031442 1002000 
400 0.015567399999952158 2563200 
500 0.027705500000024585 4004000 
600 0.04764089999997623 5764800 
800 0.10019499999998516 10246400 
1000 0.1833351999999877 16008000 
2000 2.0561466999999993 64016000 
5000 35.81493389999997 400040000 

FINAL 
