Corrida 0 
2 0.011332600000000248 40 
4 0.00015119999999990696 144 
10 7.739999999989422e-05 840 
15 7.970000000012689e-05 1860 
20 7.819999999991722e-05 3280 
30 0.00012939999999961316 7320 
35 0.0008807000000001786 9940 
40 0.0003646999999999956 12960 
45 0.00046499999999971564 16380 
50 0.0005025000000000723 20200 
55 0.0006559999999997679 24420 
60 0.00036459999999971515 29040 
65 0.0005417999999997036 34060 
80 0.0007888000000000339 51520 
100 0.001246699999999823 80400 
150 0.003312399999999993 180600 
170 0.0033474999999998367 231880 
200 0.004273100000000252 320800 
250 0.007246799999999887 501000 
400 0.022310800000000075 1281600 
500 0.039270099999999974 2002000 
600 0.05423920000000004 2882400 
800 0.11846739999999967 5123200 
1000 0.20864939999999965 8004000 
2000 1.4446451999999996 32008000 
5000 19.0802406 200020000 

Corrida 1 
2 0.006408000000000413 40 
4 8.19999999990273e-05 144 
10 4.129999999946676e-05 840 
15 4.709999999974457e-05 1860 
20 7.000000000090267e-05 3280 
30 9.609999999682373e-05 7320 
35 0.0001870000000003813 9940 
40 0.0001735999999965543 12960 
45 0.00024170000000012237 16380 
50 0.0002592000000021244 20200 
55 0.0002649000000012336 24420 
60 0.0002935999999991168 29040 
65 0.0003493999999975017 34060 
80 0.0005163000000010243 51520 
100 0.0007635000000014713 80400 
150 0.0016801999999991324 180600 
170 0.002119000000000426 231880 
200 0.003342799999998647 320800 
250 0.006135399999998015 501000 
400 0.018109700000000117 1281600 
500 0.03251189999999937 2002000 
600 0.052879499999999524 2882400 
800 0.11937200000000203 5123200 
1000 0.2207010000000018 8004000 
2000 1.7027099999999997 32008000 
5000 20.281624200000003 200020000 

Corrida 2 
2 0.006622499999998865 40 
4 9.340000000435111e-05 144 
10 4.450000000133514e-05 840 
15 7.04999999996403e-05 1860 
20 6.399999999473494e-05 3280 
30 8.139999999912106e-05 7320 
35 0.00016199999999599868 9940 
40 0.0001715000000004352 12960 
45 0.00019759999999990896 16380 
50 0.00024110000000376886 20200 
55 0.0002746000000044546 24420 
60 0.00030209999999897263 29040 
65 0.0003644000000022629 34060 
80 0.0005061999999966815 51520 
100 0.0007718999999966059 80400 
150 0.0019009000000025367 180600 
170 0.0024471999999988725 231880 
200 0.0036309999999986076 320800 
250 0.006311400000001299 501000 
400 0.019598999999999478 1281600 
500 0.033187599999997985 2002000 
600 0.05629319999999893 2882400 
800 0.11601920000000376 5123200 
1000 0.2259517000000031 8004000 
2000 1.5987427999999966 32008000 
5000 19.4003742 200020000 

Corrida 3 
2 0.006479799999993929 40 
4 8.699999999350894e-05 144 
10 4.369999999198626e-05 840 
15 4.870000000778418e-05 1860 
20 5.170000000020991e-05 3280 
30 8.859999999799584e-05 7320 
35 0.00019319999999822812 9940 
40 0.00017300000000375348 12960 
45 0.0001998000000043021 16380 
50 0.00023559999999633874 20200 
55 0.00026619999999866195 24420 
60 0.0002932000000015478 29040 
65 0.00033840000000395776 34060 
80 0.0004967999999934136 51520 
100 0.0007204999999999018 80400 
150 0.002099700000002258 180600 
170 0.0024838000000073635 231880 
200 0.0035117999999982885 320800 
250 0.005706000000003542 501000 
400 0.02017030000000375 1281600 
500 0.03261569999999381 2002000 
600 0.05420439999998905 2882400 
800 0.11784070000000213 5123200 
1000 0.2316112999999973 8004000 
2000 1.5780341999999905 32008000 
5000 19.700800299999997 200020000 

Corrida 4 
2 0.007429800000011255 40 
4 9.340000001145654e-05 144 
10 4.919999999231095e-05 840 
15 6.410000000300897e-05 1860 
