Corrida 0 
2 0.024193100000000634 80 
4 0.0004052000000003275 288 
10 0.00014770000000030592 1680 
15 0.00018450000000047595 3720 
20 0.0001614999999999256 6560 
30 0.0002047999999996719 14640 
35 0.00022739999999998872 19880 
40 0.00026079999999950587 25920 
45 0.00024429999999942 32760 
50 0.0011830000000001561 40400 
55 0.0005056999999997203 48840 
60 0.0005059999999996734 58080 
65 0.0006655999999995998 68120 
80 0.0010347999999993363 103040 
100 0.002198500000000436 160800 
150 0.0030745999999997053 361200 
170 0.0034402999999993966 463760 
200 0.004459400000000002 641600 
250 0.0066688999999993115 1002000 
400 0.01682520000000043 2563200 
500 0.02510779999999979 4004000 
600 0.04761539999999975 5764800 
800 0.08887480000000014 10246400 
1000 0.13445010000000046 16008000 
2000 1.2671013000000002 64016000 
5000 19.6952796 400040000 

Corrida 1 
2 0.023533600000000376 80 
4 0.00016910000000081027 288 
10 0.0001239999999995689 1680 
15 0.0001505000000001644 3720 
20 0.00016310000000174796 6560 
30 0.00019589999999780616 14640 
35 0.00022399999999933584 19880 
40 0.00024499999999960664 25920 
45 0.00030079999999799156 32760 
50 0.00041149999999845477 40400 
55 0.00051300000000154 48840 
60 0.0005767999999974904 58080 
65 0.0006079999999997199 68120 
80 0.0008705000000013285 103040 
100 0.0014181000000021982 160800 
150 0.002900699999997869 361200 
170 0.0035093000000010477 463760 
200 0.004960400000001641 641600 
250 0.007421000000000788 1002000 
400 0.01911100000000232 2563200 
500 0.031108299999999645 4004000 
600 0.05337240000000065 5764800 
800 0.09946109999999919 10246400 
1000 0.1552989999999994 16008000 
2000 1.173279400000002 64016000 
5000 18.874530099999998 400040000 

Corrida 2 
2 0.022236700000000553 80 
4 0.00019180000000318387 288 
10 0.00012079999999770052 1680 
15 0.00013630000000119935 3720 
20 0.00019350000000173395 6560 
30 0.00022049999999751435 14640 
35 0.00024889999999544443 19880 
40 0.0002768000000017423 25920 
45 0.00032339999999919655 32760 
50 0.0004423000000031152 40400 
55 0.0005021999999996751 48840 
60 0.0005598999999989474 58080 
65 0.0006571999999991363 68120 
80 0.0008472999999966646 103040 
100 0.0014202000000054227 160800 
150 0.003166100000001393 361200 
170 0.003631899999994914 463760 
200 0.004755799999998089 641600 
