Corrida 0 
2 0.008265800000000212 40 
4 0.0002884999999999138 144 
10 0.0001286999999994265 840 
15 0.00016289999999941074 1860 
20 9.890000000023491e-05 3280 
30 0.00021589999999971354 7320 
35 0.0010825999999992675 9940 
40 0.0003709999999994551 12960 
45 0.0003513999999995576 16380 
50 0.000510699999999531 20200 
55 0.0005090000000000927 24420 
60 0.0006115999999991573 29040 
65 0.0006512000000000739 34060 
80 0.0009487999999997498 51520 
100 0.0012042000000000996 80400 
150 0.0025124000000005253 180600 
170 0.003073999999999799 231880 
200 0.004163699999999437 320800 
250 0.006308600000000553 501000 
400 0.020465100000000014 1281600 
500 0.03134209999999982 2002000 
600 0.048225000000000406 2882400 
800 0.0895179000000006 5123200 
1000 0.14154030000000084 8004000 
2000 0.8209096000000002 32008000 
5000 18.6193946 200020000 

Corrida 1 
2 0.008216700000001964 40 
4 0.0001466000000007739 144 
10 8.060000000043033e-05 840 
15 8.479999999977395e-05 1860 
20 9.409999999832053e-05 3280 
30 0.00012680000000031555 7320 
35 0.00023619999999979768 9940 
40 0.00024539999999717566 12960 
45 0.0002805999999999642 16380 
50 0.0003394999999990489 20200 
55 0.00038980000000066184 24420 
60 0.0004372000000003595 29040 
65 0.0005060999999990656 34060 
80 0.0006738000000012789 51520 
100 0.000966600000001705 80400 
150 0.0020510000000015793 180600 
170 0.0026767999999997016 231880 
200 0.003349400000001168 320800 
250 0.005754599999999499 501000 
400 0.01489480000000043 1281600 
500 0.02364910000000009 2002000 
600 0.03750309999999857 2882400 
800 0.08041120000000035 5123200 
1000 0.1406396000000001 8004000 
2000 0.8782372000000009 32008000 
5000 13.553314200000003 200020000 

Corrida 2 
2 0.00873719999999878 40 
4 0.0001449000000022238 144 
10 9.560000000163882e-05 840 
15 8.490000000449527e-05 1860 
20 9.570000000280743e-05 3280 
30 0.0001279999999965753 7320 
35 0.00023769999999956326 9940 
40 0.00023289999999320798 12960 
45 0.00027769999999804895 16380 
50 0.0003363999999947964 20200 
55 0.0003777000000013686 24420 
60 0.0004119999999971924 29040 
65 0.00047610000000020136 34060 
80 0.0007456999999959635 51520 
100 0.0010310999999987303 80400 
150 0.0020914000000047395 180600 
170 0.002659000000001299 231880 
200 0.003529899999996644 320800 
250 0.005434399999998618 501000 
400 0.014021400000004292 1281600 
500 0.023988199999998017 2002000 
600 0.036227300000000184 2882400 
800 0.07310640000000035 5123200 
1000 0.12672680000000014 8004000 
2000 0.8194384000000028 32008000 
5000 12.782170899999997 200020000 

Corrida 3 
2 0.008764100000000496 40 
4 0.00015340000000207965 144 
10 7.949999999823376e-05 840 
15 8.60999999972023e-05 1860 
20 9.430000000065775e-05 3280 
30 0.0001302999999950316 7320 
35 0.00021439999999728343 9940 
40 0.0002690999999970245 12960 
45 0.00032749999999737156 16380 
50 0.00032739999999620295 20200 
55 0.0003700999999978194 24420 
60 0.00040150000000238606 29040 
65 0.0004637999999985709 34060 
80 0.0006905000000045902 51520 
100 0.0008663999999996008 80400 
150 0.0019138000000040734 180600 
170 0.0024464000000037345 231880 
200 0.0031827999999975987 320800 
250 0.005593600000004528 501000 
400 0.01543230000000051 1281600 
500 0.024455299999999625 2002000 
600 0.034801000000001636 2882400 
800 0.06937530000000436 5123200 
1000 0.1174502000000004 8004000 
2000 0.7918828000000033 32008000 
5000 13.465443100000002 200020000 

Corrida 4 
2 0.009451099999992607 40 
4 0.0001948999999967782 144 
10 8.330000000000837e-05 840 
15 8.940000000734472e-05 1860 
20 0.00010080000001266853 3280 
30 0.0001513999999929183 7320 
35 0.00021490000000312648 9940 
40 0.00023980000000278778 12960 
45 0.0003634999999917454 16380 
50 0.0003525999999993701 20200 
55 0.0003908999999993057 24420 
60 0.0004256999999938671 29040 
65 0.000485599999990427 34060 
80 0.0007056000000034146 51520 
100 0.0009806000000054382 80400 
150 0.0019719999999949778 180600 
170 0.0024970999999993637 231880 
200 0.003387200000005919 320800 
250 0.0052900999999963005 501000 
400 0.014251500000000306 1281600 
500 0.02247350000000381 2002000 
600 0.03630300000000375 2882400 
800 0.07000680000000159 5123200 
1000 0.12238790000000677 8004000 
2000 0.8232238999999879 32008000 
5000 13.467663000000002 200020000 

Corrida 5 
2 0.010126800000008984 40 
4 0.00013309999999933098 144 
10 7.709999999860884e-05 840 
15 7.599999999285956e-05 1860 
20 8.529999999495885e-05 3280 
30 0.00017610000000445325 7320 
35 0.00026019999999959964 9940 
40 0.00022269999999480206 12960 
45 0.00030520000001388325 16380 
50 0.0004015000000094915 20200 
55 0.00034740000000965665 24420 
60 0.0004217000000039661 29040 
65 0.00042950000000985256 34060 
80 0.0007740000000069358 51520 
100 0.0009663000000017519 80400 
150 0.0020094999999997754 180600 
170 0.002720899999999915 231880 
200 0.0045472999999987 320800 
250 0.006942499999993856 501000 
