Corrida 0 
2 0.029829599999999346 80 
4 0.00035229999999941697 288 
10 0.0001831000000009908 1680 
15 0.0002324999999991917 3720 
20 0.000222400000000178 6560 
30 0.00031960000000097466 14640 
35 0.00032720000000097116 19880 
40 0.00029930000000000234 25920 
45 0.0003010000000003288 32760 
50 0.001383599999998708 40400 
55 0.000658100000000772 48840 
60 0.0006485999999998882 58080 
65 0.0007572000000006796 68120 
80 0.0012296999999996672 103040 
100 0.0016166999999995824 160800 
150 0.0035696000000005057 361200 
170 0.0041279999999996875 463760 
200 0.005314599999998393 641600 
250 0.00807380000000002 1002000 
400 0.023581000000000074 2563200 
500 0.03404240000000058 4004000 
600 0.05844139999999953 5764800 
800 0.0987846999999995 10246400 
1000 0.14008939999999903 16008000 
2000 1.2668876999999998 64016000 
5000 19.5851568 400040000 

Corrida 1 
2 0.01634560000000107 80 
4 0.0001297000000022308 288 
10 6.359999999716592e-05 1680 
15 6.940000000099644e-05 3720 
20 7.670000000103983e-05 6560 
30 0.0001107000000004632 14640 
35 0.00013640000000236796 19880 
40 0.00014620000000320488 25920 
45 0.0001736999999977229 32760 
50 0.00034810000000362606 40400 
55 0.00038020000000216214 48840 
60 0.0004277999999970916 58080 
65 0.0005015999999997689 68120 
80 0.0007256000000026575 103040 
100 0.000988599999999451 160800 
150 0.0020584000000027913 361200 
170 0.002634199999995701 463760 
200 0.0036193000000039888 641600 
250 0.006208499999999617 1002000 
400 0.015413099999996405 2563200 
500 0.022924799999998413 4004000 
600 0.04477150000000307 5764800 
800 0.08764950000000482 10246400 
1000 0.1543143000000029 16008000 
2000 1.163788199999999 64016000 
5000 18.778984099999995 400040000 

Corrida 2 
2 0.016258800000002793 80 
4 0.00016240000000067312 288 
10 8.309999999767115e-05 1680 
15 8.849999999682723e-05 3720 
20 9.409999999832053e-05 6560 
30 0.00014079999999694337 14640 
35 0.00016749999999632337 19880 
40 0.00018289999999865358 25920 
45 0.00021639999999933934 32760 
50 0.0005252999999996177 40400 
55 0.00042889999999573547 48840 
60 0.0004309000000048968 58080 
65 0.0004940999999973883 68120 
80 0.0007649000000000683 103040 
100 0.0012185999999942965 160800 
150 0.0019805999999960022 361200 
170 0.0025666000000015288 463760 
200 0.0033097999999966987 641600 
250 0.005065500000000611 1002000 
400 0.014119299999997281 2563200 
500 0.021913800000000094 4004000 
600 0.037108800000005715 5764800 
800 0.07648249999999734 10246400 
1000 0.13699069999999836 16008000 
2000 1.1701302999999967 64016000 
5000 17.836844000000006 400040000 

Corrida 3 
2 0.016685699999996473 80 
4 0.0001318999999995185 288 
10 6.470000001002063e-05 1680 
15 6.930000000693326e-05 3720 
20 8.359999999640877e-05 6560 
30 0.0001125000000001819 14640 
35 0.00013269999999465654 19880 
40 0.00019380000000523978 25920 
45 0.0001732000000060907 32760 
50 0.00030610000000308446 40400 
55 0.00032889999999952124 48840 
60 0.00037519999999346965 58080 
65 0.0004287000000005037 68120 
80 0.0006317999999936319 103040 
100 0.0009371999999956415 160800 
150 0.0019217999999909807 361200 
170 0.0025600999999966234 463760 
200 0.0030876000000006343 641600 
250 0.004942800000009129 1002000 
400 0.013444100000000958 2563200 
500 0.020487799999997947 4004000 
600 0.0353400999999991 5764800 
800 0.07726570000001232 10246400 
1000 0.13398379999999577 16008000 
2000 1.2195032999999995 64016000 
5000 18.0020236 400040000 

Corrida 4 
2 0.016683799999995585 80 
4 0.00014910000000156742 288 
10 7.210000001123262e-05 1680 
15 7.789999999374686e-05 3720 
20 8.669999999710853e-05 6560 
30 0.0001467000000019425 14640 
35 0.00020309999999312822 19880 
40 0.00021240000000943837 25920 
45 0.0002063999999961652 32760 
50 0.0003367000000054077 40400 
55 0.00039370000000360506 48840 
60 0.00044359999999699085 58080 
65 0.0005000999999964506 68120 
80 0.0006849999999900547 103040 
100 0.0009947000000067874 160800 
150 0.0020308999999940625 361200 
170 0.002531000000004724 463760 
200 0.003231900000002952 641600 
250 0.00491600000000858 1002000 
400 0.013418299999997885 2563200 
500 0.020953700000006847 4004000 
600 0.03879040000001055 5764800 
800 0.07212300000000482 10246400 
1000 0.13604130000000225 16008000 
2000 1.1403432000000038 64016000 
5000 17.766321899999994 400040000 

Corrida 5 
2 0.016076299999994603 80 
4 0.0001429000000001679 288 
10 7.200000000295859e-05 1680 
15 7.869999998888488e-05 3720 
20 9.040000000481996e-05 6560 
30 0.00012710000000026866 14640 
35 0.000149499999992031 19880 
40 0.00017440000000590317 25920 
45 0.00019670000000360233 32760 
50 0.0003391000000050326 40400 
55 0.0003777999999954318 48840 
60 0.00043209999999760385 58080 
65 0.0004914999999954262 68120 
80 0.0007441000000056874 103040 
100 0.0010170999999985497 160800 
150 0.0020016000000140366 361200 
170 0.0024573000000032152 463760 
200 0.003395400000002269 641600 
250 0.00513949999999852 1002000 
400 0.013759600000000205 2563200 
500 0.021583999999990056 4004000 
600 0.03611010000000192 5764800 
800 0.07814199999999971 10246400 
1000 0.1348940999999968 16008000 
2000 1.1570198000000005 64016000 
5000 17.6890674 400040000 

Corrida 6 
2 0.016189900000000534 80 
4 0.00014240000001564113 288 
10 7.429999999430947e-05 1680 
15 8.059999998977219e-05 3720 
20 8.979999998359744e-05 6560 
30 0.000132400000012467 14640 
35 0.0001571999999896434 19880 
40 0.0001713000000052034 25920 
45 0.00020549999999275315 32760 
50 0.0003375999999946089 40400 
55 0.0005653000000052089 48840 
60 0.0004647000000090884 58080 
65 0.0004924000000130491 68120 
80 0.0006352999999990061 103040 
100 0.0009761000000025888 160800 
150 0.0020398999999997613 361200 
170 0.0025562000000149965 463760 
200 0.0031468999999901826 641600 
250 0.004752800000005664 1002000 
400 0.013799500000004628 2563200 
500 0.020547999999990907 4004000 
600 0.039144599999985985 5764800 
800 0.08522899999999822 10246400 
1000 0.13729180000001406 16008000 
2000 1.102392899999984 64016000 
5000 17.958946300000008 400040000 

Corrida 7 
2 0.016207700000023806 80 
4 0.00012910000000943 288 
10 6.500000000642103e-05 1680 
15 7.039999999847169e-05 3720 
20 7.670000002235611e-05 6560 
30 0.00011109999999803222 14640 
35 0.00013069999999970605 19880 
40 0.0001462999999830572 25920 
45 0.00017289999999547945 32760 
50 0.0003534999999885713 40400 
55 0.00037789999998949497 48840 
60 0.0004364999999779684 58080 
65 0.0005563999999935731 68120 
80 0.0007675999999889882 103040 
100 0.00101990000001706 160800 
150 0.0019125000000030923 361200 
170 0.0025143000000014126 463760 
200 0.0031821000000036292 641600 
250 0.004830200000014884 1002000 
400 0.013593999999983453 2563200 
500 0.020304000000010092 4004000 
600 0.03663220000001388 5764800 
800 0.08403050000001144 10246400 
1000 0.1435594000000151 16008000 
2000 1.1360261000000094 64016000 
5000 17.772730699999983 400040000 

Corrida 8 
2 0.017136899999997013 80 
4 0.0001426000000037675 288 
10 7.61000000011336e-05 1680 
15 8.539999998902204e-05 3720 
20 9.230000000570726e-05 6560 
30 0.00013200000000779255 14640 
35 0.00019420000000991422 19880 
40 0.00017230000000267864 25920 
45 0.00020100000000411455 32760 
50 0.00036080000000993095 40400 
55 0.00037869999999884385 48840 
60 0.0004282000000159769 58080 
65 0.0005424999999945612 68120 
80 0.0007532000000196604 103040 
100 0.001000900000008187 160800 
150 0.0019405999999833057 361200 
170 0.0025167999999951007 463760 
200 0.0033219000000030974 641600 
250 0.005632899999994834 1002000 
400 0.013945000000006758 2563200 
500 0.021434499999998025 4004000 
600 0.03671829999998977 5764800 
800 0.0708989000000031 10246400 
1000 0.1453858000000139 16008000 
2000 1.1419128999999941 64016000 
5000 17.950281599999983 400040000 

Corrida 9 
2 0.01624350000000163 80 
4 0.0001252999999792337 288 
10 6.279999999492247e-05 1680 
15 6.929999997851155e-05 3720 
20 7.61000000011336e-05 6560 
30 0.0001105999999992946 14640 
35 0.0001304000000175165 19880 
40 0.00019079999998439234 25920 
45 0.00018489999999360407 32760 
50 0.00034690000001091903 40400 
55 0.0003861000000142667 48840 
60 0.00043299999998680505 58080 
65 0.000497799999976678 68120 
80 0.0007301999999924647 103040 
100 0.0010193999999899006 160800 
150 0.0019737000000077387 361200 
170 0.002536599999984901 463760 
200 0.003271600000005037 641600 
250 0.0049977000000183125 1002000 
400 0.014549899999991567 2563200 
500 0.020562999999981457 4004000 
600 0.03627750000001129 5764800 
800 0.07697930000000497 10246400 
1000 0.15121200000001522 16008000 
2000 1.124692699999997 64016000 
5000 18.3573083 400040000 

FINAL 
