Corrida 0 
2 0.014847099999999891 40 
4 0.0006292000000005515 144 
10 0.00026420000000015875 840 
15 0.0003105000000003244 1860 
20 0.0003218000000000387 3280 
30 0.0004927999999999599 7320 
35 0.0024964999999994575 9940 
40 0.0008634000000000697 12960 
45 0.0009407999999995198 16380 
50 0.0010542000000004492 20200 
55 0.0011551000000000755 24420 
60 0.001250699999999938 29040 
65 0.0014266000000002776 34060 
80 0.002061099999999705 51520 
100 0.0027210000000001955 80400 
150 0.006099999999999994 180600 
170 0.00711700000000004 231880 
200 0.010031500000000193 320800 
250 0.016594500000000068 501000 
400 0.047485700000000186 1281600 
500 0.037357000000000085 2002000 
600 0.04223320000000008 2882400 
800 0.08487510000000054 5123200 
1000 0.13007539999999995 8004000 
2000 0.9813989999999997 32008000 
5000 19.8706459 200020000 

Corrida 1 
2 0.011419999999997543 40 
4 0.000280399999997627 144 
10 0.0001984000000021524 840 
15 0.0002212999999997578 1860 
20 0.00011849999999924421 3280 
30 0.00015319999999974243 7320 
35 0.0002747000000020705 9940 
40 0.00038099999999730016 12960 
45 0.0005463999999975044 16380 
50 0.000362400000000207 20200 
55 0.0004065000000004204 24420 
60 0.0004483999999997934 29040 
65 0.0005270999999993364 34060 
80 0.0007157000000006519 51520 
100 0.0011109000000004698 80400 
150 0.0021964000000025408 180600 
170 0.0033172999999990793 231880 
200 0.004060700000000139 320800 
250 0.005941299999999927 501000 
400 0.027328900000000544 1281600 
500 0.05057759999999689 2002000 
600 0.07602310000000045 2882400 
800 0.15169919999999948 5123200 
1000 0.2549811999999996 8004000 
2000 1.6259378000000027 32008000 
5000 21.734719400000003 200020000 

Corrida 2 
2 0.017831300000004546 40 
4 0.0002652000000011867 144 
10 0.0001888999999977159 840 
15 0.0002060999999997648 1860 
20 0.00023310000000265063 3280 
30 0.00030650000000065347 7320 
35 0.0005026000000043496 9940 
40 0.00047990000000197597 12960 
45 0.0005901000000037016 16380 
50 0.0006395999999995183 20200 
55 0.0007321999999945206 24420 
60 0.0007835999999983301 29040 
65 0.0009013000000024363 34060 
80 0.0012056999999998652 51520 
100 0.0017455999999995697 80400 
150 0.003792300000000637 180600 
170 0.0049559999999999604 231880 
200 0.006937399999998206 320800 
250 0.011303200000000402 501000 
400 0.030769400000004055 1281600 
500 0.0504164999999972 2002000 
600 0.07694620000000185 2882400 
800 0.15393689999999793 5123200 
1000 0.2573604999999972 8004000 
2000 1.5774298999999985 32008000 
5000 21.6014185 200020000 

Corrida 3 
2 0.014584300000009875 40 
4 0.00022750000000826276 144 
10 0.00015519999999469292 840 
15 0.00017049999999585452 1860 
20 0.00019159999999374122 3280 
30 0.0002539999999982001 7320 
35 0.0004603999999943653 9940 
40 0.0004696999999964646 12960 
45 0.0005314999999939118 16380 
50 0.0006366999999869449 20200 
55 0.0007907999999900994 24420 
60 0.0007706000000098356 29040 
65 0.0009261999999949921 34060 
80 0.0011202999999966323 51520 
100 0.0015904999999918346 80400 
150 0.0035134000000027754 180600 
170 0.0049229000000110545 231880 
200 0.0068916999999970585 320800 
250 0.011537200000006465 501000 
400 0.031046500000002197 1281600 
500 0.05005059999999162 2002000 
600 0.07631360000000598 2882400 
800 0.15237980000000562 5123200 
1000 0.25702619999999854 8004000 
2000 1.5850664000000023 32008000 
5000 21.618075599999997 200020000 

Corrida 4 
2 0.0158947999999981 40 
4 0.00027969999999299944 144 
10 0.0001880000000085147 840 
15 0.00020659999999850243 1860 
20 0.00023889999999937572 3280 
30 0.00030800000000397176 7320 
35 0.00047429999999337724 9940 
40 0.000485599999990427 12960 
45 0.0005395999999961987 16380 
50 0.0006431000000048925 20200 
55 0.0007202000000035014 24420 
60 0.0007839999999958991 29040 
65 0.0008938000000000557 34060 
80 0.0011970000000047776 51520 
100 0.001762800000008724 80400 
150 0.003818000000009647 180600 
170 0.004971299999994017 231880 
200 0.006874300000006883 320800 
250 0.011306700000005776 501000 
400 0.03059479999998871 1281600 
500 0.050044800000009104 2002000 
600 0.0772908000000001 2882400 
800 0.15325330000000292 5123200 
1000 0.25769520000000057 8004000 
2000 1.589376399999992 32008000 
5000 21.542936400000002 200020000 

Corrida 5 
2 0.017867600000016637 40 
4 0.0002705000000275959 144 
10 0.0001918000000102893 840 
15 0.00021300000000223918 1860 
20 0.00023620000001756125 3280 
30 0.00031490000000644613 7320 
35 0.0005444000000238702 9940 
40 0.0004857000000129119 12960 
45 0.0005500000000040473 16380 
50 0.000647600000007742 20200 
55 0.0007291000000009262 24420 
60 0.0007846000000029107 29040 
65 0.0008931000000131917 34060 
80 0.0011940999999922042 51520 
100 0.0017402000000004136 80400 
150 0.003786599999983764 180600 
170 0.004977099999990742 231880 
200 0.006865000000004784 320800 
250 0.011455499999982521 501000 
400 0.03126749999998424 1281600 
500 0.049181400000009035 2002000 
600 0.0756641999999772 2882400 
800 0.14863239999999678 5123200 
1000 0.26104970000000094 8004000 
2000 1.5797588000000076 32008000 
5000 14.580674799999997 200020000 

Corrida 6 
2 0.008467500000023165 40 
4 0.0001438000000177908 144 
10 8.189999999785869e-05 840 
15 8.540000001744374e-05 1860 
20 9.550000001468106e-05 3280 
30 0.00012680000000386826 7320 
35 0.00028459999998631247 9940 
40 0.0002557999999908134 12960 
