Corrida 0 
2 0.0005157000000224343 80 
4 0.00027389999999627435 288 
10 0.00018580000002543784 1680 
15 0.00018520000000421533 3720 
20 0.00021869999997647938 6560 
30 0.0010811999999873478 14640 
35 0.00043099999999185457 19880 
40 0.0003852999999764961 25920 
45 0.0004689999999811789 32760 
50 0.0007712999999966996 40400 
55 0.0007426999999893269 48840 
60 0.0008015000000227701 58080 
65 0.000896399999987807 68120 
80 0.0012463000000195734 103040 
100 0.0018780000000049313 160800 
150 0.0040104999999925894 361200 
170 0.005357199999991735 463760 
200 0.007201600000001918 641600 
250 0.010846399999991263 1002000 
400 0.02854790000000662 2563200 
500 0.03256239999998911 4004000 
600 0.047372099999989814 5764800 
800 0.10364989999999352 10246400 
1000 0.17888200000001575 16008000 
2000 1.2771669999999915 64016000 
5000 23.819333099999994 400040000 

Corrida 1 
2 0.026907300000004852 80 
4 0.00020169999999097854 288 
10 0.00013519999998834464 1680 
15 0.0001496000000145159 3720 
20 0.00016479999999319261 6560 
30 0.00024390000001517365 14640 
35 0.00027969999999299944 19880 
40 0.00033139999999320935 25920 
45 0.00039530000000809196 32760 
50 0.0006162999999901331 40400 
55 0.0005955999999969208 48840 
60 0.0006015000000161308 58080 
65 0.0006745000000023538 68120 
80 0.0009105999999974301 103040 
100 0.0014007000000049175 160800 
150 0.0029587999999876047 361200 
170 0.0038906999999994696 463760 
200 0.005306700000005549 641600 
250 0.00845189999998297 1002000 
400 0.024325299999986782 2563200 
500 0.03334770000000731 4004000 
600 0.05392470000001026 5764800 
800 0.11543990000001259 10246400 
1000 0.2178613000000098 16008000 
2000 1.9313352000000066 64016000 
5000 22.425153100000017 400040000 

Corrida 2 
2 0.029529799999977513 80 
4 0.0002178999999955522 288 
10 0.00014420000002246525 1680 
15 0.00016200000001731496 3720 
20 0.00018439999999486645 6560 
30 0.0002658999999880507 14640 
35 0.0003117999999915355 19880 
40 0.000348299999984647 25920 
45 0.00041060000000925356 32760 
50 0.0006081999999878462 40400 
55 0.0007502999999928761 48840 
60 0.0007631999999944128 58080 
65 0.0008328000000119573 68120 
80 0.00109960000000342 103040 
100 0.0016975000000059026 160800 
150 0.0036202000000002954 361200 
170 0.004762200000016037 463760 
200 0.006831500000004098 641600 
250 0.010515800000007403 1002000 
400 0.02859390000000417 2563200 
500 0.044762700000006816 4004000 
600 0.0764362000000176 5764800 
800 0.15828740000000607 10246400 
1000 0.2828695000000039 16008000 
2000 1.8876496000000031 64016000 
5000 22.171942899999976 400040000 

Corrida 3 
2 0.01540260000001581 80 
4 0.00014079999999694337 288 
10 9.879999998929634e-05 1680 
15 8.990000003450405e-05 3720 
20 0.00010709999997970954 6560 
30 0.00013009999997848354 14640 
35 0.0001535000000103537 19880 
40 0.00017199999996364568 25920 
45 0.0002230000000054133 32760 
50 0.00035950000000184446 40400 
55 0.00039160000000038053 48840 
60 0.00044719999999642823 58080 
65 0.0004824999999755164 68120 
80 0.0007305000000314976 103040 
100 0.0010581999999885738 160800 
150 0.002080599999999322 361200 
170 0.0027122000000190383 463760 
200 0.003565199999968627 641600 
250 0.006530899999972917 1002000 
400 0.01678020000002789 2563200 
500 0.024567100000012942 4004000 
600 0.043322399999965455 5764800 
800 0.08470479999999725 10246400 
1000 0.13156550000002198 16008000 
2000 1.1496440000000234 64016000 
5000 18.0076148 400040000 

Corrida 4 
2 0.017477400000018406 80 
4 0.00019340000000056534 288 
10 9.970000002113011e-05 1680 
15 0.00012960000003658934 3720 
20 0.00015170000000352957 6560 
30 0.00023490000000947475 14640 
35 0.00021709999998620333 19880 
40 0.000233299999990777 25920 
45 0.0004911999999990257 32760 
50 0.0005443000000013853 40400 
55 0.0006305999999653977 48840 
60 0.0004519999999956781 58080 
65 0.000463299999978517 68120 
80 0.0006237000000055559 103040 
100 0.0009707000000389598 160800 
150 0.001978699999995115 361200 
170 0.0025191999999947257 463760 
200 0.0032312999999817293 641600 
250 0.005115200000034292 1002000 
400 0.013535300000000916 2563200 
500 0.02011219999997138 4004000 
600 0.03603939999999284 5764800 
800 0.07739670000000842 10246400 
1000 0.12615979999998217 16008000 
2000 1.1288307000000373 64016000 
5000 17.724924200000032 400040000 

Corrida 5 
2 0.016260600000009617 80 
4 0.0001417999999944186 288 
10 7.099999999127249e-05 1680 
15 7.91999999592008e-05 3720 
20 9.049999999888314e-05 6560 
30 0.00018499999998766725 14640 
35 0.00015389999998660642 19880 
40 0.00016759999999749198 25920 
45 0.00019730000002482484 32760 
50 0.0003317000000038206 40400 
55 0.00037609999998267085 48840 
60 0.0004230999999776941 58080 
65 0.00048610000004600806 68120 
80 0.0007286999999678301 103040 
100 0.0010148000000071988 160800 
150 0.0019161000000167405 361200 
170 0.0024047999999652347 463760 
200 0.003145299999971485 641600 
250 0.005149300000027779 1002000 
400 0.014237900000011905 2563200 
500 0.019963099999984024 4004000 
600 0.03665119999999433 5764800 
800 0.07505800000001273 10246400 
1000 0.1455909999999676 16008000 
2000 1.08512189999999 64016000 
5000 18.17282180000001 400040000 

Corrida 6 
2 0.01587029999996048 80 
4 0.00014920000000984146 288 
10 7.109999995691396e-05 1680 
15 8.009999999103457e-05 3720 
20 8.879999995770049e-05 6560 
30 0.00012770000000728032 14640 
35 0.00014980000003106397 19880 
40 0.00017049999996743281 25920 
45 0.00019639999999299107 32760 
50 0.0003341999999975087 40400 
55 0.0003827999999543863 48840 
60 0.0004271000000244385 58080 
65 0.0004937000000495573 68120 
80 0.0007179000000405722 103040 
100 0.001017999999987751 160800 
150 0.0020015000000057626 361200 
170 0.002559200000007422 463760 
200 0.0033604999999852225 641600 
250 0.004969300000027488 1002000 
400 0.013083200000039596 2563200 
500 0.02018070000002581 4004000 
600 0.036007900000015525 5764800 
800 0.08620369999999866 10246400 
1000 0.13093109999999797 16008000 
2000 1.0650974000000133 64016000 
5000 26.398933299999953 400040000 

Corrida 7 
2 0.03477399999997033 80 
4 0.0002494000000297092 288 
10 0.00017659999997476916 1680 
15 0.0001790000000028158 3720 
20 0.00018720000002758752 6560 
30 0.00031669999998484855 14640 
35 0.0003667999999947824 19880 
40 0.0004133999999567095 25920 
45 0.0004760999999575688 32760 
50 0.0007145000000150503 40400 
55 0.0007187000000499211 48840 
60 0.0008022999999752756 58080 
65 0.0009007000000451626 68120 
80 0.0012105999999789674 103040 
100 0.0019122999999581225 160800 
150 0.004167399999971622 361200 
170 0.005278900000007525 463760 
200 0.007047299999953793 641600 
250 0.010763400000030288 1002000 
400 0.029575299999976323 2563200 
500 0.042936999999994896 4004000 
600 0.07885429999998905 5764800 
800 0.18129229999999552 10246400 
1000 0.3130213000000026 16008000 
2000 1.938340100000005 64016000 
5000 23.924363700000015 400040000 

Corrida 8 
2 0.029232600000000275 80 
4 0.00023799999996754195 288 
10 0.0001599000000283013 1680 
15 0.00018020000004526082 3720 
20 0.00019969999999602805 6560 
30 0.00029699999998911153 14640 
35 0.00034099999999170905 19880 
40 0.0004017999999632593 25920 
45 0.0004437000000052649 32760 
50 0.0006731999999942673 40400 
