Corrida 0 
2 0.01298129999986486 40 
4 0.003971899999669404 144 
10 0.00012549999973998638 840 
15 0.00029479999966497417 1860 
20 7.989999994606478e-05 3280 
30 9.940000018104911e-05 7320 
35 0.003134600000066712 9940 
40 0.00034180000011474476 12960 
45 0.00025519999962853035 16380 
50 0.001041100000293227 20200 
55 0.00031229999967763433 24420 
60 0.0003488999996079656 29040 
65 0.00039129999959186534 34060 
80 0.0014281999997365347 51520 
100 0.0009752999999363965 80400 
150 0.002370600000176637 180600 
170 0.002408500000001368 231880 
200 0.0025510999998914485 320800 
250 0.003906699999788543 501000 
400 0.012032600000111415 1281600 
500 0.017142300000159594 2002000 
600 0.027691199999935634 2882400 
800 0.06512629999997444 5123200 
1000 0.09420959999988554 8004000 
2000 0.7501760999998623 32008000 
5000 10.30146539999987 200020000 

Corrida 1 
2 0.006637500000124419 40 
4 9.869999985312461e-05 144 
10 5.649999957313412e-05 840 
15 6.119999989095959e-05 1860 
20 6.73000004098867e-05 3280 
30 9.090000003197929e-05 7320 
35 0.00022009999975125538 9940 
40 0.00016600000026301132 12960 
45 0.000189200000022538 16380 
50 0.00024029999985941686 20200 
55 0.0002552000000832777 24420 
60 0.000268300000243471 29040 
65 0.0002898999996432394 34060 
80 0.0004112000001441629 51520 
100 0.0005811999999423278 80400 
150 0.001367500000014843 180600 
170 0.0016896000001906941 231880 
200 0.0023200999999062333 320800 
250 0.003960999999890191 501000 
400 0.010873899999751302 1281600 
500 0.018084899999848858 2002000 
600 0.02543390000028012 2882400 
800 0.050270199999886245 5123200 
1000 0.08395380000001751 8004000 
2000 0.6063418999997339 32008000 
5000 9.961810400000104 200020000 

Corrida 2 
2 0.007678999999825464 40 
4 0.0001237000001310662 144 
10 5.629999986922485e-05 840 
15 6.210000037754071e-05 1860 
20 6.829999983892776e-05 3280 
30 0.00010430000020278385 7320 
35 0.00017250000018975697 9940 
40 0.00016189999996640836 12960 
45 0.00018890000001192675 16380 
50 0.00023640000017621787 20200 
55 0.00026900000011664815 24420 
60 0.0003837999997813313 29040 
65 0.00031079999962457805 34060 
80 0.00045860000000175205 51520 
100 0.0007103999996616039 80400 
150 0.0014087999998082523 180600 
170 0.0017732999999680032 231880 
200 0.0024386000000049535 320800 
250 0.003895099999681406 501000 
400 0.010287000000062108 1281600 
500 0.017894300000079966 2002000 
600 0.026277899999968213 2882400 
800 0.05001670000001468 5123200 
1000 0.0859227999999348 8004000 
2000 0.5910514000001967 32008000 
5000 10.101919599999746 200020000 

Corrida 3 
2 0.008098099999642727 40 
4 0.00014109999983702437 144 
10 7.18000001143082e-05 840 
15 7.439999990310753e-05 1860 
20 8.539999998902204e-05 3280 
30 0.00011100000028818613 7320 
35 0.0002071999997497187 9940 
40 0.00020630000017263228 12960 
45 0.00043690000029528164 16380 
50 0.0003243000001020846 20200 
55 0.00030089999972915393 24420 
60 0.0003187000002071727 29040 
65 0.00037130000009710784 34060 
80 0.0004887000000053376 51520 
100 0.0007476999999198597 80400 
150 0.0014301999999588588 180600 
170 0.0017570999998497427 231880 
200 0.002436799999941286 320800 
250 0.0040260000000671425 501000 
400 0.011298599999918224 1281600 
500 0.01795799999990777 2002000 
600 0.02748199999996359 2882400 
800 0.05087409999987358 5123200 
1000 0.08872939999992013 8004000 
2000 0.6193366999996215 32008000 
5000 10.308373800000027 200020000 

Corrida 4 
2 0.006721700000070996 40 
4 0.00011820000008810894 144 
10 6.260000009206124e-05 840 
15 6.650000023000757e-05 1860 
20 7.350000032602111e-05 3280 
30 0.00010169999995923718 7320 
35 0.00018359999967287877 9940 
40 0.00018159999990530196 12960 
45 0.00020260000019334257 16380 
50 0.00027369999997972627 20200 
55 0.0004883999999947264 24420 
60 0.0004392000000734697 29040 
65 0.0003924000002371031 34060 
80 0.0004919000002701068 51520 
100 0.0008026999998946849 80400 
150 0.0015411999997922976 180600 
170 0.0019256999999015534 231880 
200 0.002730899999733083 320800 
250 0.004173400000127003 501000 
400 0.01150820000020758 1281600 
500 0.01722890000019106 2002000 
600 0.027900300000055722 2882400 
800 0.054056299999956536 5123200 
1000 0.09410419999994701 8004000 
2000 0.6411736999998539 32008000 
5000 10.674940699999752 200020000 

Corrida 5 
2 0.007876499999838416 40 
4 0.00014899999996487168 144 
10 7.370000002993038e-05 840 
15 7.630000027347705e-05 1860 
20 8.230000003095483e-05 3280 
30 0.00010920000022451859 7320 
35 0.00017010000010486692 9940 
40 0.00016839999989315402 12960 
45 0.0001886000000013155 16380 
50 0.0002641000000949134 20200 
55 0.00025740000000951113 24420 
60 0.0002795000000332948 29040 
65 0.0003596999999899708 34060 
80 0.0004312999999456224 51520 
100 0.0006585999999515479 80400 
150 0.0013899000000492379 180600 
170 0.001879599999938364 231880 
200 0.0025872000001072593 320800 
250 0.004135499999847525 501000 
400 0.011096899999756715 1281600 
500 0.01662190000024566 2002000 
600 0.026290700000117795 2882400 
800 0.05566180000005261 5123200 
1000 0.08855739999989964 8004000 
2000 0.6224977000001672 32008000 
5000 10.044255400000111 200020000 

Corrida 6 
2 0.007009699999798613 40 
4 0.0001164000000244414 144 
10 5.620000001727021e-05 840 
15 6.129999974291422e-05 1860 
20 6.789999997636187e-05 3280 
30 9.410000029674848e-05 7320 
35 0.00016649999997753184 9940 
40 0.00015519999988100608 12960 
45 0.00019029999975828105 16380 
50 0.00023570000030304072 20200 
55 0.00026840000009542564 24420 
60 0.0007642000000487315 29040 
65 0.0003467000001364795 34060 
80 0.0004507000003286521 51520 
100 0.000596299999870098 80400 
150 0.0013157999997019942 180600 
170 0.0017246000002160145 231880 
200 0.0024038000001382898 320800 
250 0.0037993000000824395 501000 
400 0.010575499999958993 1281600 
500 0.0165234999999484 2002000 
600 0.02557089999982054 2882400 
800 0.05002100000001519 5123200 
1000 0.08308889999989333 8004000 
2000 0.6268402999999125 32008000 
5000 10.71122480000031 200020000 

Corrida 7 
2 0.007109000000127708 40 
4 0.00015209999992293888 144 
10 6.269999994401587e-05 840 
15 7.14999996489496e-05 1860 
20 7.420000019919826e-05 3280 
30 0.00010800000018207356 7320 
35 0.00017739999975674436 9940 
40 0.00021010000000387663 12960 
45 0.0002585000002000015 16380 
50 0.0003113000002485933 20200 
55 0.00028029999975842657 24420 
60 0.00030789999982516747 29040 
65 0.00033889999986058683 34060 
80 0.00048549999974056846 51520 
100 0.0007602999999107851 80400 
150 0.0014652999998361338 180600 
170 0.0019149999998262501 231880 
200 0.0025672000001577544 320800 
250 0.004119200000332057 501000 
400 0.011478999999781081 1281600 
500 0.01869059999989986 2002000 
600 0.028130800000326417 2882400 
800 0.05402460000004794 5123200 
1000 0.09854519999998956 8004000 
2000 0.6837408000001233 32008000 
5000 10.520212800000081 200020000 

Corrida 8 
2 0.007633900000200811 40 
4 0.00011350000022503082 144 
10 6.100000018705032e-05 840 
15 6.230000008144998e-05 1860 
20 6.930000017746352e-05 3280 
30 9.4600000011269e-05 7320 
35 0.00017440000010537915 9940 
