Corrida 0 
2 0.021136999999999517 80 
4 0.0002998999999999086 288 
10 0.00015570000000053597 1680 
15 0.00015609999999988133 3720 
20 0.0001542000000007704 6560 
30 0.0002059000000009803 14640 
35 0.0012153999999995335 19880 
40 0.0004695000000012328 25920 
45 0.0008488999999993752 32760 
50 0.0011178999999987838 40400 
55 0.0010230999999993884 48840 
60 0.0010808999999998292 58080 
65 0.0012644000000001654 68120 
80 0.0015937000000008084 103040 
100 0.0028322999999996767 160800 
150 0.004734300000000857 361200 
170 0.00601189999999896 463760 
200 0.008079499999999129 641600 
250 0.013172600000000756 1002000 
400 0.03637170000000012 2563200 
500 0.05649559999999987 4004000 
600 0.09130649999999996 5764800 
800 0.13130379999999953 10246400 
1000 0.28258909999999915 16008000 
2000 2.355974 64016000 
5000 40.5463955 400040000 

Corrida 1 
2 0.020052899999996043 80 
4 0.0001372999999986746 288 
10 7.349999999917145e-05 1680 
15 8.909999999673346e-05 3720 
20 0.00010300000000285081 6560 
30 0.00015009999999904267 14640 
35 0.00024489999999843803 19880 
40 0.0002577999999999747 25920 
45 0.0003147999999981721 32760 
50 0.00045040000000540203 40400 
55 0.0005008999999986941 48840 
60 0.000564099999998291 58080 
65 0.0006496000000026925 68120 
80 0.0009133000000005609 103040 
100 0.001461100000000215 160800 
150 0.0030700000000010164 361200 
170 0.003890200000000732 463760 
200 0.005466399999995986 641600 
250 0.008084400000001324 1002000 
400 0.020547799999995675 2563200 
500 0.03540509999999841 4004000 
600 0.05579599999999374 5764800 
800 0.12196910000000116 10246400 
1000 0.2700154999999995 16008000 
2000 2.151775899999997 64016000 
5000 41.063040300000004 400040000 

Corrida 2 
2 0.021887599999999452 80 
4 0.00013210000000185573 288 
10 7.530000000599557e-05 1680 
15 9.020000000248274e-05 3720 
20 9.830000000476957e-05 6560 
30 0.00015259999999273077 14640 
35 0.0002518000000009124 19880 
40 0.0002553000000062866 25920 
45 0.000312300000004484 32760 
50 0.000438000000002603 40400 
55 0.000504499999991026 48840 
60 0.0005972999999954709 58080 
65 0.0006801999999908048 68120 
80 0.0010636000000090462 103040 
100 0.0015862999999995964 160800 
150 0.003419199999996181 361200 
170 0.004187600000008729 463760 
200 0.005711099999999192 641600 
250 0.008935700000009206 1002000 
400 0.024159799999992515 2563200 
500 0.04948890000000006 4004000 
600 0.05905590000000416 5764800 
800 0.12339029999999696 10246400 
1000 0.23356859999999813 16008000 
2000 2.2044482999999957 64016000 
5000 39.989461399999996 400040000 

Corrida 3 
2 0.020359200000001465 80 
4 0.0001431000000025051 288 
10 7.410000000618311e-05 1680 
15 8.800000000519503e-05 3720 
20 9.610000000748187e-05 6560 
30 0.00014709999999240608 14640 
35 0.00023600000000101318 19880 
40 0.0002575000000035743 25920 
45 0.00041060000000925356 32760 
50 0.00045919999999455285 40400 
55 0.0005025000000102864 48840 
60 0.0005610999999987598 58080 
65 0.0006482000000005428 68120 
80 0.0009150999999860687 103040 
100 0.0014491999999961536 160800 
150 0.0030830000000037217 361200 
170 0.004128400000013244 463760 
200 0.005282600000015236 641600 
250 0.007961000000022977 1002000 
400 0.020775900000018055 2563200 
500 0.035963299999991705 4004000 
600 0.0658337000000131 5764800 
800 0.1294905999999969 10246400 
1000 0.23062369999999532 16008000 
2000 2.229950200000019 64016000 
5000 40.88541519999998 400040000 

Corrida 4 
2 0.020235400000018444 80 
4 0.0001405999999803953 288 
10 7.22000000052958e-05 1680 
15 8.719999999584616e-05 3720 
20 9.670000000028267e-05 6560 
30 0.00014749999999708052 14640 
35 0.0002448999999842272 19880 
40 0.0002588000000116608 25920 
45 0.00031410000002551897 32760 
50 0.0004474000000129763 40400 
55 0.0005090999999879386 48840 
60 0.0005776000000139447 58080 
65 0.0006605000000092787 68120 
