Corrida 0 
2 0.029113300000000564 40 
4 0.0004977000000003784 144 
10 0.0003080999999998113 840 
15 0.00030730000000112057 1860 
20 0.0002803000000000111 3280 
30 0.00041940000000018074 7320 
35 0.003191000000001054 9940 
40 0.0009303000000002726 12960 
45 0.0014557999999986748 16380 
50 0.0014745000000004893 20200 
55 0.0014967999999999648 24420 
60 0.001458900000001151 29040 
65 0.001932299999999998 34060 
80 0.0028053000000003436 51520 
100 0.004467199999998783 80400 
150 0.010185299999999842 180600 
170 0.012459899999999635 231880 
200 0.017696799999999513 320800 
250 0.0298020999999995 501000 
400 0.06013650000000048 1281600 
500 0.06762710000000105 2002000 
600 0.0989728000000003 2882400 
800 0.18112830000000102 5123200 
1000 0.31675830000000005 8004000 
2000 2.1964333000000007 32008000 
5000 27.6220713 200020000 

Corrida 1 
2 0.008344699999994987 40 
4 0.00017820000000057235 144 
10 0.00010830000000083828 840 
15 0.00010079999999845768 1860 
20 9.440000000182636e-05 3280 
30 0.00016260000000301034 7320 
35 0.00026730000000441123 9940 
40 0.0002725000000012301 12960 
45 0.00042410000000359105 16380 
50 0.0004060999999992987 20200 
55 0.00045469999999880883 24420 
60 0.0005130999999991559 29040 
65 0.0005877000000040766 34060 
80 0.0008297999999982153 51520 
100 0.0010207999999991557 80400 
150 0.00227040000000045 180600 
170 0.003146400000005656 231880 
200 0.004648999999993464 320800 
250 0.007913300000005563 501000 
400 0.025348499999999774 1281600 
500 0.04655670000000356 2002000 
600 0.07289510000000377 2882400 
800 0.16651910000000214 5123200 
1000 0.3058279999999982 8004000 
2000 2.071490599999997 32008000 
5000 27.618709600000003 200020000 

Corrida 2 
2 0.008077900000003524 40 
4 0.00042609999999854153 144 
10 0.00018409999999846605 840 
15 0.0001239999999995689 1860 
20 0.00012250000000335604 3280 
30 0.00012859999999648153 7320 
35 0.00026540000000352393 9940 
40 0.00026590000000226155 12960 
45 0.00030099999999322335 16380 
50 0.0003714000000059059 20200 
55 0.00045010000000900163 24420 
60 0.0004464000000012902 29040 
65 0.0005115000000017744 34060 
80 0.0007552000000004 51520 
100 0.0011527000000057797 80400 
150 0.0026672000000047547 180600 
170 0.003545099999996637 231880 
200 0.005321000000009235 320800 
250 0.009123299999998835 501000 
400 0.0287368999999984 1281600 
500 0.04953470000000948 2002000 
600 0.07534480000001054 2882400 
800 0.1617170000000101 5123200 
1000 0.29933069999999873 8004000 
2000 2.1269704999999988 32008000 
5000 27.5774086 200020000 

Corrida 3 
2 0.008074800000002824 40 
4 9.860000000116997e-05 144 
10 5.620000000305936e-05 840 
15 6.550000000515865e-05 1860 
20 7.170000000655818e-05 3280 
30 0.00010790000000326927 7320 
35 0.00026049999999600004 9940 
40 0.00025519999999801257 12960 
45 0.0002977999999984604 16380 
50 0.0003355999999996584 20200 
55 0.0004344000000031656 24420 
60 0.0004229000000037786 29040 
65 0.0004863999999997759 34060 
80 0.0007133999999950902 51520 
100 0.0010843000000022585 80400 
150 0.0025569999999959236 180600 
170 0.004287999999988301 231880 
200 0.006335599999999886 320800 
250 0.010763400000001866 501000 
400 0.03233239999998716 1281600 
500 0.0519548000000043 2002000 
600 0.0737298000000095 2882400 
800 0.1574865999999986 5123200 
1000 0.2895271000000008 8004000 
2000 2.1099205999999953 32008000 
5000 28.2058854 200020000 

Corrida 4 
2 0.008487300000012965 40 
4 0.00011639999999601969 144 
10 5.5400000007921335e-05 840 
15 6.000000001904482e-05 1860 
20 6.410000000300897e-05 3280 
30 0.00012029999999185748 7320 
35 0.00023930000000405016 9940 
40 0.00021939999999176507 12960 
45 0.00025460000000521177 16380 
50 0.0002888999999868247 20200 
55 0.00032829999997829873 24420 
60 0.00036090000000399414 29040 
65 0.0004160999999953674 34060 
80 0.0006187000000181797 51520 
100 0.0009440000000040527 80400 
150 0.0023487999999929343 180600 
170 0.0030663999999944735 231880 
200 0.0046649000000229535 320800 
250 0.00873550000000023 501000 
400 0.027948500000007925 1281600 
500 0.04824970000001372 2002000 
600 0.0760970000000043 2882400 
800 0.16323799999997846 5123200 
1000 0.30402289999997834 8004000 
2000 2.0567419999999856 32008000 
5000 27.1525264 200020000 

Corrida 5 
2 0.008246799999994892 40 
4 0.00013190000001372937 144 
10 5.949999999188549e-05 840 
15 6.740000000604596e-05 1860 
20 7.310000000870787e-05 3280 
30 0.00010699999998564635 7320 
35 0.0002486999999860018 9940 
40 0.00024009999998497733 12960 
45 0.0002741999999784639 16380 
50 0.0003383000000098946 20200 
55 0.0003547999999966578 24420 
60 0.0003866000000130043 29040 
65 0.0004441000000099393 34060 
80 0.0006717999999921176 51520 
100 0.0010092999999926633 80400 
150 0.002432400000003554 180600 
170 0.0032333000000051015 231880 
200 0.005049500000012586 320800 
250 0.008554899999978716 501000 
400 0.026265699999981962 1281600 
500 0.04567450000001827 2002000 
600 0.07300979999999413 2882400 
800 0.1585664000000122 5123200 
1000 0.30400149999999826 8004000 
2000 2.1419567000000086 32008000 
5000 27.3360596 200020000 

Corrida 6 
2 0.007954499999982545 40 
4 0.0004102999999986423 144 
10 0.00010149999999953252 840 
15 7.80000000020209e-05 1860 
20 8.289999999533393e-05 3280 
30 0.00012129999998933272 7320 
35 0.0002794000000108099 9940 
40 0.00023740000000316286 12960 
45 0.0002781000000027234 16380 
50 0.00033769999998867206 20200 
55 0.00041319999999700485 24420 
60 0.0004416000000162512 29040 
65 0.0005074999999976626 34060 
80 0.0007156000000065887 51520 
100 0.0011549000000172782 80400 
150 0.002557099999989987 180600 
170 0.003369300000002795 231880 
200 0.0050746999999944364 320800 
250 0.008499699999987342 501000 
400 0.026864500000016278 1281600 
500 0.0486938999999893 2002000 
600 0.07956070000000182 2882400 
800 0.15976470000001086 5123200 
1000 0.2895323999999846 8004000 
2000 2.115942899999993 32008000 
5000 28.165115199999974 200020000 

Corrida 7 
2 0.009290799999973842 40 
4 0.000126499999993257 144 
10 6.390000001488261e-05 840 
15 7.269999997561172e-05 1860 
20 7.940000000417058e-05 3280 
30 0.0001151000000163549 7320 
35 0.00023310000000265063 9940 
40 0.00025719999999296306 12960 
45 0.00030079999999088614 16380 
50 0.00035690000001409317 20200 
55 0.00040669999998499407 24420 
60 0.0004506999999875916 29040 
65 0.0005303000000083102 34060 
80 0.0007352000000082626 51520 
100 0.0011008000000174434 80400 
150 0.0026227000000176304 180600 
170 0.0034441999999899053 231880 
200 0.005607300000008308 320800 
250 0.008796700000004876 501000 
400 0.026974099999989676 1281600 
500 0.04843960000002312 2002000 
600 0.0766851999999858 2882400 
800 0.16053690000001097 5123200 
1000 0.29361919999999486 8004000 
2000 2.0151415999999926 32008000 
5000 27.684242399999988 200020000 

Corrida 8 
2 0.008427999999980784 40 
4 0.00013260000002901506 144 
10 6.530000001703229e-05 840 
15 7.080000000314612e-05 1860 
20 7.499999998117346e-05 3280 
30 0.00013709999996081024 7320 
35 0.00027189999997290215 9940 
40 0.00025909999999385036 12960 
45 0.0003005000000371183 16380 
50 0.000352800000030129 20200 
55 0.0004033000000163156 24420 
60 0.000440299999979743 29040 
65 0.0005042999999886888 34060 
80 0.0007377000000019507 51520 
100 0.0011362000000190164 80400 
150 0.0025523999999563785 180600 
170 0.00335050000001047 231880 
200 0.00499939999997423 320800 
250 0.008759199999985867 501000 
400 0.026877200000001267 1281600 
500 0.04790509999997994 2002000 
600 0.07523540000005369 2882400 
800 0.16702139999995325 5123200 
1000 0.2970331000000215 8004000 
2000 2.1342304000000354 32008000 
5000 27.763316499999974 200020000 

Corrida 9 
2 0.008230299999979707 40 
4 0.00020360000002028755 144 
10 9.170000004132817e-05 840 
15 0.0001047999999741478 1860 
20 0.0001272000000085427 3280 
30 0.00015299999995477265 7320 
35 0.00027720000002773304 9940 
40 0.00024309999997740306 12960 
45 0.0002675999999723899 16380 
50 0.0003138000000149077 20200 
55 0.00035070000001269364 24420 
60 0.000534899999991012 29040 
65 0.0004969000000301094 34060 
80 0.0007458000000042375 51520 
100 0.0011154000000033193 80400 
150 0.0026909000000046035 180600 
170 0.003429799999992156 231880 
200 0.004837599999973463 320800 
250 0.008808200000032684 501000 
400 0.02745020000003251 1281600 
500 0.04270640000004278 2002000 
600 0.07210059999999885 2882400 
800 0.1673127999999906 5123200 
1000 0.30353200000001834 8004000 
2000 2.016581600000052 32008000 
5000 27.440857900000026 200020000 

FINAL 
