Corrida 0 
2 0.0006703999999899679 80 
4 0.0003011000000014974 288 
10 0.00021359999999503998 1680 
15 0.00023670000001629887 3720 
20 0.00031999999998788553 6560 
30 0.0002665000000092732 14640 
35 0.0008799999999951069 19880 
40 0.0005947000000219305 25920 
45 0.0007804999999621032 32760 
50 0.001220299999999952 40400 
55 0.0011869000000501728 48840 
60 0.0014558999999962907 58080 
65 0.00165130000004865 68120 
80 0.0022252999999636813 103040 
100 0.0035081000000332097 160800 
150 0.0069713999999976295 361200 
170 0.00896549999998797 463760 
200 0.0115458000000217 641600 
250 0.01933409999998048 1002000 
400 0.04732859999995753 2563200 
500 0.06148089999999229 4004000 
600 0.08591360000002624 5764800 
800 0.1768533999999704 10246400 
1000 0.33714359999999033 16008000 
2000 2.633114799999987 64016000 
5000 41.56610570000004 400040000 

Corrida 1 
2 0.024284700000009707 80 
4 0.00017799999994849713 288 
10 0.00010830000002215456 1680 
15 0.00012279999998554558 3720 
20 0.00013880000000199288 6560 
30 0.00022460000002411107 14640 
35 0.0003201000000103704 19880 
40 0.000381700000048113 25920 
45 0.00047139999998080384 32760 
50 0.0006394999999770334 40400 
55 0.0007219000000304732 48840 
60 0.0009999000000107117 58080 
65 0.0011650000000145155 68120 
80 0.0012922000000230582 103040 
100 0.001986699999974917 160800 
150 0.00415549999996756 361200 
170 0.03594580000003589 463760 
200 0.011468300000046838 641600 
250 0.01398260000001983 1002000 
400 0.03713039999996681 2563200 
500 0.05964489999996658 4004000 
600 0.0945833000000107 5764800 
800 0.22121430000004239 10246400 
1000 0.5219615999999974 16008000 
2000 4.309313999999972 64016000 
5000 55.68118759999993 400040000 

Corrida 2 
2 0.02185369999995146 80 
4 0.0001399999999875945 288 
10 8.199999990665674e-05 1680 
15 9.520000003249152e-05 3720 
20 0.00010279999992235389 6560 
30 0.00015180000002601446 14640 
35 0.00023370000008071656 19880 
40 0.00026800000000548607 25920 
45 0.000325299999985873 32760 
50 0.0004569999999830543 40400 
55 0.0005237999999962994 48840 
60 0.0005985999999893465 58080 
65 0.0007101999999576947 68120 
80 0.001069799999982024 103040 
100 0.00152909999997064 160800 
150 0.003203699999971832 361200 
170 0.005021400000032372 463760 
200 0.006987899999899128 641600 
250 0.010519799999997304 1002000 
400 0.027774599999929706 2563200 
500 0.04314939999994749 4004000 
600 0.07043510000005426 5764800 
800 0.14711929999998574 10246400 
1000 0.2624479999999494 16008000 
2000 2.580234300000029 64016000 
5000 52.50396920000003 400040000 

Corrida 3 
2 0.03647260000002461 80 
4 0.00022830000000340078 288 
10 0.0001522000000022672 1680 
15 0.0001729999999042775 3720 
20 0.00019320000001243898 6560 
30 0.00029689999996662664 14640 
35 0.0004420999999865671 19880 
40 0.0005138999999871885 25920 
45 0.0006243999999924199 32760 
50 0.0008242000000109329 40400 
55 0.0009399000000485103 48840 
60 0.0010296000000380445 58080 
65 0.00101859999995213 68120 
80 0.00183670000001257 103040 
100 0.002784300000030271 160800 
150 0.006038099999955193 361200 
170 0.007760299999972631 463760 
200 0.010624000000007072 641600 
250 0.017726399999901332 1002000 
400 0.042487499999992906 2563200 
500 0.0822685000000547 4004000 
600 0.12582150000002912 5764800 
800 0.2790908000000627 10246400 
1000 0.4816207999999733 16008000 
2000 4.141648300000043 64016000 
5000 61.24881210000001 400040000 

Corrida 4 
2 0.03447489999996378 80 
4 0.0002251000000796921 288 
10 0.00014039999996384722 1680 
15 0.0001674000000093656 3720 
20 0.00018620000003011228 6560 
30 0.00023759999999128922 14640 
35 0.00043940000000475266 19880 
40 0.0005110000000740911 25920 
45 0.0006878000000369866 32760 
50 0.0008872999999312015 40400 
55 0.0009417999999641324 48840 
60 0.0010479999999688516 58080 
65 0.0011974999999893043 68120 
80 0.0017449000000624437 103040 
100 0.0027010999999674823 160800 
150 0.005841299999929106 361200 
170 0.007651600000031067 463760 
200 0.010616300000037882 641600 
250 0.01667310000004818 1002000 
400 0.046563200000036886 2563200 
500 0.07814949999999499 4004000 
600 0.13057519999995293 5764800 
800 0.27925119999997605 10246400 
1000 0.5086592999999766 16008000 
2000 4.0656565000000455 64016000 
5000 59.5825509 400040000 

Corrida 5 
2 0.026848500000028253 80 
4 0.00016640000001189037 288 
10 0.00010639999993600213 1680 
15 0.00012489999994613754 3720 
20 0.00013790000002700253 6560 
30 0.00037890000010065705 14640 
35 0.00035309999998389685 19880 
40 0.0003779000001031818 25920 
45 0.00044700000000830187 32760 
50 0.0005938000000469401 40400 
55 0.0006733000000167522 48840 
60 0.0007564999999658539 58080 
65 0.0008667000000741609 68120 
80 0.0012605000000576183 103040 
100 0.0019733999999971275 160800 
150 0.004013799999938783 361200 
170 0.0052312000000256376 463760 
200 0.005646200000001045 641600 
250 0.008447400000022753 1002000 
400 0.023440300000061143 2563200 
500 0.04630469999995057 4004000 
600 0.0749058999999761 5764800 
800 0.15982819999999265 10246400 
1000 0.28306820000000243 16008000 
2000 2.414910100000043 64016000 
5000 41.82823690000009 400040000 

Corrida 6 
2 0.02227600000003349 80 
4 0.00017880000007153285 288 
10 0.0001103999999259031 1680 
15 0.00010020000001986773 3720 
20 0.00010670000006030023 6560 
30 0.0001667999999881431 14640 
35 0.0002563000000463944 19880 
40 0.00028159999999388674 25920 
45 0.0004190999999309497 32760 
50 0.0006263999999873704 40400 
55 0.0006538000000091415 48840 
60 0.0007395000000087748 58080 
65 0.0008569999999963329 68120 
80 0.0011909999999488718 103040 
100 0.0018253000000640895 160800 
150 0.0038835000000290165 361200 
170 0.004788500000017848 463760 
200 0.006705099999976483 641600 
250 0.010556599999972605 1002000 
400 0.021481900000026144 2563200 
500 0.035581600000000435 4004000 
600 0.05600549999996929 5764800 
800 0.1358213999999407 10246400 
1000 0.23981560000004265 16008000 
2000 2.2334566000000677 64016000 
5000 40.9840183 400040000 

Corrida 7 
2 0.02025340000000142 80 
4 0.00014420000002246525 288 
10 7.679999998799758e-05 1680 
15 8.780000007391209e-05 3720 
20 9.499999998752173e-05 6560 
30 0.00014659999999366846 14640 
35 0.00022790000002714805 19880 
40 0.0002601999999569671 25920 
45 0.0003407000000379412 32760 
50 0.0004595000000335858 40400 
55 0.0005364999999528663 48840 
60 0.0006083999999191292 58080 
65 0.0006472000000030675 68120 
80 0.0009537999999338354 103040 
100 0.0014512999999851672 160800 
150 0.0030606999999918116 361200 
170 0.004027800000017123 463760 
200 0.005223000000000866 641600 
250 0.008116299999983312 1002000 
400 0.020836700000018027 2563200 
500 0.03586050000001251 4004000 
600 0.05740820000005442 5764800 
800 0.14046410000003107 10246400 
1000 0.2897360999999137 16008000 
2000 2.295032900000024 64016000 
5000 44.00956109999993 400040000 

Corrida 8 
2 0.02112560000000485 80 
4 0.0001469999999699212 288 
10 7.790000006480113e-05 1680 
15 9.160000001884328e-05 3720 
20 0.0001002999999855092 6560 
30 0.0001532999999653839 14640 
35 0.0002356999999619802 19880 
40 0.00026809999997112754 25920 
45 0.0003841999999849577 32760 
50 0.0004645999999866035 40400 
55 0.0005469000000175583 48840 
60 0.0006747999999561216 58080 
65 0.0006916999999475593 68120 
80 0.0009426999999959662 103040 
100 0.0014488000000483225 160800 
150 0.003096700000014607 361200 
170 0.00404660000003787 463760 
200 0.005168099999991682 641600 
250 0.008552200000053745 1002000 
400 0.024450599999909173 2563200 
500 0.04681790000006458 4004000 
600 0.08179619999998522 5764800 
800 0.1631780999999819 10246400 
1000 0.2656140999999934 16008000 
2000 2.4249553000000788 64016000 
5000 42.65161130000001 400040000 

Corrida 9 
2 0.02242239999998219 80 
4 0.00014290000001437875 288 
10 8.170000000973232e-05 1680 
15 9.140000008756033e-05 3720 
20 0.00010589999999410793 6560 
30 0.00015640000003713794 14640 
35 0.0002844000000550295 19880 
40 0.00039279999998598214 25920 
45 0.0004913999999871521 32760 
50 0.0007236999999804539 40400 
55 0.0007926000000679778 48840 
60 0.0008636000000024069 58080 
65 0.000800900000058391 68120 
80 0.0010464000000638407 103040 
100 0.0016077999999879466 160800 
150 0.0036160000000791115 361200 
170 0.004493700000011813 463760 
200 0.006983699999977944 641600 
250 0.01029659999994692 1002000 
400 0.025420000000053733 2563200 
500 0.043889600000056816 4004000 
600 0.08205320000001848 5764800 
800 0.12498819999996158 10246400 
1000 0.2365286000000424 16008000 
2000 2.437011900000016 64016000 
5000 40.41251599999998 400040000 

FINAL 
