Corrida 0 
2 0.027848299999999604 40 
4 0.0002460999999991387 144 
10 0.00011999999999989797 840 
15 0.00011519999999975994 1860 
20 0.00011310000000008813 3280 
30 0.00016980000000010875 7320 
35 0.0012731999999999744 9940 
40 0.00047819999999987317 12960 
45 0.0006496999999994202 16380 
50 0.0006813999999994991 20200 
55 0.0006387999999999394 24420 
60 0.0006028999999996287 29040 
65 0.0007743999999991757 34060 
80 0.0011499999999999844 51520 
100 0.0016563999999998913 80400 
150 0.004638700000000107 180600 
170 0.0045479999999997744 231880 
200 0.0067739000000006655 320800 
250 0.011319000000000301 501000 
400 0.03378860000000028 1281600 
500 0.06276450000000011 2002000 
600 0.09358099999999947 2882400 
800 0.1824703000000003 5123200 
1000 0.3043431999999999 8004000 
2000 2.1878189 32008000 
5000 28.0520514 200020000 

Corrida 1 
2 0.008515000000002715 40 
4 0.00011229999999784468 144 
10 5.7999999995672624e-05 840 
15 6.0200000000065756e-05 1860 
20 6.459999999464117e-05 3280 
30 9.35999999995829e-05 7320 
35 0.00024519999999483844 9940 
40 0.00021770000000032041 12960 
45 0.00024379999999979418 16380 
50 0.00030000000000285354 20200 
55 0.0003371000000029767 24420 
60 0.00037689999999912516 29040 
65 0.00043389999999732254 34060 
80 0.0006433000000001243 51520 
100 0.0009706999999963273 80400 
150 0.002354799999999102 180600 
170 0.0030818999999979724 231880 
200 0.004554100000000005 320800 
250 0.008320900000001075 501000 
400 0.026473100000004024 1281600 
500 0.05052750000000117 2002000 
600 0.07790070000000071 2882400 
800 0.16193050000000397 5123200 
1000 0.29891030000000285 8004000 
2000 2.0413684999999973 32008000 
5000 27.3536182 200020000 

Corrida 2 
2 0.007952500000001805 40 
4 0.0003719000000046435 144 
10 8.350000000234559e-05 840 
15 7.240000000763303e-05 1860 
20 7.589999999879637e-05 3280 
30 0.00014170000000035543 7320 
35 0.00024340000000222517 9940 
40 0.00024919999999895026 12960 
45 0.0002901999999949112 16380 
50 0.0003495000000128812 20200 
55 0.00039599999999495594 24420 
60 0.0004382000000049402 29040 
65 0.00048110000000178843 34060 
80 0.0007315000000005512 51520 
100 0.0011025000000017826 80400 
150 0.0025473000000033608 180600 
170 0.0033382000000017342 231880 
200 0.0050897000000134085 320800 
250 0.008566600000008862 501000 
400 0.027069800000006694 1281600 
500 0.04804830000000493 2002000 
600 0.07657640000000754 2882400 
800 0.16926759999999774 5123200 
1000 0.3083290999999946 8004000 
2000 2.134670700000001 32008000 
5000 25.659725100000003 200020000 

Corrida 3 
2 0.008099500000000148 40 
4 0.00010170000000186974 144 
10 5.8199999998009844e-05 840 
15 6.670000000497112e-05 1860 
20 7.169999999234733e-05 3280 
30 0.00010770000000093205 7320 
35 0.0002545000000111486 9940 
40 0.0002362000000033504 12960 
45 0.000278600000001461 16380 
50 0.00033439999999984593 20200 
55 0.00038170000000548043 24420 
60 0.00042259999999316733 29040 
65 0.0004871999999949139 34060 
80 0.0007265999999930273 51520 
100 0.0010951999999946338 80400 
150 0.00266170000000443 180600 
170 0.003314200000005485 231880 
200 0.004864900000001171 320800 
250 0.007970900000003667 501000 
400 0.02843939999999634 1281600 
500 0.049089299999991454 2002000 
600 0.07515710000001263 2882400 
800 0.16001660000000584 5123200 
1000 0.3190341000000103 8004000 
2000 2.1338772000000006 32008000 
5000 25.887287999999998 200020000 

Corrida 4 
2 0.008072999999996 40 
4 0.0001299999999986312 144 
10 6.290000000319651e-05 840 
15 6.78000000107204e-05 1860 
20 7.340000000510827e-05 3280 
30 0.00010730000001046847 7320 
35 0.0002493000000072243 9940 
40 0.0002499000000000251 12960 
45 0.0002762000000018361 16380 
50 0.0003315000000014834 20200 
55 0.00037840000000244345 24420 
60 0.0004190000000079408 29040 
65 0.00048150000000646287 34060 
80 0.0007075000000043019 51520 
100 0.0010915000000011332 80400 
150 0.0025440000000003238 180600 
170 0.0035157999999881895 231880 
200 0.005081699999990974 320800 
250 0.008497200000007865 501000 
400 0.027223899999995638 1281600 
500 0.05387920000001145 2002000 
600 0.07655319999999222 2882400 
800 0.16033889999999928 5123200 
1000 0.29700499999999863 8004000 
2000 2.119662500000004 32008000 
5000 27.279817699999995 200020000 

Corrida 5 
2 0.008891900000008945 40 
4 0.00019720000000233995 144 
10 0.0001642000000003918 840 
15 0.0001329000000112046 1860 
20 0.00014550000000213004 3280 
30 0.0001532999999938056 7320 
35 0.00039290000000846703 9940 
40 0.00030839999999443535 12960 
45 0.0004052999999828444 16380 
50 0.00048750000001973604 20200 
55 0.000493099999999913 24420 
60 0.000530200000014247 29040 
65 0.0005913000000248303 34060 
80 0.0008018999999990228 51520 
100 0.00110779999999977 80400 
150 0.002659099999988257 180600 
170 0.003558999999995649 231880 
200 0.005403400000005831 320800 
250 0.008965899999992644 501000 
400 0.026355899999998655 1281600 
500 0.047868499999992764 2002000 
600 0.07620499999998742 2882400 
800 0.16214579999999046 5123200 
1000 0.3080453000000034 8004000 
2000 1.9888472000000093 32008000 
5000 27.993892700000004 200020000 

Corrida 6 
2 0.008077700000001187 40 
4 0.00011220000001799235 144 
10 6.110000001058324e-05 840 
15 6.700000000137152e-05 1860 
20 7.170000000655818e-05 3280 
30 0.00010629999999878237 7320 
35 0.00025019999998221465 9940 
40 0.00024949999999535066 12960 
45 0.0002800000000036107 16380 
50 0.0003406000000154563 20200 
55 0.0003872000000058051 24420 
60 0.00042529999998919266 29040 
65 0.0004890999999815904 34060 
80 0.0007757999999853382 51520 
100 0.0011214000000165925 80400 
150 0.0027283999999951902 180600 
170 0.0034928000000036263 231880 
200 0.0053009000000088236 320800 
250 0.008654500000005783 501000 
400 0.02712619999999788 1281600 
500 0.04909940000001711 2002000 
600 0.0783346999999992 2882400 
800 0.17312480000001074 5123200 
1000 0.3113646999999844 8004000 
2000 2.0998791000000097 32008000 
5000 27.849481400000002 200020000 

Corrida 7 
2 0.009262800000016114 40 
4 0.00012259999999741922 144 
10 6.500000000642103e-05 840 
15 7.300000001464468e-05 1860 
20 7.829999998421044e-05 3280 
30 0.00011459999998919557 7320 
35 0.000271099999991975 9940 
40 0.00025680000001671033 12960 
45 0.00029689999999504835 16380 
50 0.0003559000000166179 20200 
55 0.00040669999998499407 24420 
60 0.0005612999999868862 29040 
65 0.00049049999998374 34060 
80 0.000712600000014163 51520 
100 0.0010939999999948213 80400 
150 0.0025537000000213084 180600 
170 0.003359600000010232 231880 
200 0.005040900000011561 320800 
250 0.008585600000003524 501000 
400 0.027556599999996934 1281600 
500 0.04810380000000691 2002000 
600 0.07764689999999064 2882400 
800 0.16344129999998813 5123200 
1000 0.2977649999999983 8004000 
2000 2.185167299999989 32008000 
5000 27.6940453 200020000 

Corrida 8 
2 0.009515800000002628 40 
4 0.00018999999997504347 144 
10 0.0001292000000034932 840 
15 0.00013690000000110558 1860 
20 0.0001464000000055421 3280 
30 0.00018550000001482658 7320 
35 0.00035249999999109605 9940 
40 0.00035760000000095715 12960 
45 0.0003457999999909589 16380 
50 0.00038639999999645624 20200 
55 0.00041689999997629457 24420 
60 0.0004327000000046155 29040 
65 0.0004976999999826148 34060 
80 0.00080040000000281 51520 
100 0.0011426000000085423 80400 
150 0.002595200000001796 180600 
170 0.0035188000000232478 231880 
200 0.005320699999998624 320800 
250 0.008965600000010454 501000 
400 0.02945339999999419 1281600 
500 0.048845200000016575 2002000 
600 0.07731559999999149 2882400 
800 0.16212629999998285 5123200 
1000 0.2997216999999921 8004000 
2000 2.109111499999983 32008000 
5000 27.646142400000002 200020000 

Corrida 9 
2 0.00944240000001173 40 
